"ID","LR","bus","cars","oth","rail","NA","total","year","State","Name","Urbanized.Area","share_light","share_rail","share_bus","share_cars","share_oth"
3002,0,680.9,0,34.3,0,0,715.2,2004,NA,NA,NA,0,0,0.952041387024609,0,0.0479586129753915
3006,0,11345.7,127.6,202.3,0,0,11675.6,2004,NA,NA,NA,0,0,0.971744492788379,0.0109287745383535,0.0173267326732673
3007,0,1887.6,0,38.4,0,0,1926,2004,NA,NA,NA,0,0,0.98006230529595,0,0.0199376947040498
3008,0,1104.2,0,13.8,0,0,1118,2004,NA,NA,NA,0,0,0.987656529516995,0,0.0123434704830054
3009,0,463,0,7.7,0,0,470.7,2004,NA,NA,NA,0,0,0.983641385171022,0,0.0163586148289781
3010,0,4256.3,0,486.2,0,0,4742.5,2004,NA,NA,NA,0,0,0.897480231945177,0,0.102519768054823
3011,0,665.5,0,8.2,0,0,673.7,2004,NA,NA,NA,0,0,0.987828410271634,0,0.0121715897283657
3012,0,1095.2,0,69.6,0,0,1164.8,2004,NA,NA,NA,0,0,0.940247252747253,0,0.0597527472527473
3013,0,2518.8,0,222.5,0,0,2741.3,2004,NA,NA,NA,0,0,0.918834129792434,0,0.0811658702075657
3014,0,1866,0,214.6,0,0,2080.6,2004,NA,NA,NA,0,0,0.896856675958858,0,0.103143324041142
3015,0,2365.8,0,31.9,0,0,2397.7,2004,NA,NA,NA,0,0,0.986695583267298,0,0.0133044167327022
3018,0,1893.3,0,360.4,0,0,2253.7,2004,NA,NA,NA,0,0,0.840085193237787,0,0.159914806762213
3023,0,532.9,0,110.5,0,0,643.4,2004,NA,NA,NA,0,0,0.82825613926018,0,0.17174386073982
3024,0,2569,0,220.7,0,0,2789.7,2004,NA,NA,NA,0,0,0.920887550632685,0,0.0791124493673155
3025,0,1674.9,0,7,0,0,1681.9,2004,NA,NA,NA,0,0,0.995838040311552,0,0.00416195968844759
3026,0,1255.6,0,3.1,0,0,1258.7,2004,NA,NA,NA,0,0,0.997537141495194,0,0.00246285850480655
