"add","day","month","year","pm25_highway","pm25_city"
"Minneapolis-St. Paul, MN",17,12,2010,15.3189759254456,15.3811339173998
"Minneapolis-St. Paul, MN",17,12,2011,11.2996344984623,11.4638184853962
"Minneapolis-St. Paul, MN",17,12,2012,13.543548475232,12.6594889742987
"Minneapolis-St. Paul, MN",17,12,2013,1.97383188783077,2.07748650610447
"Minneapolis-St. Paul, MN",17,12,2014,10.1313080034758,10.0743233237948
"Minneapolis-St. Paul, MN",17,12,2015,5.57396769105342,5.1419054874352
"Minneapolis-St. Paul, MN",17,12,2016,9.70323387781779,9.60991730008807
"Minneapolis-St. Paul, MN",17,2,2000,21.3330378281443,20.9961803572518
"Minneapolis-St. Paul, MN",17,2,2001,5.7967107756096,6.56265398093632
"Minneapolis-St. Paul, MN",17,2,2002,6.66837710664983,6.51420960256032
"Minneapolis-St. Paul, MN",17,2,2003,7.6163946160099,8.1357905455998
"Minneapolis-St. Paul, MN",17,2,2004,27.9374919021339,28.1219113554273
"Minneapolis-St. Paul, MN",17,2,2005,5.7552023854172,5.76818330628531
"Minneapolis-St. Paul, MN",17,2,2006,5.753268363183,5.89386623586927
"Minneapolis-St. Paul, MN",17,2,2007,6.67808236573872,6.79009878805705
"Minneapolis-St. Paul, MN",17,2,2008,13.4376426830626,13.6007129124233
"Minneapolis-St. Paul, MN",17,2,2009,19.1176429045828,18.8875316619873
"Minneapolis-St. Paul, MN",17,2,2010,7.2752788777937,7.41412050213133
"Minneapolis-St. Paul, MN",17,2,2011,11.0163924735889,11.5891099350793
"Minneapolis-St. Paul, MN",17,2,2012,8.93410658418087,8.86493180649621
"Minneapolis-St. Paul, MN",17,2,2013,8.76458924276787,8.56929832526616
"Minneapolis-St. Paul, MN",17,2,2014,22.4753557840983,23.0666171278272
"Minneapolis-St. Paul, MN",17,2,2015,6.69647161584151,6.3758651631219
"Minneapolis-St. Paul, MN",17,2,2016,7.12403391536913,6.70126465388707
"Minneapolis-St. Paul, MN",17,3,2000,6.7060854434967,6.83305266073772
"Minneapolis-St. Paul, MN",17,3,2001,10.5604531304878,10.8615858248302
"Minneapolis-St. Paul, MN",17,3,2002,10.4543340498941,9.93816038881029
