"month","year","pm25","add","date"
"01","2003",9.61270134422951,"Myrtle Beach-Socastee, SC-NC",2003-01-01
"01","2003",10.6006374030985,"College Station-Bryan, TX",2003-01-01
"01","2003",9.72500918291187,"Charleston-North Charleston, SC",2003-01-01
"02","2003",9.1627845908318,"Myrtle Beach-Socastee, SC-NC",2003-02-01
"02","2003",9.46863743158695,"College Station-Bryan, TX",2003-02-01
"02","2003",9.74425875710162,"Charleston-North Charleston, SC",2003-02-01
"03","2003",9.79406549870573,"Myrtle Beach-Socastee, SC-NC",2003-03-01
"03","2003",11.5114194629013,"College Station-Bryan, TX",2003-03-01
"03","2003",10.0374133915346,"Charleston-North Charleston, SC",2003-03-01
"04","2003",9.40975319383328,"Myrtle Beach-Socastee, SC-NC",2003-04-01
"04","2003",12.8314873095417,"College Station-Bryan, TX",2003-04-01
"04","2003",9.2419215317509,"Charleston-North Charleston, SC",2003-04-01
"05","2003",9.93607532780774,"Myrtle Beach-Socastee, SC-NC",2003-05-01
"05","2003",19.4806763563532,"College Station-Bryan, TX",2003-05-01
"05","2003",10.5101337305369,"Charleston-North Charleston, SC",2003-05-01
"06","2003",12.208275232803,"Myrtle Beach-Socastee, SC-NC",2003-06-01
"06","2003",12.1424703737794,"College Station-Bryan, TX",2003-06-01
"06","2003",11.4978019730775,"Charleston-North Charleston, SC",2003-06-01
"07","2003",10.0075948483725,"Myrtle Beach-Socastee, SC-NC",2003-07-01
"07","2003",13.9639121787584,"College Station-Bryan, TX",2003-07-01
"07","2003",9.11035288737413,"Charleston-North Charleston, SC",2003-07-01
"08","2003",9.5371074833902,"Myrtle Beach-Socastee, SC-NC",2003-08-01
"08","2003",13.7450896580282,"College Station-Bryan, TX",2003-08-01
"08","2003",7.88028596594879,"Charleston-North Charleston, SC",2003-08-01
"09","2003",10.3676438715345,"Myrtle Beach-Socastee, SC-NC",2003-09-01
"09","2003",15.0202136523383,"College Station-Bryan, TX",2003-09-01
"09","2003",10.8739876945473,"Charleston-North Charleston, SC",2003-09-01
"10","2003",10.6719800994666,"Myrtle Beach-Socastee, SC-NC",2003-10-01
"10","2003",12.594718111422,"College Station-Bryan, TX",2003-10-01
"10","2003",11.7052783165851,"Charleston-North Charleston, SC",2003-10-01
"11","2003",7.59048399631739,"Myrtle Beach-Socastee, SC-NC",2003-11-01
"11","2003",9.54239294647539,"College Station-Bryan, TX",2003-11-01
"11","2003",7.91958999421991,"Charleston-North Charleston, SC",2003-11-01
"12","2003",7.30755818764477,"Myrtle Beach-Socastee, SC-NC",2003-12-01
"12","2003",9.56451498303606,"College Station-Bryan, TX",2003-12-01
"12","2003",8.96748960958838,"Charleston-North Charleston, SC",2003-12-01
"01","2004",10.5858496397286,"Myrtle Beach-Socastee, SC-NC",2004-01-01
"01","2004",11.0245764439129,"College Station-Bryan, TX",2004-01-01
"01","2004",12.0878491420101,"Charleston-North Charleston, SC",2004-01-01
"02","2004",9.91941795810533,"Myrtle Beach-Socastee, SC-NC",2004-02-01
"02","2004",10.9464493055714,"College Station-Bryan, TX",2004-02-01
"02","2004",10.3168523004169,"Charleston-North Charleston, SC",2004-02-01
"03","2004",9.2616652254173,"Myrtle Beach-Socastee, SC-NC",2004-03-01
"03","2004",11.3105551464766,"College Station-Bryan, TX",2004-03-01
"03","2004",9.13199257111641,"Charleston-North Charleston, SC",2004-03-01
"04","2004",9.70041679279165,"Myrtle Beach-Socastee, SC-NC",2004-04-01
"04","2004",11.5992322998955,"College Station-Bryan, TX",2004-04-01
"04","2004",9.45629401119531,"Charleston-North Charleston, SC",2004-04-01
