"Selected Geographies","Total","Not in universe - missing","Car/truck/van","Bus or trolley bus","Streetcar or trolley car","Subway or elevated","Railroad","Ferry boat","Taxicab","Motorcycle","Bicycle","Walked","Worked At Home","Other"
"PUMA 00905, North Carolina","147972","78359","64950","200","0","0","0","0","0","0","350","457","3061","595"
"PUMA 01000, North Carolina","233485","114399","110932","609","0","0","0","0","0","0","449","604","5343","1149"
"PUMA 01100, North Carolina","259569","141910","109263","263","0","0","0","0","0","179","0","973","2686","4295"
"PUMA 01200, North Carolina","129009","71772","53719","0","0","0","0","0","0","447","0","643","2214","214"
"PUMA 01300, North Carolina","145808","73702","68760","136","0","0","0","0","0","0","90","371","1986","763"
"PUMA 01400, North Carolina","157831","82672","69923","360","0","58","0","0","0","375","0","873","2889","681"
"PUMA 01500, North Carolina","142259","76015","60598","322","0","0","0","0","182","279","0","734","2985","1144"
"PUMA 01601, North Carolina","95789","49069","41960","1644","0","0","0","0","260","74","271","1295","671","545"
"PUMA 01602, North Carolina","116336","59630","50794","1477","0","0","0","0","0","0","420","771","2650","594"
"PUMA 01700, North Carolina","218538","107821","103238","589","0","0","0","0","0","117","177","2025","3448","1123"
"PUMA 01800, North Carolina","183915","101470","73563","1145","0","75","0","0","74","245","301","3113","3470","459"
"PUMA 01900, North Carolina","130140","63194","64162","0","0","0","0","0","106","101","0","202","2096","279"
"PUMA 02000, North Carolina","138501","74793","60190","0","0","0","0","0","0","0","0","909","2279","330"
"PUMA 02100, North Carolina","122707","69068","49917","0","0","0","0","0","0","74","0","1409","1947","292"
"PUMA 02200, North Carolina","153575","82179","68641","74","305","0","0","0","0","93","0","751","955","577"
"PUMA 02300, North Carolina","137706","72834","62473","73","0","0","0","0","0","209","205","301","1014","597"
"PUMA 02400, North Carolina","151145","83572","64408","219","78","0","0","0","0","75","0","862","1155","776"
"PUMA 02500, North Carolina","108738","62309","45295","0","0","0","0","0","0","63","0","266","781","24"
"PUMA 02601, North Carolina","129117","58728","63070","1918","0","0","0","49","108","145","667","1315","2835","282"
"PUMA 02602, North Carolina","167632","76982","82544","382","0","0","0","0","227","204","0","1179","4204","1910"
"PUMA 02701, North Carolina","131322","63700","62557","350","0","0","0","0","0","231","279","487","3479","239"
"PUMA 02702, North Carolina","158295","81473","71927","385","0","0","0","0","0","183","88","285","3527","427"
"PUMA 02703, North Carolina","147029","72428","68895","0","0","0","0","0","0","0","68","588","4929","121"
"PUMA 02801, North Carolina","116905","53951","56606","1634","0","97","0","0","0","0","262","1148","2919","288"
"PUMA 02802, North Carolina","110821","59901","45974","2132","0","0","0","0","0","0","174","982","1309","349"
"PUMA 02900, North Carolina","164644","81633","73954","2669","0","0","0","0","0","330","690","1728","2999","641"
"PUMA 03000, North Carolina","191378","98397","88453","354","0","0","0","0","0","469","0","990","2305","410"
"PUMA 03100, North Carolina","157079","84846","67755","18","0","0","0","0","0","119","28","887","1916","1510"
"PUMA 03200, North Carolina","113770","60990","50652","57","0","0","0","0","22","0","200","370","1234","245"
"PUMA 03300, North Carolina","107996","63902","42036","17","0","0","0","0","0","0","0","0","1367","674"
"PUMA 03400, North Carolina","137320","75101","58851","141","0","0","0","0","210","0","93","475","1254","1195"
"PUMA 03500, North Carolina","95258","58300","35202","170","0","0","0","0","0","0","0","744","609","233"
"PUMA 03600, North Carolina","119394","69126","47653","453","0","0","0","0","0","0","311","512","885","454"
"PUMA 03700, North Carolina","162261","98423","60230","0","0","78","0","0","0","175","304","803","1762","486"
"PUMA 03800, North Carolina","127537","77613","46703","90","0","0","0","0","0","13","0","1080","1387","651"
"PUMA 03900, North Carolina","198843","120360","74311","723","0","0","0","0","0","0","109","1160","1564","616"
"PUMA 04000, North Carolina","260410","137286","113785","1094","0","0","0","611","187","297","312","1793","4341","704"
"PUMA 04100, North Carolina","130040","78061","49583","253","0","0","0","0","0","0","49","1178","793","123"
"PUMA 04200, North Carolina","126015","74927","47622","37","0","0","0","0","0","156","0","723","2156","394"
"PUMA 04300, North Carolina","106624","58804","44623","201","0","0","0","0","0","183","0","1192","1231","390"
"PUMA 04400, North Carolina","152258","83037","64948","1246","0","0","0","0","280","0","242","1017","1011","477"
"PUMA 04500, North Carolina","153701","89376","60077","0","0","0","0","0","69","0","692","899","2165","423"
"PUMA 04600, North Carolina","139120","75190","60662","237","0","0","0","0","88","209","0","968","774","992"
