"PUMA.ID","NAME","Mode to work= All","MOE (BO8301_001)","Mode to work= Car","MOE (B08301_002)","Mode to work= Public Transport (ALL)","MOE (B08301_010)","Mode to work= Bus","MOE (B08301_011)","Mode to work= Subway/Elevated Rail","MOE (B08301_012)","Mode to work= Commuter Rail","MOE (B08301_013)","Mode to work= Light Rail","MOE (B08301_014)","Mode to work= Ferry","MOE (B08301_015)","Mode to work= Taxicab","MOE (B08301_016)","Mode to work= Motorcycle","MOE (B08301_017)","Mode to work= Bicycle","MOE (B08301_018)","Mode to work= Walk","MOE (B08301_019)","Mode to work= Other","MOE (B08301_020)","Race= All","MOE (B02001_001)","Race= White","MOE (B02001_002)","Race= Black","MOE (B02001_003)","Race= American Indian/Alaskan Native","MOE (B02001_004)","Race= Asian","MOE (B02001_005)","Race= Hawiian/Pacific Islander","MOE (B02001_006)","Race= Other","MOE (B02001_007)","Race= Two Or More","MOE (B02001_008)","Median Age","MOE (B01002_001)","Median Household Income","MOE (B19013_001)","YEAR","STATE","LIGHT_RAIL_EXISTS"
"3700905","PUMA 00905, North Carolina",77904,1623,69911,1642,776,194,608,151,46,64,39,35,83,93,0,127,0,127,56,60,117,78,667,170,937,237,156242,2384,135077,2038,10758,1186,241,94,6365,750,9,15,2359,560,1433,367,38.5,0.4,81789,2133,2009,"NC",FALSE
"3701000","PUMA 01000, North Carolina",143184,1903,130293,1951,1826,281,1584,242,24,37,151,76,55,43,12,20,12,19,187,93,264,131,1532,400,1152,282,276275,2596,196287,2358,54372,2314,980,237,12363,1156,11,18,7829,1365,4433,823,34.1,0.3,68894,1281,2009,"NC",FALSE
"3701100","PUMA 01100, North Carolina",122082,1938,115169,1925,558,164,558,164,0,127,0,127,0,127,0,127,16,27,300,116,107,84,915,246,1958,428,274675,58,224289,1129,32964,445,1276,207,2715,235,148,108,9928,1099,3355,493,38.1,0.2,43668,924,2009,"NC",FALSE
"3701200","PUMA 01200, North Carolina",59961,1149,56983,1226,259,137,249,136,0,127,10,18,0,127,0,127,42,57,218,142,80,63,791,213,277,110,137387,0,108409,869,20750,304,304,130,1271,188,152,109,4635,845,1866,458,38.8,0.3,45253,1028,2009,"NC",FALSE
"3701300","PUMA 01300, North Carolina",76292,1088,71723,1256,330,133,315,134,15,24,0,127,0,127,0,127,111,89,101,57,66,58,529,175,646,254,161473,0,128796,900,22847,496,564,222,2301,242,158,220,3981,917,2826,552,35.8,0.2,54274,1387,2009,"NC",FALSE
"3701400","PUMA 01400, North Carolina",85089,1059,78601,1221,364,134,342,132,0,127,8,10,0,127,14,22,0,127,139,73,82,62,657,219,533,149,181852,0,148082,1166,22251,411,820,144,2328,215,185,247,5945,1177,2241,470,35.2,0.1,60074,1326,2009,"NC",FALSE
"3701500","PUMA 01500, North Carolina",68876,1148,64395,1199,271,102,271,102,0,127,0,127,0,127,0,127,66,53,213,104,21,27,538,186,471,176,150346,0,123526,662,18517,305,424,142,2528,164,176,162,3383,687,1792,372,38.1,0.3,48234,1408,2009,"NC",FALSE
"3701601","PUMA 01601, North Carolina",49162,1219,44195,1086,1517,280,1496,275,21,32,0,127,0,127,0,127,102,68,33,34,138,79,1376,301,629,221,106139,1799,43272,1599,51930,1862,1081,300,4634,747,56,72,3221,719,1945,407,30.9,0.6,34439,1043,2009,"NC",FALSE
"3701602","PUMA 01602, North Carolina",62351,1310,56863,1307,773,263,759,266,6,13,8,14,0,127,0,127,108,83,48,35,280,128,1153,293,586,153,129500,1744,81058,1683,37987,1930,247,142,4302,755,157,221,3938,890,1811,437,35.5,0.6,47037,1467,2009,"NC",FALSE
"3701700","PUMA 01700, North Carolina",110061,1717,101787,2372,1245,631,1245,631,0,127,0,127,0,127,0,127,26,33,132,73,225,114,1304,363,970,344,228402,915,157558,1967,53643,1660,1075,270,6696,798,22,36,7309,1099,2099,384,38.6,0.5,53558,1020,2009,"NC",FALSE
"3701800","PUMA 01800, North Carolina",86981,1416,78499,1513,1769,392,1727,382,0,127,42,40,0,127,0,127,54,41,96,62,247,126,2464,548,1466,362,199965,1292,102957,1838,72070,1230,618,239,3424,461,101,133,18295,1682,2500,432,34.4,0.5,39757,1170,2009,"NC",FALSE
"3701900","PUMA 01900, North Carolina",73414,1146,69442,1125,187,119,173,123,14,21,0,127,0,127,0,127,21,33,56,52,10,16,527,170,487,183,146886,1292,123545,1596,14982,1187,399,220,1645,396,158,202,4095,1034,2062,500,39.9,0.5,58184,1237,2009,"NC",FALSE
"3702000","PUMA 02000, North Carolina",64248,1322,61497,1330,10,18,10,18,0,127,0,127,0,127,0,127,0,127,216,118,5,15,687,231,233,91,139443,0,120265,968,8142,441,673,305,1194,96,0,127,7710,989,1459,341,38.7,0.3,39642,1103,2009,"NC",FALSE
"3702100","PUMA 02100, North Carolina",54465,1009,51371,1024,65,45,65,45,0,127,0,127,0,127,0,127,0,127,113,64,0,127,806,261,469,259,123733,0,112622,692,6494,232,193,111,293,131,0,127,3050,742,1081,230,41.1,0.3,43316,1128,2009,"NC",FALSE
"3702200","PUMA 02200, North Carolina",71515,982,68846,938,246,146,207,100,39,59,0,127,0,127,0,127,0,127,138,83,29,36,509,172,274,111,156033,0,134553,645,14312,310,606,149,1896,118,39,76,3156,646,1471,364,39.1,0.3,44016,1370,2009,"NC",FALSE
"3702300","PUMA 02300, North Carolina",69105,1042,65761,1070,125,82,110,81,0,127,15,24,0,127,0,127,17,30,76,52,84,80,972,305,338,155,144769,0,102264,663,26038,466,417,121,1770,160,183,163,11749,723,2348,516,37.4,0.4,44172,1393,2009,"NC",FALSE
"3702400","PUMA 02400, North Carolina",65035,1225,61997,1351,78,56,51,50,17,26,0,127,0,127,10,17,20,25,65,58,17,21,952,326,198,98,152536,0,110661,626,35598,460,620,162,463,176,46,50,3318,627,1830,383,41,0.3,39237,1229,2009,"NC",FALSE
"3702500","PUMA 02500, North Carolina",45925,1097,43720,1150,86,66,46,47,0,127,30,41,10,16,0,127,16,27,77,58,33,40,597,216,223,103,111835,0,80117,682,24185,320,332,104,1991,192,0,127,4127,682,1083,275,39,0.3,38233,1367,2009,"NC",FALSE
"3702601","PUMA 02601, North Carolina",74946,1814,63598,1692,3119,509,3076,502,11,17,0,127,0,127,32,32,233,132,193,108,776,239,3082,524,489,199,152622,2389,83570,2352,52360,2078,688,241,5251,652,17,27,9035,1507,1701,440,29.6,0.5,42911,1516,2009,"NC",FALSE
"3702602","PUMA 02602, North Carolina",98502,1897,90331,1924,705,241,695,243,0,127,0,127,10,16,0,127,123,80,80,51,85,64,1327,422,690,235,181177,2589,122753,2880,38234,2103,383,225,7877,962,8,14,9302,1452,2620,569,33.9,0.4,59783,1654,2009,"NC",FALSE
