State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
CA,Antelope Valley Transit Authority(AVTA),9121,B,DR,PT,11,16,,0.0 ,,366.3,,287.1,,18.5,,16.3,,33.5,,379.1,,
CA,Antelope Valley Transit Authority(AVTA),9121,B,MB,PT,57,69,,"2,607.1",,"2,841.1",,"2,571.7",,170.2,,153.9,,"3,028.6",,"39,824.4",,
,,,,Total,,68,85,,"2,607.1",,"3,207.4",,"2,858.8",,188.7,,170.1,,"3,062.1",,"40,203.5",,
CA,Butte County Association of Governments(BCAG),9208,B,DR,PT,20,23,,0.0 ,,495.4,,429.3,,52.5,,41.2,,106.1,,548.9,,
CA,Butte County Association of Governments(BCAG),9208,B,MB,PT,25,29,,"1,031.7",,"1,117.1",,"1,053.5",,73.7,,67.0,,"1,285.0",,"6,976.3",,
,,,,Total,,45,52,,"1,031.7",,"1,612.4",,"1,482.8",,126.2,,108.2,,"1,391.1",,"7,525.2",,
CA,Central Contra Costa Transit Authority(County Connection),9078,B,DR,PT,51,59,,0.0 ,,"1,700.6",Q,"1,394.5",Q,105.4,Q,86.6,Q,177.5,,"1,704.3",,
CA,Central Contra Costa Transit Authority(County Connection),9078,B,MB,DO,86,131,,"3,114.1",,"4,078.0",,"3,109.9",,307.1,,267.2,,"4,071.3",,"16,760.6",,
,,,,Total,,137,190,,"3,114.1",,"5,778.7",,"4,504.4",,412.5,,353.8,,"4,248.8",,"18,464.9",,
CA,Chula Vista Transit(CVT),9193,B,MB,PT,33,40,,"1,239.7",,"1,362.9",,"1,241.8",,123.7,,117.8,,"3,601.5",,"13,136.6",,
CA,City of Alameda Ferry Services,9150,B,FB,PT,3,4,,78.1,,86.7,,78.0,,6.9,,6.3,,542.8,,"3,703.5",,
CA,City of Arcadia Transit(Arcadia Transit),9044,B,DR,PT,16,18,,0.0 ,,268.7,,235.4,,27.5,,25.2,,109.1,,367.2,,
CA,City of Commerce Municipal Buslines(CBL),9043,A,DR,DO,4,5,,0.0 ,,66.8,,61.9,,4.9,,4.2,,8.2,,43.5,,
CA,City of Commerce Municipal Buslines(CBL),9043,A,MB,DO,6,9,,244.7,,247.3,,242.7,,19.6,,18.2,,673.7,,"2,428.9",,
,,,,Total,,10,14,,244.7,,314.1,,304.6,,24.5,,22.3,,681.9,,"2,472.4",,
CA,City of Corona(CCTS),9052,B,DR,PT,7,9,,0.0 ,,234.5,,216.9,,17.3,,16.0,,63.1,,322.1,,
CA,City of Corona(CCTS),9052,B,MB,PT,5,6,,216.7,,228.2,,216.7,,19.3,,18.1,,165.5,,651.5,,
,,,,Total,,12,15,,216.7,,462.6,,433.6,,36.6,,34.1,,228.6,,973.6,,
CA,City of Elk Grove(etran),9205,B,DR,PT,9,11,,0.0 ,,402.5,,196.6,,26.0,,17.4,,33.2,,258.3,,
CA,City of Elk Grove(etran),9205,B,MB,PT,43,54,,"1,029.7",,"1,675.3",,"1,029.7",,87.6,,64.8,,"1,313.6",,"8,128.2",,
,,,,Total,,52,65,,"1,029.7",,"2,077.8",,"1,226.4",,113.6,,82.2,,"1,346.8",,"8,386.6",,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,B,DR,PT,6,10,,0.0 ,,305.9,,273.2,,19.7,,16.0,,28.4,,149.4,,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,B,MB,PT,37,51,,"1,680.1",,"1,882.1",,"1,680.1",,83.5,,78.2,,982.7,,"8,667.3",,
,,,,Total,,43,61,,"1,680.1",,"2,188.0",,"1,953.3",,103.2,,94.2,,"1,011.1",,"8,816.6",,
CA,City of Gardena Transportation Department(GMBL),9042,B,DR,PT,8,9,,0.0 ,,90.2,,82.3,,13.6,,12.7,,29.4,,60.8,,
CA,City of Gardena Transportation Department(GMBL),9042,B,MB,DO,41,49,,"1,635.6",,"1,655.2",,"1,635.6",,115.4,,114.1,,"4,246.3",,"15,044.7",,
,,,,Total,,49,58,,"1,635.6",,"1,745.4",,"1,717.9",,129.0,,126.8,,"4,275.8",,"15,105.5",,
CA,City of La Mirada Transit(LMT),9024,B,DR,PT,6,12,,0.0 ,,134.5,,114.5,,13.0,,9.9,,45.6,,130.6,,
CA,City of Lodi - Transit Division(Grapeline),9175,B,DR,PT,13,17,,0.0 ,,257.0,,246.0,,29.1,,26.9,,52.9,,135.0,,
CA,City of Lodi - Transit Division(Grapeline),9175,B,MB,PT,8,13,,269.3,,269.9,,262.8,,22.2,,21.1,,242.1,,708.6,,
,,,,Total,,21,30,,269.3,,526.9,,508.9,,51.3,,47.9,,295.0,,843.6,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,B,DR,PT,3,3,,0.0 ,,84.6,,79.8,,9.2,,8.9,,21.0,,86.2,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,B,MB,PT,10,13,,395.6,,420.8,,395.6,,26.5,,25.5,,274.3,,"4,702.8",,
,,,,Total,,13,16,,395.6,,505.4,,475.4,,35.8,,34.4,,295.3,,"4,789.0",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,B,DR,PT,153,179,,0.0 ,,"3,918.1",,"3,343.9",,332.6,,287.3,,"1,001.3",,"4,002.7",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,B,MB,PT,258,314,,"8,168.4",,"9,916.6",,"7,898.3",,829.8,,718.6,,"30,443.0",,"77,433.7",,
,,,,Total,,411,493,,"8,168.4",,"13,834.7",,"11,242.2",,"1,162.4",,"1,005.9",,"31,444.4",,"81,436.4",,
CA,City of Petaluma(Petaluma Transit),9213,B,DR,PT,6,8,,0.0 ,,92.1,,84.1,,9.9,,8.9,,22.3,,57.1,Q,
CA,City of Petaluma(Petaluma Transit),9213,B,MB,PT,6,9,,190.3,,197.7,,192.5,,16.4,,15.6,,153.4,,608.4,,
,,,,Total,,12,17,,190.3,,289.8,,276.6,,26.3,,24.5,,175.7,,665.5,,
CA,City of Porterville(C.O.L.T.),9198,B,DR,PT,3,9,,0.0 ,,95.6,,91.1,,6.1,,5.8,,20.3,,58.8,,
CA,City of Porterville(C.O.L.T.),9198,B,MB,PT,7,16,,405.7,,374.1,,366.0,,24.4,,24.0,,555.6,,"2,461.4",,
,,,,Total,,10,25,,405.7,,469.7,,457.2,,30.5,,29.8,,575.9,,"2,520.3",,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,B,DR,PT,5,6,,0.0 ,,92.1,,77.2,,9.0,,7.3,,15.4,,48.2,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,B,MB,PT,10,13,,375.2,,406.1,,375.2,,32.9,,30.5,,378.1,,"1,134.4",,
,,,,Total,,15,19,,375.2,,498.1,,452.5,,41.9,,37.7,,393.5,,"1,182.6",,
CA,City of Riverside Special Transportation(City of Riverside),9086,A,DR,DO,24,29,,0.0 ,,719.7,,573.3,,48.5,,40.8,,151.0,,567.2,,
CA,City of San Luis Obispo(SLO Transit),9156,B,MB,PT,12,16,,378.8,,396.8,,378.8,,35.8,,34.0,,"1,032.2",,"10,290.3",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,B,DR,PT,12,14,,0.0 ,,283.2,,265.1,,24.8,,23.0,,52.9,,225.9,,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,B,MB,DO,35,36,,"1,072.4",,"1,129.5",,"1,091.4",,93.4,,90.6,,"2,858.1",,"9,317.5",,
,,,,Total,,47,50,,"1,072.4",,"1,412.7",,"1,356.5",,118.1,,113.6,,"2,911.0",,"9,543.5",,
CA,City of Turlock(BLAST and DART),9201,B,DR,PT,4,8,,0.0 ,,48.4,,44.6,,3.6,,3.4,,13.7,,79.6,,
CA,City of Turlock(BLAST and DART),9201,B,MB,PT,5,8,,177.1,,188.5,,177.8,,14.7,,14.2,,109.5,,403.4,,
,,,,Total,,9,16,,177.1,,236.9,,222.4,,18.4,,17.6,,123.2,,483.1,,
CA,City of Union City Transit Division(UCT),9161,B,DR,PT,4,5,,0.0 ,,100.4,,89.9,,10.6,,9.5,,18.8,,54.2,,
CA,City of Union City Transit Division(UCT),9161,B,MB,PT,12,16,,455.3,,473.4,,456.7,,40.6,,39.6,,463.6,,"1,417.5",,
,,,,Total,,16,21,,455.3,,573.7,,546.7,,51.2,,49.1,,482.4,,"1,471.7",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,DR,PT,6,12,,0.0 ,,171.3,,155.2,,15.7,,15.0,,31.1,,137.1,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,FB,PT,3,4,,215.8,,214.4,,212.1,,8.6,,7.9,,556.0,,"14,454.7",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,MB,PT,37,60,,"1,930.8",,"2,016.0",,"1,927.9",,107.2,,102.5,,"1,658.6",,"16,162.2",,
,,,,Total,,46,76,,"2,146.6",,"2,401.7",,"2,295.2",,131.5,,125.3,,"2,245.6",,"30,754.1",,
CA,City of Visalia - Visalia City Coach(VCC),9091,B,DR,PT,8,11,,0.0 ,,165.7,,142.9,,10.9,,9.6,,31.0,,233.2,,
CA,City of Visalia - Visalia City Coach(VCC),9091,B,MB,PT,28,36,,"1,401.0",,"1,470.4",,"1,382.9",,105.1,,100.0,,"1,553.4",,"6,324.4",,
,,,,Total,,36,47,,"1,401.0",,"1,636.1",,"1,525.8",,116.0,,109.7,,"1,584.4",,"6,557.6",,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,A,DR,DO,3,6,,0.0 ,,38.1,,36.2,,4.2,,3.8,,17.1,,58.9,,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,A,MB,DO,35,46,,"1,447.6",,"1,552.4",,"1,450.9",,143.8,,135.5,,"6,176.2",,"19,547.5",,
,,,,Total,,38,52,,"1,447.6",,"1,590.5",,"1,487.1",,148.0,,139.2,,"6,193.3",,"19,606.4",,
CA,Foothill Transit,9146,B,MB,PT,256,314,,"12,000.0",,"14,585.0",,"11,483.4",,901.9,,767.1,,"14,284.0",,"123,319.4",,
CA,Fresno Area Express(FAX),9027,B,DR,PT,56,58,,0.0 ,,"1,366.0",,"1,120.0",,115.3,,104.3,,234.4,,"1,190.0",,
CA,Fresno Area Express(FAX),9027,B,MB,DO,95,116,,"4,681.8",,"5,035.8",,"4,690.2",,411.3,,372.8,,"14,062.0",,"36,161.9",,
,,,,Total,,151,174,,"4,681.8",,"6,401.8",,"5,810.2",,526.6,,477.1,,"14,296.4",,"37,351.9",,
CA,Gold Coast Transit(GCT),9035,B,DR,PT,19,21,,0.0 ,,587.7,,494.4,,46.8,,38.2,,82.7,,583.3,,
CA,Gold Coast Transit(GCT),9035,B,MB,DO,39,52,,"1,733.7",,"1,875.5",,"1,732.9",,146.5,,140.1,,"3,568.0",,"11,520.1",,
,,,,Total,,58,73,,"1,733.7",,"2,463.2",,"2,227.3",,193.3,,178.3,,"3,650.7",,"12,103.4",,
CA,Golden Empire Transit District(GET),9004,A,DR,DO,16,19,,0.0 ,,552.7,,452.7,,37.3,,31.5,,63.8,,483.0,,
CA,Golden Empire Transit District(GET),9004,A,MB,DO,69,81,,"3,586.3",,"3,812.5",,"3,574.6",,295.4,,286.5,,"7,514.5",,"26,759.3",,
,,,,Total,,85,100,,"3,586.3",,"4,365.2",,"4,027.3",,332.8,,318.0,,"7,578.3",,"27,242.3",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,DR,PT,41,52,,0.0 ,,"1,210.3",,"1,024.0",,71.2,,58.9,,113.8,,"1,198.2",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,FB,DO,5,5,,187.2,,196.1,,187.1,,14.5,,13.9,,"1,949.0",,"21,534.8",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,MB,PT,4,49,,64.0,,128.6,,64.0,,4.3,,3.0,,50.2,,"1,042.4",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,B,MB,DO,168,201,,"5,394.4",,"6,336.3",,"5,385.5",,387.9,,348.7,,"7,159.4",,"61,140.9",,
,,,,Total,,218,307,,"5,645.6",,"7,871.3",,"6,660.5",,478.0,,424.4,,"9,272.4",,"84,916.3",,
CA,Imperial Valley Transit(IVT),9212,B,DR,PT,5,6,,0.0 ,,247.5,,193.4,,18.1,,12.0,,36.0,,477.8,,
CA,Imperial Valley Transit(IVT),9212,B,MB,PT,14,16,,650.1,,788.0,,650.1,,37.2,,32.0,,556.4,,"10,294.5",,
,,,,Total,,19,22,,650.1,,"1,035.6",,843.4,,55.4,,44.0,,592.4,,"10,772.3",,
CA,Kings County Area Public Transit Agency(KART),9200,B,DR,PT,8,12,,0.0 ,,168.8,,138.8,,16.2,,14.4,,38.8,,139.6,,
CA,Kings County Area Public Transit Agency(KART),9200,B,MB,PT,16,21,,763.0,,836.0,,756.5,,61.6,,57.4,,911.1,,"3,826.4",,
CA,Kings County Area Public Transit Agency(KART),9200,B,VP,DO,188,216,,0.0 ,,"4,471.6",,"4,471.6",,87.4,,87.4,,584.0,,"24,096.4",,
,,,,Total,,212,249,,763.0,,"5,476.3",,"5,366.9",,165.2,,159.1,,"1,533.8",,"28,062.4",,
CA,LACMTA - Small Operators(LACMTA),9166,B,DR,PT,219,272,,0.0 ,,"4,397.3",,"3,904.7",,382.5,,342.8,,"1,293.7",,"4,705.1",,
CA,LACMTA - Small Operators(LACMTA),9166,B,MB,PT,182,244,,"5,527.8",,"5,909.5",,"5,414.6",,529.0,,492.3,,"11,227.2",,"26,160.3",,
,,,,Total,,401,516,,"5,527.8",,"10,306.9",,"9,319.2",,911.6,,835.1,,"12,521.0",,"30,865.4",,
CA,Laguna Beach Municipal Transit(CLB),9119,A,MB,DO,17,19,,169.0,,182.9,,168.6,,22.2,,19.1,,543.4,,888.1,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,B,DR,PT,16,22,,0.0 ,,429.2,,382.8,,32.6,,29.7,,67.1,,469.7,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,B,MB,PT,47,61,,"2,017.2",,"2,250.9",,"2,017.2",Q,151.0,,139.3,,"2,195.4",,"10,410.3",,
,,,,Total,,63,83,,"2,017.2",,"2,680.1",,"2,400.1",,183.6,,169.0,,"2,262.5",,"10,880.1",,
CA,Long Beach Transit(LBT),9023,B,DR,PT,17,20,,0.0 ,,249.4,,249.4,,11.3,,11.3,,52.7,,273.7,,
CA,Long Beach Transit(LBT),9023,B,MB,DO,184,247,,"7,040.0",,"7,745.0",,"7,031.4",,713.9,,678.4,,"29,746.4",,"93,203.5",,
,,,,Total,,201,267,,"7,040.0",,"7,994.4",,"7,280.8",,725.2,,689.7,,"29,799.1",,"93,477.2",,
CA,Los Angeles County Metropolitan Transportation Authority(LACMTA),9154,B,HR,DO,70,104,,"6,089.2",,"6,276.5",,"6,077.7",,291.3,,268.6,,"46,891.0",,"227,656.6",,
CA,Los Angeles County Metropolitan Transportation Authority(LACMTA),9154,B,LR,DO,102,145,,"9,110.4",,"9,181.3",,"9,050.8",,405.9,,384.9,,"46,027.5",,"327,341.2",,
CA,Los Angeles County Metropolitan Transportation Authority(LACMTA),9154,B,MB,DO,"2,084","2,460",,"83,416.1",,"98,027.5",,"81,952.3",,"7,730.1",,"7,020.5",,"373,098.3",,"1,466,309.4",,
CA,Los Angeles County Metropolitan Transportation Authority(LACMTA),9154,B,MB,PT,144,187,,"6,633.0",,"7,960.3",,"6,583.4",,536.5,,493.4,,"12,931.5",,"51,338.1",,
CA,Los Angeles County Metropolitan Transportation Authority(LACMTA),9154,B,VP,PT,806,890,,0.0 ,,"17,949.0",,"17,949.0",,389.5,,389.5,,"2,487.3",,"111,907.7",,
,,,,Total,,"3,206","3,786",,"105,248.8",,"139,394.6",,"121,613.1",,"9,353.3",,"8,131.6",,"481,435.6",,"2,184,552.9",,
