State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
,,,,,Total,,47,60,,1450.262,,2168.118,,"2,045.5",,144.8,,139.1,,"1,611.0",,0.0,
NC,Capital Area Transit(CAT),4007,City,N,DT,PT,240,240,,0,,2251.246,,"2,251.2",,204.0,,204.0,,467.1,,"3,998.9",
NC,Capital Area Transit(CAT),4007,City,N,MB,DO,65,100,,2749.062,,3210.088,,"2,766.3",,232.5,,216.4,,"6,441.6",,"29,929.4",
,,,,,Total,,305,340,,2749.062,,5461.334,,"5,017.5",,436.5,,420.4,,"6,908.7",,"33,928.3",
NC,Chapel Hill Transit(CHT),4051,City,N,DR,DO,13,19,,0,,369.798,,309.0,Q,30.8,,24.3,Q,62.4,Q,310.0,
NC,Chapel Hill Transit(CHT),4051,City,N,MB,PT,1,2,,15.096,,15.096,,15.1,,0.6,,0.6,,1.8,,17.6,
NC,Chapel Hill Transit(CHT),4051,City,N,MB,DO,73,98,,1815.161,,2302.456,,"1,799.5",,172.3,,157.8,,"6,879.9",,"14,136.8",
,,,,,Total,,87,119,,1830.257,,2687.35,,"2,123.6",,203.6,,182.6,,"6,944.1",,"14,464.3",
NC,Charlotte Area Transit System(CATS),4008,City,N,DR,DO,71,84,,0,,2656.358,,"2,340.0",,177.5,,151.4,,228.0,,"2,120.5",
NC,Charlotte Area Transit System(CATS),4008,City,N,LR,DO,14,20,,1069.965,,888.764,,867.5,,47.8,,46.6,,"4,889.5",,"25,735.4",
NC,Charlotte Area Transit System(CATS),4008,City,N,MB,DO,258,323,,10967.335,,12526.05,,"10,961.0",,861.3,,789.2,,"22,870.4",,"102,261.7",
NC,Charlotte Area Transit System(CATS),4008,City,N,VP,DO,80,112,,0,,1918.353,,"1,918.4",,36.4,,36.4,,255.8,,"12,592.3",
,,,,,Total,,423,539,,12037.3,,17989.525,,"16,086.9",,"1,122.9",,"1,005.0",,"28,243.7",,"142,709.9",
NC,City of Jacksonville(Jacksonville Transit),4166,City,Y,DR,PT,1,,,,,,,31.2,,,,2.1,,3.9,,,
NC,City of Jacksonville(Jacksonville Transit),4166,City,Y,MB,PT,5,,,,,,,246.6,,,,15.7,,86.7,,,
,,,,,Total,,6,,,,,,,277.8,,,,17.8,,90.7,,,
NC,Concord Kannapolis Area Transit(Rider Transit ),4167,City,Y,MB,PT,7,,,,,,,553.2,,,,31.4,,449.9,,,
NC,Craven County(CARTS),4210,City,Y,DR,DO,22,,,,,,,857.7,,,,50.2,,60.4,,,
NC,Davidson County Transportation(DCTS),4131,City,Y,DR,PT,21,,,,,,,160.2,,,,14.0,,33.8,,,
NC,Davidson County Transportation(DCTS),4131,City,Y,DR,DO,3,,,,,,,76.8,,,,9.9,,28.9,,,
NC,Davidson County Transportation(DCTS),4131,City,Y,MB,DO,3,,,,,,,101.2,,,,5.3,,49.7,,,
,,,,,Total,,27,,,,,,,338.2,,,,29.2,,112.3,,,
NC,Durham Area Transit Authority(DATA),4087,City,N,DR,PT,37,45,,0,,1526.421,,"1,428.3",,91.5,,82.9,,188.3,,"1,681.6",
NC,Durham Area Transit Authority(DATA),4087,City,N,MB,PT,38,65,,2775.084,,2868.136,,"2,694.2",,196.6,,190.6,,"6,313.9",,"22,759.0",
,,,,,Total,,75,110,,2775.084,,4394.557,,"4,122.5",,288.1,,273.4,,"6,502.2",,"24,440.5",
NC,Fayetteville Area System of Transit(FAST),4009,City,N,DR,DO,13,13,,0,,341.707,,321.0,,23.1,,22.2,,53.1,,369.2,
NC,Fayetteville Area System of Transit(FAST),4009,City,N,MB,DO,17,22,,888.251,,926.056,,876.2,,72.8,,71.3,,"1,646.2",,"7,815.7",
,,,,,Total,,30,35,,888.251,,1267.763,,"1,197.2",,95.9,,93.6,,"1,699.3",,"8,184.8",
NC,Gastonia Transit(Gastonia Transit),4010,City,Y,DR,DO,2,,,,,,,50.6,,,,3.8,,6.3,,,
NC,Gastonia Transit(Gastonia Transit),4010,City,Y,MB,DO,5,,,,,,,289.0,,,,20.9,,285.1,,,
,,,,,Total,,7,,,,,,,339.6,,,,24.8,,291.4,,,
NC,Goldsboro-Wayne Transportation Authority(GATEWAY),4132,Authority,Y,DR,DO,20,,,,,,,"1,033.1",,,,59.1,,115.6,,,
NC,Goldsboro-Wayne Transportation Authority(GATEWAY),4132,Authority,Y,MB,DO,5,,,,,,,405.9,,,,25.9,,219.2,,,
,,,,,Total,,25,,,,,,,"1,439.0",,,,84.9,,334.9,,,
NC,Greensboro Transit Authority(GTA),4093,City,N,DR,PT,36,44,,0,,1661.276,,"1,558.5",,102.1,,96.2,,224.7,,"1,809.2",
NC,Greensboro Transit Authority(GTA),4093,City,N,MB,PT,46,57,,2135.438,,2207.065,,"2,147.9",,170.4,,168.0,,"4,662.5",,"20,048.8",
,,,,,Total,,82,101,,2135.438,,3868.341,,"3,706.5",,272.6,,264.2,,"4,887.1",,"21,858.0",
NC,Greenville Area Transit(GREAT),4095,City,Y,DR,PT,5,,,,,,,120.0,,,,10.5,,13.6,,,
NC,Greenville Area Transit(GREAT),4095,City,Y,MB,DO,6,,,,,,,307.7,,,,22.8,,509.6,,,
,,,,,Total,,11,,,,,,,427.7,,,,33.2,,523.2,,,
NC,Guilford County Transportation(GCTAMS),4133,City,N,DR,PT,34,36,,0,,1569.469,,"1,327.2",,90.6,,78.1,,176.2,,"2,043.9",
NC,High Point Transit(Hi tran),4011,City,Y,DR,DO,6,,,,,,,85.0,,,,7.0,,21.7,,,
NC,High Point Transit(Hi tran),4011,City,Y,DR,PT,3,,,,,,,39.7,,,,4.1,,8.2,,,
NC,High Point Transit(Hi tran),4011,City,Y,MB,DO,12,,,,,,,468.7,,,,33.5,,900.7,,,
,,,,,Total,,21,,,,,,,593.4,,,,44.6,,930.6,,,
NC,Hoke County(HATS),4209,City,Y,DR,DO,16,,,,,,,564.0,,,,27.6,,48.1,,,
NC,Iredell County Area Transportation Services(ICATS),4205,City,Y,DR,DO,27,,,,,,,603.2,,,,37.0,,92.3,,,
NC,Iredell County Area Transportation Services(ICATS),4205,City,Y,MB,DO,1,,,,,,,5.8,,,,0.6,,7.7,,,
,,,,,Total,,28,,,,,,,609.0,,,,37.6,,100.0,,,
NC,North Carolina State University Transportation Department(NCSU),4147,University,Y,MB,PT,27,,,,,,,648.1,,,,66.6,,"2,713.2",,,
NC,Piedmont Authority for Regional Transportation(PART),4173,Authority,N,MB,PT,27,33,,1551.666,,1601.021,,"1,202.3",,48.6,,38.3,,551.2,,"11,060.8",
NC,Piedmont Authority for Regional Transportation(PART),4173,Authority,N,VP,DO,55,63,,0,,1061.833,,"1,061.8",,21.0,,21.0,,262.3,,"9,979.3",
,,,,,Total,,82,96,,1551.666,,2662.854,,"2,264.2",,69.6,,59.3,,813.5,,"21,040.1",
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Authority,N,DR,DO,9,10,,0,,500.813,,384.9,,22.0,,15.9,,29.2,,636.4,
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Authority,N,MB,DO,59,64,,2206.128,,2730.591,,"2,207.1",,129.7,,107.7,,"1,578.6",,"18,639.4",
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Authority,N,VP,DO,70,76,,0,,1099.549,,"1,099.5",,29.4,,29.4,,351.0,,"11,377.4",
,,,,,Total,,138,150,,2206.128,,4330.953,,"3,691.6",,181.1,,153.0,,"1,958.7",,"30,653.2",
NC,Tar River Transit(TRT),4096,City,Y,DR,PT,2,,,,,,,112.3,,,,7.7,,76.8,,,
NC,Tar River Transit(TRT),4096,City,Y,MB,PT,7,,,,,,,191.2,,,,10.6,,188.0,,,
,,,,,Total,,9,,,,,,,303.4,,,,18.2,,264.8,,,
NC,Town of Cary(CTRAN),4143,City,Y,DR,PT,18,,,,,,,534.9,,,,29.4,,48.0,,,
NC,Town of Cary(CTRAN),4143,City,Y,MB,PT,11,,,,,,,468.7,,,,32.0,,231.5,,,
,,,,,Total,,29,,,,,,,"1,003.6",,,,61.4,,279.5,,,
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),4172,Authority,N,DR,PT,13,15,,0,,243.396,,194.7,,6.7,,5.2,,17.2,,0.0,
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),4172,Authority,N,DR,DO,37,47,,0,,906.071,,793.2,,54.4,,48.2,,108.5,,0.0,
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),4172,Authority,N,MB,DO,12,13,,376.212,,411.961,,376.1,,24.2,,22.6,,154.9,,0.0,W
,,,,,Total,,62,75,,376.212,,1561.428,,"1,364.0",,85.3,,76.1,,280.7,,0.0,Q
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),4012,Authority,N,DR,DO,23,24,,0,,821.451,,729.3,,58.0,,53.9,,157.2,,763.3,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),4012,Authority,N,MB,DO,36,48,,1553.792,,1586.13,,"1,552.3",,136.0,,133.2,,"3,356.4",,"7,406.2",
,,,,,Total,,59,72,,1553.792,,2407.581,,"2,281.6",,194.0,,187.1,,"3,513.5",,"8,169.5",
ND,Bis-Man Transit Board(CAT),8019,Authority,N,DR,PT,25,31,,0,,664.234,,623.2,,47.4,,44.5,,168.1,,635.5,
ND,Bis-Man Transit Board(CAT),8019,Authority,N,MB,PT,7,10,,320.4,,320.4,,303.0,,21.3,,19.8,,141.1,,674.3,
,,,,,Total,,32,41,,320.4,,984.634,,926.1,,68.7,,64.3,,309.2,,"1,309.8",
ND,Cities Area Transit(CAT),8008,City,N,DR,PT,10,14,,0,,217.095,,204.7,,22.1,,20.7,,55.2,,170.7,
ND,Cities Area Transit(CAT),8008,City,N,MB,DO,8,12,,382.791,,400.339,,382.8,,26.2,,25.3,,371.2,,"1,524.1",
,,,,,Total,,18,26,,382.791,,617.434,,587.5,,48.3,,46.0,,426.5,,"1,694.8",
ND,"City of Fargo, DBA:  Metropolitan Area Transit(MAT)",8003,City,N,DR,PT,12,14,,0,,375.031,,336.5,,28.1,,25.4,,54.5,,297.9,
ND,"City of Fargo, DBA:  Metropolitan Area Transit(MAT)",8003,City,N,MB,PT,22,28,,872.288,,879.723,,857.3,,67.7,,66.6,,"1,604.7",,"5,050.3",
,,,,,Total,,34,42,,872.288,,1254.754,,"1,193.8",,95.9,,92.0,,"1,659.2",,"5,348.2",
NE,Senior Citzen Industries,7052,Non-Profit,Y,DR,DO,9,,,,,,,199.3,,,,14.5,,40.3,,,
NE,StarTran,7001,City,N,DR,DO,9,13,,0,,286.375,,246.5,,20.5,,18.3,,40.5,,182.6,
NE,StarTran,7001,City,N,DT,PT,10,10,,0,,134.22,,134.2,,6.5,,6.5,,24.7,,135.9,
NE,StarTran,7001,City,N,MB,DO,47,58,,1369.524,,1445.739,,"1,374.4",,105.9,,101.2,,"2,006.1",,"5,338.8",
,,,,,Total,,66,81,,1369.524,,1866.334,,"1,755.1",,133.0,,126.0,,"2,071.3",,"5,657.3",
NE,Transit Authority of Omaha(Metro),7002,Authority,N,DR,DO,20,20,,0,,824.933,,749.8,,52.9,,50.1,,103.5,,889.1,
NE,Transit Authority of Omaha(Metro),7002,Authority,N,DT,PT,25,25,,0,,114.782,,114.8,,5.5,,5.5,,28.3,,114.8,
NE,Transit Authority of Omaha(Metro),7002,Authority,N,MB,DO,118,142,,3928.944,,3918.534,,"3,918.5",,285.6,,285.6,,"4,225.0",,"18,061.5",
,,,,,Total,,163,187,,3928.944,,4858.249,,"4,783.2",,344.0,,341.2,,"4,356.8",,"19,065.4",
NH,Cooperative Alliance for Seacoast Transportation(COAST),1086,Authority,N,DR,DO,3,10,,0,,190.079,,141.6,,10.9,,8.2,,12.1,,83.0,
NH,Cooperative Alliance for Seacoast Transportation(COAST),1086,Authority,N,MB,DO,17,30,,621.695,,701.082,,627.4,,43.7,,40.8,,477.2,,"3,836.6",
,,,,,Total,,20,40,,621.695,,891.161,,769.0,,54.6,,49.0,,489.4,,"3,919.6",
NH,Greater Derry Salem Cooperative Alliance for Regional Transportation(CART),1123,Authority,Y,DR,PT,5,,,,,,,80.2,,,,5.7,,14.0,,,
NH,Greater Derry Salem Cooperative Alliance for Regional Transportation(CART),1123,Authority,Y,MB,PT,1,,,,,,,4.9,,,,0.3,,0.1,,,
,,,,,Total,,6,,,,,,,85.2,,,,6.0,,14.1,,,
NH,"Jalbert Leasing, Inc. dba C&J",1122,For-Profit,Y,CB,DO,22,,,,,,,"2,080.3",,,,63.4,,630.6,,,
NH,Manchester Transit Authority(MTA),1002,Authority,N,DR,DO,5,8,,0,,82.228,,71.1,,10.7,,9.4,,14.2,,75.5,
NH,Manchester Transit Authority(MTA),1002,Authority,N,MB,DO,14,20,,445.787,,456.915,,447.2,,38.1,,37.3,,427.2,,958.1,
,,,,,Total,,19,28,,445.787,,539.143,,518.3,,48.8,,46.7,,441.4,,"1,033.6",
NH,Nashua Transit System(NTS),1087,City,N,DR,PT,7,9,,0,,165.685,,144.2,,10.4,,9.7,,21.7,,160.4,
NH,Nashua Transit System(NTS),1087,City,N,MB,PT,8,11,,428.426,,439.131,,427.7,,32.1,,31.3,,495.6,,"2,374.0",
,,,,,Total,,15,20,,428.426,,604.816,,571.9,,42.5,,41.0,,517.4,,"2,534.4",
NH,University Of New Hampshire - University Transportation Services(UNH UTS),1119,University,N,MB,DO,22,33,,407.716,,445.66,,422.4,,34.2,,25.7,,"1,094.6",,"3,088.0",
NJ,"Academy Lines, Inc.",2122,For-Profit,N,MB,DO,240,260,,8121.755,,9126.838,,"8,041.3",,353.2,,321.2,,"4,121.6",,"242,471.1",
NJ,Bergen County Community Transportation(BCCT),2192,City,N,DR,DO,60,60,,0,,1111.317,,932.3,,117.1,,110.8,,254.1,,"2,633.7",
NJ,Cape May County Fare Free Transportation(Fare Free),2203,City,N,DR,DO,33,41,,0,,848.16,,662.4,,53.3,,41.9,,84.6,,753.2,
NJ,"Community Transit, Inc. (Community Transit)",2160,For-Profit,N,MB,DO,22,22,,920.892,,1177.319,,897.8,,75.4,,66.6,,587.9,,"14,448.5",
NJ,County of Atlantic(ACTU),2199,City,N,DR,DO,30,45,,0,,644.128,,453.6,,46.2,,35.7,,129.6,,"1,121.7",
NJ,County of Burlington(BurLink),2208,City,Y,MB,PT,15,,,,,,,326.7,,,,17.7,,131.3,,,
NJ,County of Cumberland(CCET),2201,City,Y,MB,DO,8,,,,,,,101.7,,,,7.2,,51.5,,,
NJ,County of Hunterdon(HCLink),2212,City,N,DR,PT,32,32,,0,,404.739,,330.1,,22.9,,18.8,,74.0,,638.0,
NJ,County of Mercer(TRADE),2211,City,Y,MB,DO,25,,,,,,,207.6,,,,18.5,,62.1,,,
NJ,County of Morris(MAPS),2210,City,N,DR,DO,29,36,,0,,539.448,,359.6,,35.1,,27.5,,0.0,W,0.0,W
NJ,Cumberland Area Transit System(CATS),2193,City,N,DR,DO,20,41,,0,,578.154,,491.0,,37.5,,33.4,,88.5,,606.9,
NJ,DeCamp Bus Lines,2161,For-Profit,N,MB,DO,56,78,,1749.3,,2225.274,,"1,735.6",,129.1,,91.3,,"1,977.0",,"42,863.6",
NJ,East Windsor Township(EW),2194,City,Y,DR,DO,1,,,,,,,10.4,,,,1.5,,4.9,,,
NJ,East Windsor Township(EW),2194,City,Y,MB,PT,1,,,,,,,23.0,,,,0.9,,8.1,,,
,,,,,Total,,2,,,,,,,33.4,,,,2.4,,13.0,,,
NJ,Essex County Division of Training and Employment(ECDTE),2202,City,Y,DR,PT,9,,,,,,,136.8,,,,13.6,,65.9,,,
NJ,Gloucester County Division of Transportation Services (DTS),2195,City,N,DR,DO,31,31,,0,,403.015,,348.2,,39.4,,34.5,,64.6,,"1,145.3",
NJ,Gloucester County Division of Transportation Services (DTS),2195,City,N,MB,DO,1,1,,8.72,,9.689,,6.4,,0.7,,0.5,,2.0,,20.1,
,,,,,Total,,32,32,,8.72,,412.704,,354.7,,40.0,,34.9,,66.6,,"1,165.4",
NJ,"Hudson Transit Lines, Inc.(Short Line)",2126,For-Profit,N,MB,DO,153,187,,8746.5,,9505.775,,"9,131.4",,213.3,,204.9,,"4,314.8",,"223,843.0",
NJ,Hudson Transportation Management Association(HCIAHTMA),2207,Authority,Y,MB,PT,1,,,,,,,11.7,,,,1.3,,30.7,,,
NJ,"Lakeland Bus Lines, Inc.",2163,For-Profit,N,MB,DO,59,73,,2847.908,,3332.6,,"2,802.1",,97.1,,85.2,,"1,613.4",,"42,701.6",
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,N,DR,PT,6,12,,0,,81.614,,42.7,,7.5,,5.8,,9.2,,40.5,
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,N,DR,DO,7,13,,0,,98.539,,56.8,,5.6,,3.9,,10.2,,45.4,
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,N,MB,DO,9,26,,57.896,,73.045,,57.9,,5.4,,4.8,,47.1,,164.7,
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,N,MB,PT,12,26,,97.803,,130.264,,97.8,,9.9,,8.8,,79.3,,282.9,
,,,,,Total,,34,77,,155.699,,383.462,,255.3,,28.5,,23.3,,145.8,,533.4,
NJ,Middlesex County Area Transit(MCAT),2196,City,N,DR,DO,75,75,,0,,1084.5,Q,939.4,Q,69.5,Q,55.9,Q,164.4,,"2,392.2",
NJ,Middlesex County Area Transit(MCAT),2196,City,N,DT,PT,11,11,,0,,112.599,,112.6,,19.1,,19.1,,20.0,,114.3,
NJ,Middlesex County Area Transit(MCAT),2196,City,N,MB,DO,14,18,,664.461,,707.777,,647.4,,47.2,,43.6,,401.9,,"2,358.7",
,,,,,Total,,100,104,,664.461,,1904.876,,"1,699.4",,135.8,,118.5,,586.2,,"4,865.2",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,CR,DO,"1,278",1308,,62656.802,,65964.214,,"62,295.2",,"2,282.1",,"1,845.5",,"81,353.9",,"1,905,025.7",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,DR,PT,363,367,,0,,13966.864,,"11,621.5",,775.9,,655.0,,"1,099.4",,"7,123.2",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,LR,PT,42,52,,1990.568,,1948.667,,"1,948.7",,118.4,,118.4,,"13,326.0",,"44,413.5",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,LR,DO,14,21,,527.43,,540.741,,535.0,,56.0,,54.1,,"5,712.5",,"12,784.9",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,MB,PT,184,223,,6770.299,,7703.219,,"6,764.4",,682.6,,572.0,,"10,635.3",,"47,513.3",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,MB,DO,"1,825",2186,,71395.967,,91473.041,,"71,315.9",,"5,709.0",,"4,777.4",,"151,045.2",,"992,908.2",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,VP,PT,223,227,,0,,5045.418,,"5,045.4",,117.0,,117.0,,868.5,,"32,360.4",
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Semi-Public Corp,N,YR,PT,15,20,,1147.048,,1146.069,,"1,146.1",,49.3,,49.3,,"2,782.3",,"40,546.1",
,,,,,Total,,"3,944",4404,,144488.114,,187788.233,,"160,672.1",,"9,790.3",,"6,561.6",,"266,823.2",,"3,082,675.4",
NJ,New Jersey Transit Corporation-45(NJTC-45),2132,Consolidated,N,MB,DO,42,46,,1030.92,,1030.659,,"1,029.1",,129.7,,129.0,,"5,121.1",,"7,926.6",
NJ,"Olympia Trails Bus Company, Inc.(Coach USA)",2165,For-Profit,N,MB,DO,8,15,,818.8,,817.75,,799.1,,61.1,,59.4,,580.7,,"10,451.1",
NJ,"Orange-Newark-Elizabeth, Inc.(Coach USA)",2166,For-Profit,N,MB,DO,52,61,,1850.821,,2194.106,,"1,795.7",,218.9,,192.2,,"10,658.9",,"34,108.6",
NJ,Port Authority Trans-Hudson Corporation(PATH),2098,Authority,N,FB,PT,6,6,,138.334,,138.334,,138.3,,15.2,,15.2,,"1,439.4",,"3,681.6",
NJ,Port Authority Trans-Hudson Corporation(PATH),2098,Authority,N,HR,DO,280,350,,10615.351,,10586.258,,"10,027.0",,697.6,,541.8,,"79,852.6",,"339,698.3",
,,,,,Total,,286,356,,10753.685,,10724.592,,"10,165.4",,712.8,,92.6,,"81,292.0",,"343,380.0",
NJ,Port Authority Transit Corporation(PATCO),2075,Authority,N,HR,DO,84,92,,4437.566,,4665.595,,"4,405.5",,160.9,,141.8,,"10,612.9",,"93,958.0",
NJ,Port Imperial Ferry Corporation dba NY Waterway,2190,For-Profit,N,FB,DO,12,15,,424.389,,424.389,,424.4,,27.0,,27.0,,"4,030.5",,"15,625.0",
NJ,Port Imperial Ferry Corporation dba NY Waterway,2190,For-Profit,N,MB,DO,40,50,,629.302,,629.302,,600.2,,128.1,,126.5,,"3,247.6",,"13,251.5",
,,,,,Total,,52,65,,1053.691,,1053.691,,"1,024.6",,155.1,,153.5,,"7,278.1",,"28,876.5",
NJ,"Rockland Coaches, Inc.",2149,For-Profit,N,MB,DO,84,103,,3354.617,,4106.125,,"3,325.8",,178.4,,136.8,,"2,908.3",,"61,676.7",
NJ,"Senior Citizens United Community Services of Camden County, Inc.(SCUCS)",2204,Non-Profit,Y,DR,DO,26,,,,,,,208.5,,,,17.3,,72.1,,,
NJ,Somerset County Transportation(SCT),2209,City,N,DR,DO,65,85,,0,,1614.689,,"1,469.4",,101.3,,94.9,,313.0,,"2,203.5",
NJ,Somerset County Transportation(SCT),2209,City,N,MB,DO,10,18,,275.721,,306.637,,270.7,,42.8,,39.9,,113.9,,471.8,Q
,,,,,Total,,75,103,,275.721,,1921.326,,"1,740.1",,144.1,,134.7,,427.0,,"2,675.3",
NJ,South Jersey Transportation Authority(sjta),2200,Authority,Y,DR,DO,4,,,,,,,49.0,,,,3.7,,9.6,,,
NJ,South Jersey Transportation Authority(sjta),2200,Authority,Y,MB,DO,23,,,,,,,316.1,,,,20.2,,199.1,,,
,,,,,Total,,27,,,,,,,365.1,,,,23.9,,208.7,,,
NJ,Suburban Transit Corporation(Coach USA),2128,For-Profit,N,MB,DO,136,140,,5729.09,,5780.127,,"5,591.7",,278.4,,271.7,,"2,810.9",,"69,016.0",
NJ,"TransOptions, Inc. ",2198,Non-Profit,Y,MB,PT,3,,,,,,,62.4,,,,3.7,,2.8,,,
NM,City of Albuquerque Transit Department(ABQ Ride),6019,City,N,DR,DO,54,60,,0,,2174.918,,"1,875.1",,128.0,,109.4,,238.2,,"2,304.4",
NM,City of Albuquerque Transit Department(ABQ Ride),6019,City,N,MB,DO,128,160,,5324.567,,6371.997,,"5,326.2",,425.3,,392.2,,"12,821.1",,"45,940.2",
,,,,,Total,,182,220,,5324.567,,8546.915,,"7,201.3",,553.3,,501.6,,"13,059.3",,"48,244.6",
NM,City of Farmington dba: Red Apple Transit(COF),6100,City,Y,DR,PT,1,,,,,,,22.3,,,,2.4,,4.7,,,
NM,City of Farmington dba: Red Apple Transit(COF),6100,City,Y,MB,PT,8,,,,,,,252.2,,,,19.3,,138.0,,,
,,,,,Total,,9,,,,,,,274.5,,,,21.7,,142.8,,,
NM,Las Cruces Area Transit(RoadRUNNER Transit),6049,City,Y,DR,DO,12,,,,,,,204.3,,,,21.6,,54.9,,,
NM,Las Cruces Area Transit(RoadRUNNER Transit),6049,City,Y,MB,DO,12,,,,,,,503.0,,,,34.4,,696.6,,,
,,,,,Total,,24,,,,,,,707.3,,,,56.0,,751.5,,,
NM,Rio Metro Regional Transit District(RMRTD),6111,Authority,N,CB,PT,2,7,,40.963,,60.585,,41.0,,2.0,,1.4,,6.8,,112.2,
NM,Rio Metro Regional Transit District(RMRTD),6111,Authority,N,CR,PT,25,31,,1408.347,,1434.853,,"1,408.3",,39.4,,37.3,,"1,191.7",,"51,756.7",
NM,Rio Metro Regional Transit District(RMRTD),6111,Authority,N,DR,DO,6,10,,0,,119.057,,100.7,,11.2,,8.9,,19.4,,131.6,
,,,,,Total,,33,48,,1449.31,,1614.495,,"1,550.0",,52.5,,21.9,,"1,217.8",,"52,000.6",
NM,Santa Fe Trails - City of Santa Fe(SFT),6077,City,N,DR,DO,13,16,,0,,368.035,,265.9,,29.7,,25.9,,44.9,,184.8,
NM,Santa Fe Trails - City of Santa Fe(SFT),6077,City,N,MB,DO,22,32,,887.088,,921.499,,860.6,,77.0,,74.0,,"1,000.8",,"3,819.8",
,,,,,Total,,35,48,,887.088,,1289.534,,"1,126.5",,106.6,,99.9,,"1,045.7",,"4,004.6",
NV,Carson Area Metropolitan Planning Organization(CAMPO),9215,MPO,Y,DR,PT,4,,,,,,,52.2,,,,5.9,,14.4,,,
NV,Carson Area Metropolitan Planning Organization(CAMPO),9215,MPO,Y,MB,PT,4,,,,,,,181.4,,,,14.0,,183.7,,,
,,,,,Total,,8,,,,,,,233.6,,,,19.9,,198.1,,,
NV,Las Vegas Monorail Company(LVMC),9242,Non-Profit,N,MG,PT,28,36,,2018.473,,2029.892,,"2,018.5",,157.1,,155.7,,"4,128.1",,"5,779.4",
NV,Regional Transportation Commission of Southern Nevada(RTC),9045,Authority,N,DR,PT,336,388,,0,,12304.739,,"10,638.9",,851.9,,694.7,,"1,317.7",,"14,729.3",
NV,Regional Transportation Commission of Southern Nevada(RTC),9045,Authority,N,MB,PT,289,397,,16928.321,,16864.671,,"15,104.7",,"1,349.3",,"1,283.0",,"59,699.1",,"220,017.6",
,,,,,Total,,625,785,,16928.321,,29169.41,,"25,743.6",,"2,201.2",,"1,977.7",,"61,016.8",,"234,746.9",
NV,Regional Transportation Commission of Washoe County(RTC),9001,Authority,N,CB,PT,3,3,,103.531,,113.197,,103.5,,3.7,,3.3,,42.7,,148.0,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Authority,N,DR,PT,44,45,,0,,1282.659,,"1,197.1",,90.2,,82.4,,208.3,,"1,390.3",
NV,Regional Transportation Commission of Washoe County(RTC),9001,Authority,N,DT,PT,7,7,,0,,95.894,,95.9,,3.8,,3.8,,14.3,,103.7,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Authority,N,MB,PT,56,69,,2747.876,,2899.433,,"2,732.0",,255.6,,248.1,,"7,919.4",,"27,260.7",
NV,Regional Transportation Commission of Washoe County(RTC),9001,Authority,N,VP,PT,30,32,,0,,692.902,,692.9,,13.9,,13.9,,93.0,,"5,019.9",
,,,,,Total,,140,156,,2851.407,,5084.085,,"4,821.4",,367.1,,351.4,,"8,277.7",,"33,922.6",
NY,"Adirondack Transit Lines, Inc,(Adirondack Trailways)",2177,For-Profit,N,CB,DO,26,33,,2145.767,,2396.177,Q,"2,269.3",Q,60.1,Q,57.0,Q,528.6,,"42,332.1",
NY,"BillyBey Ferry Company, LLC",2189,For-Profit,N,FB,DO,7,9,,251.943,,251.943,,251.9,,19.2,,19.2,,"1,707.6",,"3,456.9",
NY,Broome County Department of Public Transportation(Broome County),2003,City,N,DR,DO,6,9,,0,,266.865,,238.3,,14.6,,12.5,,20.0,,323.3,
NY,Broome County Department of Public Transportation(Broome County),2003,City,N,DR,PT,10,12,,0,,425.83,,386.3,,34.0,,32.0,,79.9,,534.0,
