State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,N,DR,DO,7,8,,0,,157.476,,84.6,,12.7,,9.0,,24.3,,117.2,
AZ,Town of Oro Valley - Transit Services Division(SunShutDNR),9191,Authority,Y,DR,DO,13,,,,,,,163.2,,,,11.5,,20.1,,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,Semi-Public Corp,N,LR,PT,26,50,,2334.95,,2470.435,,"2,435.9",,171.7,,168.7,,"13,553.5",,"93,289.8",
AZ,Yuma Metropolitan Planning Organization(Yuma County Area Transit),9192,MPO,N,DR,PT,8,13,,0,,152.817,,79.4,,9.4,,7.4,,14.1,,95.6,
AZ,Yuma Metropolitan Planning Organization(Yuma County Area Transit),9192,MPO,N,MB,PT,12,17,,545,,630.662,,544.6,,28.1,,24.0,,298.6,,"1,740.0",
,,,,,Total,,20,30,,545,,783.479,,624.0,,37.5,,31.5,,312.6,,"1,835.6",
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,VP,DO,391,415,,0,,6254.438,,"6,254.4",,144.4,,144.4,,"1,221.1",,"30,939.4",
CA,Access Services  (AS),9157,Authority,N,DR,PT,695,745,,0,,36526.152,,"30,491.9",,"2,179.7",,"1,780.4",,"3,275.0",,"42,417.3",
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,DR,PT,189,215,,0,,7724.56,,"6,374.0",,473.5,,413.9,,753.9,,"7,628.9",
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,MB,DO,483,577,,18620.546,,21557.12,,"18,247.8",,"1,763.0",,"1,614.1",,"53,642.9",,"187,308.4",
,,,,,Total,,672,792,,18620.546,,29281.68,,"24,621.8",,"2,236.5",,"2,028.0",,"54,396.8",,"194,937.3",
CA,Altamont Commuter Express(ACE),9182,Authority,N,CR,PT,18,24,,781.2,,828.502,,805.2,,24.9,,20.2,,786.9,,"35,964.6",
CA,Anaheim Transportation Network(ATN),9211,Non-Profit,N,MB,PT,49,63,,890.23,,1408.69,,"1,225.8",,227.8,,210.0,,"7,613.3",,"16,107.4",
CA,Antelope Valley Transit Authority(AVTA),9121,Authority,N,CB,PT,25,25,,737.847,,835.25,,737.8,,30.1,,23.4,,258.0,,"3,733.4",
CA,Antelope Valley Transit Authority(AVTA),9121,Authority,N,DR,PT,11,14,,0,,190.347,,159.6,,9.2,,8.1,,17.5,,149.9,
CA,Antelope Valley Transit Authority(AVTA),9121,Authority,N,DT,PT,15,15,,0,,137.266,,137.3,,5.5,,5.5,,18.8,,165.7,
CA,Antelope Valley Transit Authority(AVTA),9121,Authority,N,MB,PT,43,48,,1979.503,,2165.431,,"1,978.2",,152.9,,144.5,,"2,880.4",,"37,735.0",
,,,,,Total,,94,102,,2717.35,,3328.294,,"3,012.9",,197.7,,181.5,,"3,174.7",,"41,784.0",
CA,Butte County Association of Governments(BCAG),9208,MPO,N,DR,PT,21,27,,0,,433.878,,363.7,,52.9,,44.3,,136.1,,512.8,
