State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
NC,Capital Area Transit(CAT),4007,City,N,DT,PT,182,182,,0.0 ,,"2,072.6",,"2,072.6",,203.0,,203.0,,456.5,,"3,805.1",,
NC,Capital Area Transit(CAT),4007,City,N,MB,DO,65,100,,"2,722.5",,"2,956.0",,"2,721.1",,227.7,,213.4,,"5,777.3",,"26,735.1",,
,,,,,Total,,247,282,,"2,722.5",,"5,028.6",,"4,793.6",,430.7,,416.3,,"6,233.8",,"30,540.3",,
NC,Chapel Hill Transit(CHT),4051,City,N,DR,DO,13,19,,0.0 ,,373.8,,317.3,,32.2,,25.5,,64.6,,320.3,,
NC,Chapel Hill Transit(CHT),4051,City,N,MB,DO,76,98,,"1,892.0",,"2,404.1",,"1,922.8",,182.6,,165.2,,"7,136.1",,"15,600.7",,
,,,,,Total,,89,117,,"1,892.0",,"2,778.0",,"2,240.1",,214.8,,190.8,,"7,200.7",,"15,921.0",,
NC,Charlotte Area Transit System(CATS),4008,City,N,DR,DO,69,84,,0.0 ,,"2,794.6",,"2,445.2",,164.3,,130.6,,229.1,,"2,403.8",,
NC,Charlotte Area Transit System(CATS),4008,City,N,LR,DO,14,20,,614.8,,868.8,,849.0,,46.7,,45.6,,"4,769.9",,"23,958.6",,
NC,Charlotte Area Transit System(CATS),4008,City,N,MB,DO,269,323,,"10,829.1",,"12,425.3",,"10,822.4",,854.2,,780.8,,"21,768.0",,"100,414.0",,
NC,Charlotte Area Transit System(CATS),4008,City,N,VP,DO,73,112,,0.0 ,,"1,931.3",,"1,931.3",,36.4,,36.4,,261.5,,"12,837.9",,
,,,,,Total,,425,539,,"11,443.9",,"18,020.0",,"16,047.9",,"1,101.6",,975.7,,"27,028.5",,"139,614.2",,
NC,City of Concord(Rider Transit System),4167,City,Y,MB,PT,7,,,,,,,572.4,,,,31.3,,384.3,,,,
NC,Davidson County Transportation(DCTS),4131,City,Y,DR,DO,6,,,,,,,325.2,,,,33.4,,54.0,,,,
NC,Durham Area Transit Authority(DATA),4087,City,N,DR,PT,37,42,,0.0 ,,"1,483.0",,"1,348.3",,92.7,,82.3,,177.3,,"1,579.9",,
NC,Durham Area Transit Authority(DATA),4087,City,N,MB,PT,40,61,,"2,624.2",,"2,810.2",,"2,623.7",,189.2,,182.7,,"5,646.9",,"20,703.8",,
,,,,,Total,,77,103,,"2,624.2",,"4,293.1",,"3,971.9",,281.9,,265.0,,"5,824.2",,"22,283.7",,
NC,Fayetteville Area System of Transit(FAST),4009,City,N,DR,DO,10,13,,0.0 ,,311.8,,262.4,,22.8,,17.5,,44.5,,293.8,,
NC,Fayetteville Area System of Transit(FAST),4009,City,N,MB,DO,17,21,,842.3,,867.2,,825.5,,72.7,,70.6,,"1,357.4",,"4,242.0",Q,
,,,,,Total,,27,34,,842.3,,"1,178.9",,"1,087.9",,95.5,,88.0,,"1,402.0",,"4,535.8",,
NC,Greensboro Transit Authority(GTA),4093,City,N,DR,PT,36,44,,0.0 ,,"1,544.2",,"1,444.2",,96.9,,91.4,,206.6,,"1,664.0",,
NC,Greensboro Transit Authority(GTA),4093,City,N,MB,PT,46,57,,"2,163.3",,"2,235.6",,"2,186.9",,172.2,,170.0,,"4,403.5",,"18,934.2",,
,,,,,Total,,82,101,,"2,163.3",,"3,779.8",,"3,631.1",,269.0,,261.4,,"4,610.1",,"20,598.2",,
NC,Guildford County Transportation(GCTAMS),4133,City,N,DR,PT,42,44,,0.0 ,,"1,880.0",,"1,589.5",,133.7,,116.3,,214.8,,"2,293.5",,
NC,High Point Transit(Hi tran),4011,City,Y,DR,DO,3,,,,,,,78.7,,,,5.4,,16.6,,,,
NC,High Point Transit(Hi tran),4011,City,Y,DR,PT,3,,,,,,,65.5,,,,7.2,,12.8,,,,
NC,High Point Transit(Hi tran),4011,City,Y,MB,DO,12,,,,,,,464.7,,,,33.2,,835.7,,,,
,,,,,Total,,18,,,,,,,608.9,,,,45.8,,865.1,,,,
NC,North Carolina State University Transportation Department(NCSU),4147,University,Y,MB,PT,27,,,,,,,621.2,,,,63.3,,"2,432.7",,,,
NC,Piedmont Authority for Regional Transportation(PART),4173,Agency,N,MB,PT,33,38,,"2,232.4",,"2,201.5",,"1,986.9",,72.8,,61.4,,520.6,,"11,172.0",,
NC,Piedmont Authority for Regional Transportation(PART),4173,Agency,N,VP,DO,44,63,,0.0 ,,836.9,,836.9,,18.4,,18.4,,212.5,,"8,493.8",,
,,,,,Total,,77,101,,"2,232.4",,"3,038.4",,"2,823.8",,91.2,,79.8,,733.1,,"19,665.8",,
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Agency,N,DR,DO,8,10,,0.0 ,,450.4,,345.0,,20.6,,14.6,,29.1,,632.7,,
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Agency,N,MB,DO,57,67,,"2,287.0",,"2,649.7",,"2,286.4",,129.5,,109.3,,"1,287.2",,"15,183.2",,
NC,Research Triangle Regional Public Transportation Authority(Triangle Transit),4108,Agency,N,VP,DO,70,88,,0.0 ,,"1,068.9",,"1,068.9",,26.4,,26.4,,366.6,,"11,520.1",,
,,,,,Total,,135,165,,"2,287.0",,"4,168.9",,"3,700.3",,176.5,,150.4,,"1,682.9",,"27,336.0",,
NC,Town of Cary(CTRAN),4143,City,Y,DR,PT,18,,,,,,,421.1,,,,27.0,,45.6,,,,
NC,Town of Cary(CTRAN),4143,City,Y,MB,PT,11,,,,,,,447.5,,,,31.4,,184.4,,,,
,,,,,Total,,29,,,,,,,868.6,,,,58.4,,230.0,,,,
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),4172,Agency,N,DR,DO,38,46,,0.0 ,,923.0,,788.2,,54.6,,47.6,,103.3,,"1,275.6",Q,
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),4172,Agency,N,MB,DO,7,9,,338.8,,365.8,,328.0,,19.8,,17.8,,135.5,,"1,260.5",Q,
,,,,,Total,,45,55,,338.8,,"1,288.9",,"1,116.3",,74.4,,65.4,,238.8,,"2,536.1",,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),4012,Agency,N,DR,DO,23,24,,0.0 ,,758.2,,681.8,,54.1,,50.4,,139.6,,681.0,,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),4012,Agency,N,MB,DO,33,48,,"1,489.3",,"1,520.8",,"1,492.0",,132.7,,130.6,,"2,948.3",,"6,476.8",,
,,,,,Total,,56,72,,"1,489.3",,"2,278.9",,"2,173.8",,186.8,,181.0,,"3,087.9",,"7,157.8",,
ND,Bis-Man Transit Board(CAT),8019,Agency,N,DR,PT,22,26,,0.0 ,,685.7,,666.3,,50.0,,46.7,,171.9,,601.6,,
ND,Bis-Man Transit Board(CAT),8019,Agency,N,MB,PT,7,10,,318.4,,318.4,,301.0,,21.4,,19.8,,124.7,,596.8,,
,,,,,Total,,29,36,,318.4,,"1,004.1",,967.3,,71.3,,66.5,,296.5,,"1,198.4",,
ND,Cities Area Transit(CAT),8008,City,N,DR,PT,14,14,,0.0 ,,273.6,,256.2,,23.8,,22.7,,61.1,,172.1,,
ND,Cities Area Transit(CAT),8008,City,N,MB,DO,8,11,,381.5,,399.0,,381.5,,26.1,,24.8,,328.9,,"1,520.0",,
,,,,,Total,,22,25,,381.5,,672.6,,637.8,,49.9,,47.6,,390.0,,"1,692.1",,
ND,"City of Fargo, DBA:  Metropolitan Area Transit(MAT)",8003,City,N,DR,PT,11,14,,0.0 ,,375.8,Q,347.2,Q,29.4,Q,26.3,Q,59.0,,359.0,,
ND,"City of Fargo, DBA:  Metropolitan Area Transit(MAT)",8003,City,N,MB,PT,20,28,,798.3,,800.5,,783.0,,61.6,,60.6,,"1,772.4",,"5,400.7",,
,,,,,Total,,31,42,,798.3,,"1,176.2",,"1,130.2",,91.1,,86.9,,"1,831.4",,"5,759.7",,
NE,StarTran,7001,City,N,DR,DO,9,13,,0.0 ,,262.0,,223.7,,18.7,,16.5,,36.5,,173.6,,
NE,StarTran,7001,City,N,DT,PT,10,10,,0.0 ,,131.3,,131.3,,6.2,,6.2,,24.1,,132.7,,
NE,StarTran,7001,City,N,MB,DO,47,61,,"1,400.3",,"1,461.4",,"1,406.1",,105.9,,102.2,,"1,878.3",,"4,976.4",,
,,,,,Total,,66,84,,"1,400.3",,"1,854.6",,"1,761.1",,130.8,,124.9,,"1,939.0",,"5,282.8",,
NE,Transit Authority of Omaha(Metro),7002,Agency,N,DR,DO,19,23,,0.0 ,,734.7,,664.1,,50.5,,46.3,,95.4,,522.7,,
NE,Transit Authority of Omaha(Metro),7002,Agency,N,DT,PT,34,34,,0.0 ,,224.6,,224.6,,13.4,,13.4,,31.4,,172.9,,
NE,Transit Authority of Omaha(Metro),7002,Agency,N,MB,DO,122,138,,"3,985.0",,"3,976.8",,"3,976.8",,292.4,,292.4,,"3,895.7",,"16,127.1",,
,,,,,Total,,175,195,,"3,985.0",,"4,936.1",,"4,865.4",,356.3,,352.1,,"4,022.6",,"16,822.8",,
NH,Cooperative Alliance for Seacoast Transportation(COAST),1086,Agency,N,DR,DO,2,9,,0.0 ,,119.8,,76.9,,6.7,,4.2,,7.4,,53.3,,
NH,Cooperative Alliance for Seacoast Transportation(COAST),1086,Agency,N,MB,DO,13,29,,563.9,,634.5,,569.2,,42.0,,39.4,,432.0,,"3,361.8",,
NH,Cooperative Alliance for Seacoast Transportation(COAST),1086,Agency,N,MB,PT,4,4,,38.3,,61.5,,38.1,,4.5,,3.5,,20.2,,150.5,,
,,,,,Total,,19,42,,602.3,,815.8,,684.3,,53.2,,47.1,,459.7,,"3,565.6",,
NH,Greater Derry Salem Cooperative Alliance for Regional Transportation(CART),1123,Agency,Y,DR,PT,4,,,,,,,99.1,,,,6.0,,11.0,,,,
NH,"Jalbert Leasing, Inc. dba C&J",1122,For-Profit,Y,MB,DO,21,,,,,,,"1,423.5",,,,44.3,,604.1,,,,
NH,Manchester Transit Authority(MTA),1002,Agency,N,DR,DO,5,5,,0.0 ,,91.0,,80.9,,8.5,,7.4,,14.6,,80.4,,
NH,Manchester Transit Authority(MTA),1002,Agency,N,MB,DO,14,17,,483.5,,493.3,,483.5,,41.9,,41.1,,461.6,,"1,032.7",,
,,,,,Total,,19,22,,483.5,,584.3,,564.4,,50.4,,48.5,,476.1,,"1,113.1",,
NH,Nashua Transit System(NTS),1087,City,N,DR,PT,7,9,,0.0 ,,161.9,,146.2,,10.5,,9.7,,25.2,,186.2,,
NH,Nashua Transit System(NTS),1087,City,N,MB,PT,7,11,,364.3,,371.7,,360.3,,26.5,,25.9,,470.1,,"2,252.0",,
,,,,,Total,,14,20,,364.3,,533.6,,506.5,,37.0,,35.6,,495.4,,"2,438.1",,
NH,University Of New Hampshire - University Transportation Services(UNH UTS),1119,University,N,MB,DO,25,31,,458.2,,477.8,,447.3,,34.3,,25.4,,"1,138.7",,"2,949.8",,
NJ,"Academy Lines, Inc.",2122,For-Profit,N,MB,DO,240,267,,"8,088.3",,"9,089.3",,"8,008.2",,351.9,,319.9,,"4,068.7",,"241,225.7",,
NJ,Bergen County Community Transportation(BCCT),2192,City,N,DR,DO,56,58,,0.0 ,,"1,071.8",Q,797.4,Q,109.8,Q,102.9,Q,254.7,,"3,103.1",,
NJ,Cape May County Fare Free Transportation(Fare Free),2203,City,N,DR,DO,31,41,,0.0 ,,838.4,,668.6,,51.1,,43.3,,188.8,,222.9,,
NJ,"Community Transit, Inc. (Community Transit)",2160,For-Profit,N,MB,DO,21,22,,938.9,,"1,204.6",,907.6,,75.4,Q,67.0,,589.8,,"14,830.8",,
NJ,County of Atlantic(ACTU),2199,City,N,DR,DO,28,43,,0.0 ,,633.5,,452.7,,45.1,,41.0,,140.2,,"1,260.9",,
NJ,County of Cumberland(CCET),2201,City,Y,MB,DO,6,,,,,,,82.6,,,,5.8,,50.3,,,,
NJ,Cumberland Area Transit System(CATS),2193,AAOA,N,DR,DO,25,41,,0.0 ,,607.1,,521.5,,37.5,,33.7,,96.2,,677.1,,
NJ,DeCamp Bus Lines,2161,For-Profit,N,MB,DO,56,78,,"1,700.0",,"2,152.0",,"1,690.9",,133.0,,94.1,,"2,041.2",,"44,231.9",,
NJ,East Windsor Township(EW),2194,City,Y,DR,DO,1,,,,,,,20.6,,,,1.0,,1.3,,,,
NJ,East Windsor Township(EW),2194,City,Y,MB,PT,1,,,,,,,9.0,,,,1.6,,5.4,,,,
,,,,,Total,,2,,,,,,,29.5,,,,2.5,,6.7,,,,
NJ,Essex County Division of Training and Employment,2202,City,Y,DR,DO,9,,,,,,,137.2,,,,13.6,,66.3,,,,
NJ,Gloucester County Division of Transportation Services (DTS),2195,City,N,DR,DO,37,37,,0.0 ,,247.8,,193.4,,21.0,,17.9,,33.3,,699.3,,
NJ,"Hudson Transit Lines, Inc.(Short Line)",2126,For-Profit,N,MB,DO,153,180,,"8,746.5",,"9,191.2",,"8,829.3",,206.4,,198.4,,"4,078.5",,"212,105.2",,
NJ,"Lakeland Bus Lines, Inc.",2163,For-Profit,N,MB,DO,59,72,,"2,814.1",,"3,223.7",,"2,799.2",,93.9,,82.4,,"1,782.5",,"47,482.1",,
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,Y,DR,PT,2,,,,,,,11.2,,,,0.8,,5.2,,,,
NJ,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink(Meadowlink)",2197,Non-Profit,Y,MB,PT,11,,,,,,,70.2,,,,6.0,,63.0,,,,
,,,,,Total,,13,,,,,,,81.4,,,,6.8,,68.2,,,,
NJ,Middlesex County Area Transit(MCAT),2196,City,N,DR,DO,75,75,,0.0 ,,"1,121.3",,888.2,,77.5,,62.9,,164.4,,"2,667.8",,
NJ,Middlesex County Area Transit(MCAT),2196,City,N,DT,PT,20,20,,0.0 ,,105.0,,105.0,,14.9,,14.9,,17.9,,122.1,,
NJ,Middlesex County Area Transit(MCAT),2196,City,N,MB,DO,14,18,,717.2,,762.6,,717.2,,43.1,,37.8,,415.0,,"2,548.0",,
,,,,,Total,,109,113,,717.2,,"1,989.0",,"1,710.4",,135.6,,115.6,,597.4,,"5,337.8",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,CR,DO,"1,276",1370,,"63,945.2",,"67,534.5",,"63,010.3",,"2,324.4",,"1,873.8",,"79,632.0",,"1,995,449.0",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,DR,PT,373,373,,0.0 ,,"12,482.8",,"10,302.5",,716.9,,602.7,,985.1,,"6,204.3",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,LR,PT,42,52,,"1,960.6",,"1,883.3",,"1,883.3",,116.3,,116.3,,"12,383.6",,"44,290.9",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,LR,DO,14,21,,528.4,,525.0,,518.4,,54.5,,52.7,,"5,488.0",,"12,844.7",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,MB,DO,"1,810",2180,,"70,750.3",,"90,484.7",,"70,868.0",,"5,612.0",,"4,701.2",,"145,708.7",,"1,040,688.1",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,MB,PT,180,209,,"7,135.2",,"8,087.9",,"7,095.7",,686.6,,575.6,,"9,967.3",,"42,855.7",Q,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,VP,PT,208,212,,0.0 ,,"4,764.1",,"4,764.1",,113.8,,113.8,,863.8,,"30,515.2",,
NJ,New Jersey Transit Corporation(NJ TRANSIT),2080,Other Public,N,YR,PT,15,20,,"1,234.8",,"1,219.4",,"1,219.4",,49.5,,49.5,,"2,802.5",,"40,566.4",,
,,,,,Total,,"3,918",4437,,"145,554.5",,"186,981.8",,"159,661.9",,"9,674.0",,"6,442.4",,"257,831.1",,"3,213,414.2",,
NJ,New Jersey Transit Corporation-45(NJTC-45),2132,Consolidated,N,MB,DO,51,65,,"1,036.4",,"1,051.4",,"1,036.4",,138.7,,135.5,,"3,899.6",,"6,035.6",,
NJ,"Olympia Trails Bus Company, Inc.(Coach USA)",2165,For-Profit,N,MB,DO,8,14,,824.9,,840.8,,823.2,,63.9,,62.4,,623.5,,"11,693.1",,
NJ,"Orange-Newark-Elizabeth, Inc.(Coach USA)",2166,For-Profit,N,MB,DO,55,67,,"2,003.7",,"2,274.1",,"1,861.3",,228.0,,194.3,,"10,646.2",,"34,068.0",,
NJ,Port Authority Trans-Hudson Corporation(PATH),2098,Agency,N,FB,PT,6,6,,146.5,,146.5,,146.5,,14.9,,14.9,,"1,425.9",,"3,915.7",,
NJ,Port Authority Trans-Hudson Corporation(PATH),2098,Agency,N,HR,DO,280,340,,"12,907.0",,"12,904.3",,"12,226.4",,852.1,,661.8,,"85,950.0",,"366,633.3",,
,,,,,Total,,286,346,,"13,053.5",,"13,050.9",,"12,373.0",,867.1,,109.5,,"87,375.8",,"370,549.0",,
NJ,Port Authority Transit Corporation(PATCO),2075,Agency,N,HR,DO,84,92,,"4,317.3",,"4,550.9",,"4,286.0",,156.9,,147.8,,"10,506.4",,"93,200.9",,
NJ,Port Imperial Ferry Corporation dba NY Waterway,2190,For-Profit,N,FB,DO,11,15,,427.3,,427.3,,427.3,,27.2,,27.2,,"3,869.2",,"14,936.5",,
NJ,Port Imperial Ferry Corporation dba NY Waterway,2190,For-Profit,N,MB,DO,41,50,,613.3,,605.4,,605.4,,124.8,,124.8,,"3,011.8",Q,"12,439.3",Q,
,,,,,Total,,52,65,,"1,040.6",,"1,032.7",,"1,032.7",,152.0,,152.0,,"6,881.0",,"27,375.7",,
NJ,"Rockland Coaches, Inc.",2149,For-Profit,N,MB,DO,84,103,,"3,419.7",,"4,194.3",,"3,394.9",,181.3,,138.9,,"3,052.6",,"57,504.8",,
NJ,"Senior Citizens United Community Services of Camden County, Inc.(SCUCS)",2204,Non-Profit,Y,DR,DO,26,,,,,,,341.8,,,,21.0,,90.3,,,,
NJ,South Jersey Transportation Authority(sjta),2200,Agency,Y,DR,DO,3,,,,,,,31.5,,,,2.4,,6.7,,,,
NJ,South Jersey Transportation Authority(sjta),2200,Agency,Y,MB,DO,24,,,,,,,200.0,,,,12.0,,163.7,,,,
,,,,,Total,,27,,,,,,,231.5,,,,14.4,,170.4,,,,
NJ,Suburban Transit Corporation(Coach USA),2128,For-Profit,N,MB,DO,142,149,,"5,825.1",,"5,894.9",,"5,740.7",,277.4,,270.7,,"2,801.8",,"69,016.0",,
NJ,Trans-Hudson Express,2168,For-Profit,N,MB,DO,38,40,,676.7,,"1,144.5",,778.8,,97.8,,73.0,,"3,339.3",,"30,729.2",,
NJ,"TransOptions, Inc. ",2198,Non-Profit,Y,MB,PT,3,,,,,,,79.3,,,,4.1,,2.2,,,,
NM,City of Albuquerque Transit Department(ABQ Ride),6019,City,N,DR,DO,52,64,,0.0 ,,"2,213.3",,"1,915.4",,124.4,,107.0,,234.9,,"2,149.8",,
NM,City of Albuquerque Transit Department(ABQ Ride),6019,City,N,MB,DO,128,191,,"5,215.6",,"6,267.3",,"5,216.2",,420.5,,387.5,,"11,907.8",,"44,177.9",,
,,,,,Total,,180,255,,"5,215.6",,"8,480.5",,"7,131.6",,545.0,,494.5,,"12,142.7",,"46,327.7",,
NM,Las Cruces Area Transit(RoadRUNNER Transit),6049,City,Y,DR,DO,12,,,,,,,192.1,,,,20.9,,52.0,,,,
NM,Las Cruces Area Transit(RoadRUNNER Transit),6049,City,Y,MB,DO,12,,,,,,,507.4,,,,34.9,,637.8,,,,
,,,,,Total,,24,,,,,,,699.6,,,,55.8,,689.8,,,,
NM,Rio Metro Regional Transit District(RMRTD),6111,Agency,N,CR,PT,20,31,,"1,382.8",,"1,490.9",,"1,382.8",,41.3,,37.2,,"1,219.1",,"55,811.6",,
NM,Rio Metro Regional Transit District(RMRTD),6111,Agency,N,DR,DO,6,10,,0.0 ,,112.9,,95.2,,10.9,,8.9,,18.8,,127.8,,
,,,,,Total,,26,41,,"1,382.8",,"1,603.8",,"1,478.0",,52.2,,21.1,,"1,237.9",,"55,939.4",,
NM,Santa Fe Trails - City of Santa Fe(SFT),6077,City,N,DR,DO,14,16,,0.0 ,,288.0,,233.1,,28.2,,21.9,,42.5,,143.4,,
NM,Santa Fe Trails - City of Santa Fe(SFT),6077,City,N,MB,DO,21,32,,843.0,,862.7,,837.5,,78.3,,75.9,,950.8,,"3,242.2",Q,
,,,,,Total,,35,48,,843.0,,"1,150.6",,"1,070.5",,106.4,,97.8,,993.2,,"3,385.6",,
NV,Carson Area Metropolitan Planning Organization(CAMPO),9215,MPO,Y,DR,PT,3,,,,,,,54.8,,,,5.9,,14.7,,,,
NV,Carson Area Metropolitan Planning Organization(CAMPO),9215,MPO,Y,MB,PT,4,,,,,,,180.6,,,,14.0,,152.1,,,,
,,,,,Total,,7,,,,,,,235.4,,,,19.9,,166.8,,,,
NV,Regional Transportation Commission of Southern Nevada(RTC),9045,Agency,N,DR,PT,285,314,,0.0 ,,"11,739.8",,"10,071.3",,774.9,,633.4,,"1,209.1",,"13,981.2",,
NV,Regional Transportation Commission of Southern Nevada(RTC),9045,Agency,N,MB,PT,314,413,,"15,701.0",,"17,628.7",,"15,605.5",,"1,408.4",,"1,336.3",,"55,477.0",,"197,362.8",,
,,,,,Total,,599,727,,"15,701.0",,"29,368.4",,"25,676.8",,"2,183.2",,"1,969.7",,"56,686.1",,"211,343.9",,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Agency,N,DR,PT,44,45,,0.0 ,,"1,249.1",,"1,154.8",,89.4,,81.7,,200.3,,"1,361.2",,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Agency,N,DT,PT,7,7,,0.0 ,,90.2,,90.2,,3.5,,3.5,,13.6,,100.0,,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Agency,N,MB,DO,58,77,,"2,878.0",,"3,028.6",,"2,854.3",,257.4,,249.8,,"7,688.3",,"26,472.8",,
NV,Regional Transportation Commission of Washoe County(RTC),9001,Agency,N,VP,PT,23,32,,0.0 ,,507.5,,507.5,,10.6,,10.6,,65.5,,"3,517.1",,
,,,,,Total,,132,161,,"2,878.0",,"4,875.4",,"4,606.8",,360.8,,345.5,,"7,967.7",,"31,451.2",,
NY,"Adirondack Transit Lines, Inc,(Adirondack Trailways)",2177,For-Profit,N,CB,DO,26,36,,"2,232.2",,"2,525.4",Q,"2,391.7",Q,60.3,Q,57.1,Q,558.3,,"47,037.6",,
NY,"BillyBey Ferry Company, LLC",2189,For-Profit,N,FB,DO,7,9,,253.7,,253.7,,253.7,,18.6,,18.6,,"1,614.1",,"3,469.8",,
NY,Broome County Department of Public Transportation(Broome County),2003,City,N,DR,DO,6,10,,0.0 ,,304.3,,232.0,,16.1,,14.2,,25.6,,369.4,,
NY,Broome County Department of Public Transportation(Broome County),2003,City,N,DR,PT,10,12,,0.0 ,,394.3,,351.5,,31.7,,29.5,,75.3,,478.7,,
NY,Broome County Department of Public Transportation(Broome County),2003,City,N,MB,DO,38,48,,"1,287.2",,"1,341.6",,"1,299.6",,107.0,,99.7,,"2,678.2",,"9,561.3",,
,,,,,Total,,54,70,,"1,287.2",,"2,040.3",,"1,883.1",,154.8,,143.3,,"2,779.2",,"10,409.4",,
NY,C-TRAN(C TRAN),2005,City,Y,DR,PT,9,,,,,,,237.0,,,,15.0,,52.8,,,,
NY,C-TRAN(C TRAN),2005,City,Y,MB,PT,13,,,,,,,698.1,,,,36.8,,633.3,,,,
,,,,,Total,,22,,,,,,,935.2,,,,51.8,,686.1,,,,
NY,"CNY Centro, Inc. (CNY Centro )",2018,Subsidiary,N,DR,DO,19,22,,0.0 ,,571.8,,508.0,,41.7,,37.4,,69.0,,457.3,,
NY,"CNY Centro, Inc. (CNY Centro )",2018,Subsidiary,N,DR,PT,20,24,,0.0 ,,497.8,,421.8,,40.7,,33.7,,65.5,,436.0,,
NY,"CNY Centro, Inc. (CNY Centro )",2018,Subsidiary,N,DT,PT,9,9,,0.0 ,,104.7,,104.7,,11.1,,11.1,,13.5,,81.5,,
NY,"CNY Centro, Inc. (CNY Centro )",2018,Subsidiary,N,MB,DO,130,163,,"3,407.2",,"3,880.3",,"3,477.9",,330.1,,298.3,,"10,758.7",,"31,233.2",,
,,,,,Total,,178,218,,"3,407.2",,"5,054.5",,"4,512.3",,423.6,,380.5,,"10,906.8",,"32,208.1",,
NY,Capital District Transportation Authority(CDTA),2002,Agency,N,DR,DO,28,41,,0.0 ,,"1,457.0",,"1,238.1",,80.7,,70.4,,133.7,,"1,172.1",,
NY,Capital District Transportation Authority(CDTA),2002,Agency,N,DT,PT,22,22,,0.0 ,,69.3,,69.3,,14.0,,14.0,,103.5,,116.9,,
NY,Capital District Transportation Authority(CDTA),2002,Agency,N,MB,PT,11,15,,319.9,,525.8,,319.5,,17.2,,11.4,,171.5,,"5,111.1",,
NY,Capital District Transportation Authority(CDTA),2002,Agency,N,MB,DO,192,236,,"6,934.6",,"7,767.6",,"6,858.2",,622.8,,578.7,,"13,395.1",,"41,524.7",,
NY,Capital District Transportation Authority(CDTA),2002,Agency,N,VP,PT,14,16,,0.0 ,,163.7,,163.7,,3.7,,3.7,,18.0,,609.1,,
,,,,,Total,,267,330,,"7,254.4",,"9,983.3",,"8,648.8",,738.5,,678.4,,"13,821.8",,"48,533.9",,
NY,"Centro of Cayuga, Inc.(Centro of Cayuga)",2116,Subsidiary,N,MB,DO,13,16,,516.7,,580.6,,562.3,,31.5,,30.1,,413.6,,"2,827.4",,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,N,DR,DO,8,10,,0.0 ,,220.9,,167.6,,18.5,,15.7,,35.0,,134.4,,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,N,MB,DO,22,34,,991.7,,"1,021.8",,991.4,,83.4,,81.3,,"1,299.1",,"4,417.2",,
,,,,,Total,,30,44,,991.7,,"1,242.7",,"1,159.0",,101.9,,97.0,,"1,334.2",,"4,551.6",,
NY,"Centro of Oswego, Inc.(Centro of Oswego)",2172,Subsidiary,N,MB,DO,14,17,,532.6,,563.7,,546.5,,35.4,,34.0,,498.7,,"3,568.1",,
NY,City of Long Beach(Long Beach Bus),2006,City,N,DR,DO,3,4,,0.0 ,,51.2,,49.4,,9.2,,9.0,,16.2,,52.3,,
NY,City of Long Beach(Long Beach Bus),2006,City,N,MB,DO,5,11,,273.1,,271.1,,232.0,,29.5,,27.1,,301.7,,736.9,,
,,,,,Total,,8,15,,273.1,,322.4,,281.4,,38.7,,36.1,,317.9,,789.2,,
NY,City of Poughkeepsie,2009,City,N,MB,DO,6,7,,185.2,,185.9,Q,184.4,Q,14.2,Q,14.0,Q,409.2,,"1,182.5",,
NY,Clarkstown Mini-Trans,2085,Agency,Y,MB,DO,10,,,,,,,330.1,,,,19.0,,139.9,,,,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,N,DR,DO,18,19,,0.0 ,,303.8,,224.2,,18.1,,13.8,,27.7,,209.2,Q,
NY,Dutchess County Division of Mass Transportation(Loop Bus),2010,City,N,MB,DO,26,27,,665.9,,745.6,,662.3,,39.2,,33.0,,376.5,,"2,846.4",,
,,,,,Total,,44,46,,665.9,,"1,049.4",,886.5,,57.3,,46.8,,404.2,,"3,055.5",,
NY,Greater Glens Falls Transit System(GGFT),2120,City,Y,DR,DO,1,,,,,,,15.1,,,,2.2,,2.1,,,,
