State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,N,DR,PT,56,63,,0.0 ,,"1,569.4",,"1,294.4",,99.2,,81.0,,166.1,,"1,550.1",,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,N,MB,DO,85,131,,"2,304.9",,"3,062.6",,"2,302.3",,238.4,,208.9,,"3,304.5",,"14,042.3",,
,,,,,Total,,141,194,,"2,304.9",,"4,632.0",,"3,596.7",,337.5,,289.9,,"3,470.6",,"15,592.4",,
CA,Chula Vista Transit(CVT),9193,City,N,MB,PT,32,38,,"1,028.2",,"1,137.9",,"1,030.2",,105.9,,100.7,,"3,184.6",,"11,497.1",,
CA,City of Arcadia Transit(Arcadia Transit),9044,City,N,DR,PT,16,18,,0.0 ,,256.7,,222.6,,25.4,,23.1,,110.4,,397.7,,
CA,City of Atascadero(No Acronym),9194,City,Y,DR,PT,3,,,,,,,65.4,,,,3.4,,44.3,,,,
CA,City of Atascadero(No Acronym),9194,City,Y,MB,PT,1,,,,,,,72.1,,,,5.5,,24.2,,,,
,,,,,Total,,4,,,,,,,137.5,,,,8.9,,68.6,,,,
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,DR,DO,3,5,,0.0 ,,73.9,,68.7,,5.3,,4.5,,9.2,,65.2,,
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,MB,DO,6,9,,245.1,,247.8,,244.1,Q,21.0,,19.8,,676.0,,"2,361.4",Q,
,,,,,Total,,9,14,,245.1,,321.7,,312.8,,26.2,,24.3,,685.2,,"2,426.6",,
CA,City of Corona(CCTS),9052,City,Y,DR,PT,9,,,,,,,196.4,,,,14.3,,58.2,,,,
CA,City of Corona(CCTS),9052,City,Y,MB,PT,5,,,,,,,167.9,,,,14.2,,152.6,,,,
,,,,,Total,,14,,,,,,,364.3,,,,28.5,,210.7,,,,
CA,City of Elk Grove(etran),9205,City,N,CB,PT,26,28,,348.3,,641.2,Q,348.3,Q,28.1,Q,17.9,Q,446.9,Q,"11,755.5",Q,
CA,City of Elk Grove(etran),9205,City,N,DR,PT,9,9,,0.0 ,,180.8,Q,167.2,Q,17.7,Q,15.2,Q,17.0,Q,142.8,Q,
CA,City of Elk Grove(etran),9205,City,N,MB,PT,17,24,,516.2,,701.3,Q,535.0,Q,44.8,,35.1,Q,430.5,Q,"3,712.2",Q,
,,,,,Total,,52,61,,864.5,,"1,523.3",,"1,050.5",,90.6,,68.2,,894.3,,"15,610.4",,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,N,DR,PT,6,7,,0.0 ,,190.7,,170.7,,13.9,,11.2,,20.1,,163.6,,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,N,MB,PT,36,47,,"1,617.6",,"1,720.0",,"1,621.7",,90.0,,84.8,,914.6,,"7,845.5",,
,,,,,Total,,42,54,,"1,617.6",,"1,910.6",,"1,792.4",,103.9,,96.0,,934.7,,"8,009.0",,
CA,City of Folsom(FSL),9220,City,Y,DR,DO,8,,,,,,,55.1,,,,3.9,,10.2,,,,
CA,City of Folsom(FSL),9220,City,Y,MB,DO,5,,,,,,,123.4,,,,7.7,,51.4,,,,
,,,,,Total,,13,,,,,,,178.5,,,,11.6,,61.7,,,,
CA,City of Gardena Transportation Department(GMBL),9042,City,N,DR,DO,7,9,,0.0 ,,85.9,,76.9,,11.2,,10.1,,28.1,,99.8,,
CA,City of Gardena Transportation Department(GMBL),9042,City,N,MB,DO,43,52,,"1,577.3",,"1,672.6",,"1,573.7",,120.2,,111.7,,"3,487.5",,"13,725.9",,
,,,,,Total,,50,61,,"1,577.3",,"1,758.6",,"1,650.6",,131.3,,121.8,,"3,515.5",,"13,825.6",,
CA,City of La Mirada Transit(LMT),9024,City,N,DR,PT,7,12,,0.0 ,,99.0,,89.9,,10.2,,8.8,,52.6,,168.3,,
CA,City of Lodi - Transit Division(Grapeline),9175,City,N,DR,PT,10,16,,0.0 ,,134.9,,132.4,,14.3,,14.0,,32.7,,79.2,,
CA,City of Lodi - Transit Division(Grapeline),9175,City,N,MB,PT,9,10,,226.9,,231.9,,226.8,,18.0,,17.6,,176.1,,534.8,,
,,,,,Total,,19,26,,226.9,,366.7,,359.2,,32.3,,31.6,,208.8,,614.0,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,Y,DR,PT,2,,,,,,,57.5,,,,7.7,,18.4,,,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,Y,MB,PT,10,,,,,,,370.8,,,,25.2,,189.0,,,,
,,,,,Total,,12,,,,,,,428.3,,,,33.0,,207.4,,,,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,CB,PT,79,102,,"1,785.2",,"3,162.3",,"1,773.6",,139.0,,82.0,,"1,816.0",,"24,329.4",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,DR,PT,104,116,,0.0 ,,"1,653.5",,"1,372.0",,184.1,,150.6,,272.3,,"1,030.7",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,DT,PT,35,35,,0.0 ,,499.6,,499.6,,27.3,,27.3,,208.6,,680.4,,
CA,City of Los Angeles Department of Transportation(LADOT),9147,City,N,MB,PT,167,213,,"5,124.3",,"5,544.4",,"4,953.7",,593.5,,556.2,,"25,528.6",,"37,825.5",,
,,,,,Total,,385,466,,"6,909.5",,"10,859.9",,"8,598.9",,943.9,,816.1,,"27,825.6",,"63,866.0",,
CA,City of Moorpark(MCT),9227,City,Y,DR,PT,2,,,,,,,31.4,,,,1.9,,2.4,,,,
CA,City of Moorpark(MCT),9227,City,Y,MB,PT,2,,,,,,,92.1,,,,5.7,,65.0,,,,
,,,,,Total,,4,,,,,,,123.6,,,,7.6,,67.4,,,,
CA,City of Petaluma(Petaluma Transit),9213,City,N,DR,PT,6,8,,0.0 ,,91.8,,84.7,,10.2,,9.2,,23.0,,80.7,,
CA,City of Petaluma(Petaluma Transit),9213,City,N,MB,PT,6,10,,197.2,,190.3,,186.4,,14.0,,13.5,,206.5,,625.8,,
,,,,,Total,,12,18,,197.2,,282.1,,271.0,,24.2,,22.7,,229.5,,706.4,,
CA,City of Porterville(C.O.L.T.),9198,City,Y,DR,PT,3,,,,,,,64.0,,,,4.0,,14.1,,,,
CA,City of Porterville(C.O.L.T.),9198,City,Y,MB,PT,7,,,,,,,301.9,,,,24.4,,437.0,,,,
,,,,,Total,,10,,,,,,,365.9,,,,28.5,,451.1,,,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,N,DR,PT,5,6,,0.0 ,,85.1,,75.7,,9.3,,7.6,,17.2,,57.6,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,N,MB,PT,10,13,,389.4,,421.0,,398.9,,34.7,,32.8,,361.1,,"1,661.1",,
,,,,,Total,,15,19,,389.4,,506.2,,474.6,,44.1,,40.4,,378.3,,"1,718.7",,
CA,City of Riverside Special Transportation(City of Riverside),9086,City,N,DR,DO,24,31,,0.0 ,,686.4,,613.4,,47.6,,43.2,,161.2,,934.6,,
CA,City of San Luis Obispo(SLO Transit),9156,City,N,MB,PT,10,16,,405.0,,421.4,,397.5,,35.3,,33.6,,"1,045.4",,"3,083.8",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,DR,PT,13,14,,0.0 ,,249.9,,237.2,,19.2,,18.5,,46.0,,211.6,,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,MB,DO,25,42,,"1,103.7",,"1,130.8",,"1,091.7",,95.7,,92.5,,"3,052.7",,"8,425.4",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,N,MB,PT,1,1,,24.7,,28.3,,22.2,,2.2,,1.9,,5.3,,24.4,,
,,,,,Total,,39,57,,"1,128.4",,"1,409.0",,"1,351.2",,117.1,,112.9,,"3,104.0",,"8,661.5",,
CA,City of Turlock(BLAST and DART),9201,City,N,DR,PT,4,8,,0.0 ,,34.2,,31.6,,2.6,,2.5,,9.9,,68.7,,
CA,City of Turlock(BLAST and DART),9201,City,N,MB,PT,4,8,,164.7,,169.1,,163.8,,13.2,,12.9,,104.3,,365.0,,
,,,,,Total,,8,16,,164.7,,203.3,,195.4,,15.8,,15.4,,114.3,,433.7,,
CA,City of Union City Transit Division(UCT),9161,City,Y,DR,PT,4,,,,,,,74.2,,,,9.7,,18.7,,,,
CA,City of Union City Transit Division(UCT),9161,City,Y,MB,PT,13,,,,,,,464.7,,,,39.1,,474.0,,,,
,,,,,Total,,17,,,,,,,538.9,,,,48.8,,492.7,,,,
CA,City of Vacaville(City Coach),9155,City,Y,DR,PT,3,,,,,,,56.9,,,,4.7,,14.2,,,,
CA,City of Vacaville(City Coach),9155,City,Y,MB,PT,9,,,,,,,348.6,,,,23.7,,372.4,,,,
,,,,,Total,,12,,,,,,,405.5,,,,28.4,,386.6,,,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,N,DR,PT,10,12,,0.0 ,,139.7,,126.5,,13.0,,12.4,,24.8,,109.6,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,N,FB,PT,3,4,,212.5,,207.3,,205.0,,8.2,,7.6,,569.6,,"14,808.5",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,N,MB,PT,38,60,,"2,030.5",,"2,065.6",,"2,002.1",,110.0,,105.8,,"1,493.0",,"14,529.3",,
,,,,,Total,,51,76,,"2,243.0",,"2,412.6",,"2,333.6",,131.2,,125.8,,"2,087.4",,"29,447.3",,
CA,City of Visalia - Visalia City Coach(Visalia Transit),9091,City,N,DR,PT,8,11,,0.0 ,,153.9,,134.5,,13.0,,10.9,,36.1,,268.5,,
CA,City of Visalia - Visalia City Coach(Visalia Transit),9091,City,N,MB,PT,28,36,,"1,636.0",,"1,653.5",,"1,603.9",,120.6,,115.3,,"1,602.4",,"8,078.4",,
,,,,,Total,,36,47,,"1,636.0",,"1,807.4",,"1,738.3",,133.5,,126.1,,"1,638.5",,"8,346.8",,
CA,County of Sacramento Municipal Services Agency Department of Transportation(SacDOT),9216,City,Y,DR,PT,5,,,,,,,99.0,,,,8.3,,33.4,,,,
CA,County of Sacramento Municipal Services Agency Department of Transportation(SacDOT),9216,City,Y,MB,PT,3,,,,,,,315.7,,,,10.1,,32.6,,,,
,,,,,Total,,8,,,,,,,414.8,,,,18.4,,66.0,,,,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,DR,DO,2,3,,0.0 ,,25.8,,22.4,,3.1,,2.5,,11.7,,38.6,,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,DT,PT,3,3,,0.0 ,,8.5,,8.5,,0.5,,0.5,,3.6,,9.6,,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,N,MB,DO,37,52,,"1,491.4",,"1,634.4",,"1,488.9",,151.8,,143.8,,"4,922.5",,"16,317.9",,
,,,,,Total,,42,58,,"1,491.4",,"1,668.7",,"1,519.7",,155.4,,146.7,,"4,937.8",,"16,366.1",,
CA,Davis Community Transit(DCT),9167,City,Y,DR,DO,3,,,,,,,72.9,,,,5.0,,17.8,,,,
CA,Foothill Transit,9146,Agency,N,MB,PT,266,300,,"9,996.6",,"12,925.7",,"9,946.3",,789.3,,671.2,,"13,938.0",,"112,693.8",,
CA,Fresno Area Express(FAX),9027,City,N,DR,PT,45,55,,0.0 ,,"1,499.1",,"1,191.9",,122.2,,98.1,,228.0,,"1,556.4",,
CA,Fresno Area Express(FAX),9027,City,N,MB,DO,91,116,,"3,910.3",,"4,229.0",,"3,893.4",,343.5,,332.0,,"15,778.1",,"35,940.2",,
,,,,,Total,,136,171,,"3,910.3",,"5,728.0",,"5,085.3",,465.8,,430.1,,"16,006.1",,"37,496.6",,
CA,Gold Coast Transit(GCT),9035,Agency,N,DR,PT,18,24,,0.0 ,,589.1,,503.4,,36.6,,32.7,,76.7,,633.0,,
CA,Gold Coast Transit(GCT),9035,Agency,N,MB,DO,38,54,,"1,605.7",,"1,715.4",,"1,604.4",,150.7,,145.2,,"3,353.5",,"14,999.6",,
,,,,,Total,,56,78,,"1,605.7",,"2,304.5",,"2,107.8",,187.2,,177.9,,"3,430.3",,"15,632.6",,
CA,Golden Empire Transit District(GET),9004,Agency,N,DR,DO,16,19,,0.0 ,,468.7,,396.7,,33.3,,30.5,,57.4,,424.8,,
CA,Golden Empire Transit District(GET),9004,Agency,N,MB,DO,70,84,,"3,734.1",,"3,974.3",,"3,726.1",,309.1,,299.7,,"6,902.6",,"22,655.9",,
,,,,,Total,,86,103,,"3,734.1",,"4,443.0",,"4,122.8",,342.5,,330.2,,"6,960.0",,"23,080.7",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,N,DR,PT,45,52,,0.0 ,,"1,210.6",,"1,028.2",,73.4,,61.6,,120.7,,"1,140.4",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,N,FB,DO,5,6,,184.8,,193.5,,184.6,,14.3,,13.7,,"2,031.2",,"22,541.3",,
