State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
CA,City of Fairfield - Fairfield and Suisun Transit (FST),9092,B,MB,PT,33,50.0,,"1,444.1",,"1,510.0",Q,"1,444.1",,77.8,,72.6,,837.3,,"3,767.7",,
,,,,Total,,43,64.0,,"1,444.1",,"1,805.9",,"1,727.4",,99.6,,91.3,,868.6,,"3,936.4",,
CA,City of Gardena Transportation Department (GMBL),9042,B,DR,PT,8,9.0,,0.0,,102.7,Q,92.7,Q,17.0,Q,13.9,Q,35.3,Q,91.5,Q,
CA,City of Gardena Transportation Department (GMBL),9042,B,MB,DO,41,53.0,,"1,635.1",,"1,654.9",Q,"1,635.1",Q,115.4,Q,114.0,Q,"4,721.5",Q,"16,855.7",Q,
,,,,Total,,49,62.0,,"1,635.1",,"1,757.7",,"1,727.8",,132.4,,127.9,,"4,756.8",,"16,947.2",,
CA,City of Lodi - Transit Division (Grapeline),9175,B,DR,PT,16,16.0,,0.0,,254.3,Q,245.2,Q,30.8,Q,28.9,Q,68.5,,183.7,,
CA,City of Lodi - Transit Division (Grapeline),9175,B,MB,PT,9,9.0,,274.3,,274.3,Q,273.1,Q,21.4,Q,21.1,Q,253.9,,640.9,,
,,,,Total,,25,25.0,,274.3,,528.6,,518.3,,52.2,,50.0,,322.5,,824.6,,
CA,City of Lompoc - Lompoc Transit (COLT),9149,B,DR,PT,2,3.0,,0.0,,92.2,,85.2,,8.7,,8.3,,26.4,,79.1,,
CA,City of Lompoc - Lompoc Transit (COLT),9149,B,MB,PT,10,13.0,,429.1,,450.4,,429.1,,27.2,,25.9,,369.3,,"4,619.7",,
,,,,Total,,12,16.0,,429.1,,542.6,,514.3,,35.9,,34.2,,395.6,,"4,698.8",,
CA,City of Los Angeles Department of Transportation (LADOT),9147,B,DR,PT,152,188.0,,0.0,,"4,295.0",,"3,825.1",,338.0,,293.6,,954.0,,"4,521.5",,
CA,City of Los Angeles Department of Transportation (LADOT),9147,B,MB,PT,250,315.0,,"7,851.0",,"9,339.0",,"7,829.1",,787.3,,688.2,,"29,251.7",,"76,415.9",,
,,,,Total,,402,503.0,,"7,851.0",,"13,634.0",,"11,654.2",,"1,125.4",,981.8,,"30,205.7",,"80,937.4",,
CA,City of Petaluma (Petaluma Transit),9213,B,DR,PT,6,8.0,,0.0,,80.3,,73.5,,8.6,,7.9,,21.6,,67.8,,
CA,City of Petaluma (Petaluma Transit),9213,B,MB,PT,6,10.0,,135.4,,164.9,,158.0,,13.5,,11.9,,160.8,,203.3,,
,,,,Total,,12,18.0,,135.4,,245.2,,231.5,,22.1,,19.8,,182.4,,271.1,,
CA,City of Porterville (C.O.L.T.),9198,B,DR,PT,4,10.0,,0.0,,122.7,,117.2,,9.0,,8.6,,27.4,,82.3,,
CA,City of Porterville (C.O.L.T.),9198,B,MB,PT,6,13.0,,327.8,,335.3,,327.8,,21.7,,21.3,,449.5,,"1,654.3",,
,,,,Total,,10,23.0,,327.8,,458.0,,445.0,,30.7,,30.0,,477.0,,"1,736.6",,
CA,City of Riverside Special Transportation (City of Riverside),9086,A,DR,DO,21,25.0,,0.0,,564.9,,474.4,,37.5,,34.1,,144.6,,547.0,,
CA,City of San Luis Obispo (SLO Transit),9156,B,MB,PT,12,16.0,,367.7,,387.1,,367.7,,34.4,,32.7,,934.5,Q,"9,317.3",,
CA,City of Santa Rosa (Santa Rosa CityBus),9017,B,DR,PT,11,14.0,,0.0,,267.9,,237.0,,19.6,,18.2,,49.2,,231.0,,
CA,City of Santa Rosa (Santa Rosa CityBus),9017,B,MB,DO,30,30.0,,"1,034.6",,"1,072.4",,"1,032.5",,91.6,,88.6,,"2,688.6",,"9,033.8",,
,,,,Total,,41,44.0,,"1,034.6",,"1,340.3",,"1,269.5",,111.2,,106.8,,"2,737.8",,"9,264.9",,
CA,City of Turlock (BLAST and DART),9201,B,DR,PT,4,9.0,,0.0,,72.1,,66.0,,5.1,,4.8,,23.3,,144.4,,
CA,City of Turlock (BLAST and DART),9201,B,MB,PT,5,9.0,,175.5,,198.6,,186.6,,14.7,,13.9,,155.8,,539.0,,
,,,,Total,,9,18.0,,175.5,,270.7,,252.6,,19.8,,18.7,,179.1,,683.4,,
CA,City of Union City Transit Division (UCT),9161,B,DR,PT,4,5.0,,0.0,,90.1,Q,82.8,Q,10.0,Q,9.0,Q,16.4,,44.7,,
CA,City of Union City Transit Division (UCT),9161,B,MB,PT,11,15.0,,477.4,,505.3,,482.9,,40.3,,38.9,,421.5,,"1,276.4",,
,,,,Total,,15,20.0,,477.4,,595.4,,565.8,,50.3,,47.8,,437.9,,"1,321.1",,
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",9028,B,DR,PT,10,14.0,,0.0,,228.5,,207.0,,17.5,,16.5,,34.0,,316.2,,
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",9028,B,FB,PT,3,4.0,,241.5,,239.5,,237.3,,9.3,,8.8,,779.2,,"20,180.3",,
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",9028,B,MB,PT,48,70.0,,"2,306.4",,"2,506.3",,"2,306.5",,137.5,,126.5,,"2,056.0",,"12,726.8",,
,,,,Total,,61,88.0,,"2,548.0",,"2,974.3",,"2,750.8",,164.3,,151.8,,"2,869.1",,"33,223.3",,
CA,City of Visalia - Visalia City Coach (VCC),9091,B,DR,PT,6,9.0,,0.0,,162.9,,140.6,,10.9,,9.8,,32.5,,235.9,,
CA,City of Visalia - Visalia City Coach (VCC),9091,B,MB,PT,28,35.0,,"1,039.2",,"1,088.1",,"1,033.2",,86.4,,82.1,,"1,385.4",,"5,473.9",,
,,,,Total,,34,44.0,,"1,039.2",,"1,250.9",,"1,173.7",,97.3,,91.8,,"1,417.9",,"5,709.8",,
CA,Culver City Municipal Bus Lines (Culver CityBus),9039,A,MB,DO,33,46.0,,"1,443.7",,"1,524.0",,"1,437.7",,144.0,,135.1,,"5,893.0",,"17,528.0",,
