State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
MN,Metro Transit,5027,A,LR,DO,27,27.0,,"1,919.9",,"1,931.8",,"1,903.8",,134.0,,130.0,,"9,101.0",,"52,693.7",,
MN,Metro Transit,5027,A,MB,DO,740,886.0,,"23,004.9",,"28,416.6",,"23,066.5",,"2,193.0",,"1,952.1",,"67,865.7",,"303,491.7",,
,,,,Total,,767,913.0,,"24,924.9",,"30,348.4",,"24,970.2",,"2,327.0",,"2,019.1",,"76,966.7",,"356,185.4",,
MN,Metropolitan Council,5154,E,DR,PT,159,164.0,,0.0,,"4,033.5",,"3,479.4",,272.3,,242.7,,739.0,,"5,169.5",,
MN,Metropolitan Council,5154,E,MB,PT,306,394.0,,"6,818.2",,"10,629.9",,"6,811.4",,535.3,,377.7,,"9,820.9",,"65,463.1",,
MN,Metropolitan Council,5154,E,VP,PT,68,74.0,,0.0,,"1,125.4",,"1,125.4",,27.3,,27.3,,176.3,,"6,270.6",,
,,,,Total,,533,632.0,,"6,818.2",,"15,788.8",,"11,416.2",,834.9,,647.7,,"10,736.2",,"76,903.1",,
MN,St. Cloud Metropolitan Transit Commission (Metro Bus),5028,A,DR,DO,15,19.0,,0.0,,520.0,,484.6,,40.3,,38.2,,140.0,,632.9,,
MN,St. Cloud Metropolitan Transit Commission (Metro Bus),5028,A,MB,DO,25,30.0,,"1,011.1",,"1,051.4",,"1,008.4",,77.1,,70.5,,"1,889.8",,"6,097.0",,
,,,,Total,,40,49.0,,"1,011.1",,"1,571.3",,"1,493.0",,117.4,,108.6,,"2,029.8",,"6,729.8",,
MO,Bi-State Development Agency (METRO),7006,A,DR,DO,104,118.0,,0.0,,"5,940.7",,"5,015.2",,361.2,,295.6,,663.9,,"6,743.4",,
MO,Bi-State Development Agency (METRO),7006,A,LR,DO,56,87.0,,"6,208.5",,"6,261.3",,"6,193.5",,261.3,,258.2,,"21,783.6",,"137,439.5",,
MO,Bi-State Development Agency (METRO),7006,A,MB,DO,327,393.0,,"17,012.6",,"19,509.0",,"17,001.3",,"1,352.2",,"1,251.6",,"31,543.3",,"122,820.6",,
,,,,Total,,487,598.0,,"23,221.2",,"31,711.0",,"28,209.9",,"1,974.6",,"1,681.7",,"53,990.8",,"267,003.4",,
MO,City Utilities of Springfield  (The Bus),7003,A,DR,DO,4,5.0,,0.0,,136.8,,124.7,,8.9,,7.9,,16.9,,124.6,,
MO,City Utilities of Springfield  (The Bus),7003,A,MB,DO,21,25.0,,"1,064.3",,"1,061.6",,"1,040.5",,75.2,,73.4,,"1,912.0",,"7,858.3",,
,,,,Total,,25,30.0,,"1,064.3",,"1,198.5",,"1,165.2",,84.1,,81.3,,"1,928.9",,"7,982.9",,
MO,City of Jefferson (JEFFTRAN),7043,A,DR,DO,7,9.0,,0.0,,204.4,,199.6,,14.5,,14.2,,52.3,,272.0,,
MO,City of Jefferson (JEFFTRAN),7043,A,MB,DO,14,18.0,,368.8,,372.0,,365.5,,24.9,,24.5,,386.5,,757.5,,
,,,,Total,,21,27.0,,368.8,,576.3,,565.0,,39.4,,38.7,,438.8,,"1,029.4",,
MO,Columbia Transit (CT),7016,A,DR,DO,5,9.0,,0.0,,109.1,,106.2,,15.1,,14.8,,21.7,,103.4,,
MO,Columbia Transit (CT),7016,A,MB,DO,20,27.0,,731.2,,755.9,,730.6,,68.4,,66.2,,"1,640.6",,"5,298.7",,
,,,,Total,,25,36.0,,731.2,,865.0,,836.8,,83.5,,80.9,,"1,662.3",,"5,402.1",,
MO,Kansas City Area Transportation Authority (KCATA),7005,B,DR,DO,13,30.0,,0.0,,805.1,,672.3,,50.6,,43.7,,186.3,,"1,300.4",,
MO,Kansas City Area Transportation Authority (KCATA),7005,B,DR,PT,112,139.0,,0.0,,"3,941.3",,"2,018.0",,241.1,,90.6,,287.4,,"2,238.4",,
MO,Kansas City Area Transportation Authority (KCATA),7005,B,MB,DO,216,250.0,,"8,769.9",,"10,009.3",,"8,768.8",,698.1,,643.9,,"14,871.7",,"55,114.4",,
MO,Kansas City Area Transportation Authority (KCATA),7005,B,VP,DO,34,40.0,,0.0,,538.5,,538.5,,13.4,,13.4,,71.8,,"2,662.7",,
,,,,Total,,375,459.0,,"8,769.9",,"15,294.2",,"11,997.6",,"1,003.2",,791.6,,"15,417.1",,"61,315.8",,
MO,St. Joseph Transit (The Ride),7032,A,MB,DO,17,20.0,,649.5,,801.2,,781.7,,71.8,,69.8,,374.6,,"1,697.7",,
MS,City of Jackson Transit System  (JATRAN),4015,A,DR,DO,12,13.0,,0.0,,294.6,,288.7,,23.1,,22.3,,33.7,,316.7,,
MS,City of Jackson Transit System  (JATRAN),4015,A,MB,DO,27,30.0,,"1,004.5",,"1,027.8",,950.1,,60.5,,56.9,,773.5,,"1,872.0",,
,,,,Total,,39,43.0,,"1,004.5",,"1,322.4",,"1,238.8",,83.6,,79.1,,807.2,,"2,188.7",,
MS,Coast Transit Authority (CTA),4014,B,DR,DO,10,15.0,,0.0,,212.5,,204.9,,16.2,,15.6,,42.8,,495.0,,
MS,Coast Transit Authority (CTA),4014,B,MB,DO,13,17.0,,676.5,,709.4,,662.6,,57.9,,52.4,,451.6,,"1,783.9",,
MS,Coast Transit Authority (CTA),4014,B,VP,PT,11,16.0,,0.0,,101.6,,101.6,,1.9,,1.9,,17.0,,941.9,,
,,,,Total,,34,48.0,,676.5,,"1,023.6",,969.1,,76.0,,69.8,,511.4,,"3,220.8",,
MT,Billings Metropolitan Transit (Billings MET Transit ),8004,A,DR,DO,11,15.0,,0.0,,191.4,,171.7,,19.2,,17.1,,65.1,,404.2,,
MT,Billings Metropolitan Transit (Billings MET Transit ),8004,A,MB,DO,20,23.0,,589.1,,638.7,,588.9,,40.4,,38.6,,711.4,,"2,312.7",,
,,,,Total,,31,38.0,,589.1,,830.1,,760.7,,59.7,,55.7,,776.4,,"2,716.9",,
MT,Great Falls Transit District (GFTD),8012,A,DR,DO,6,9.0,,0.0,,153.1,,150.1,,13.3,,13.0,,31.4,,84.2,,
MT,Great Falls Transit District (GFTD),8012,A,MB,DO,13,20.0,,417.7,,465.9,,443.6,,35.1,,33.3,,427.3,,769.2,,
,,,,Total,,19,29.0,,417.7,,618.9,,593.6,,48.4,,46.3,,458.7,,853.4,,
MT,Missoula Urban Transportation District (Mountain Line),8009,A,DR,DO,6,8.0,,0.0,,124.2,,121.5,Q,11.5,,11.0,Q,21.9,,90.8,,
MT,Missoula Urban Transportation District (Mountain Line),8009,A,MB,DO,16,20.0,,596.6,,617.6,,596.3,,40.6,,39.5,,735.2,,"2,859.8",,
,,,,Total,,22,28.0,,596.6,,741.7,,717.8,,52.1,,50.5,,757.1,,"2,950.7",,
NC,Asheville Transit System (ATS),4005,B,DR,PT,6,8.0,,0.0,,185.6,,185.6,,10.3,,10.3,,23.2,,171.5,,
NC,Asheville Transit System (ATS),4005,B,MB,DO,16,20.0,,914.3,,936.6,,913.1,,71.5,,70.3,,"1,486.5",,"5,990.4",,
,,,,Total,,22,28.0,,914.3,,"1,122.2",,"1,098.7",,81.8,,80.6,,"1,509.6",,"6,161.9",,
NC,Cape Fear Public Transportation Authority (Wave),4006,A,DR,DO,2,2.0,,0.0,,32.3,,15.3,,2.1,,1.0,,3.8,,25.8,,
NC,Cape Fear Public Transportation Authority (Wave),4006,A,MB,DO,29,34.0,,"1,388.0",,"1,401.9",,"1,384.8",,93.8,,92.0,,"1,549.9",,"4,076.3",,
,,,,Total,,31,36.0,,"1,388.0",,"1,434.2",,"1,400.2",,95.9,,93.0,,"1,553.7",,"4,102.1",,
NC,Capital Area Transit (CAT),4007,A,DR,DO,6,10.0,,0.0,,51.3,,47.6,,3.4,,3.1,,44.3,,214.9,,
NC,Capital Area Transit (CAT),4007,A,MB,DO,54,75.0,,"2,316.7",,"2,514.0",,"2,299.4",,191.5,,179.6,,"4,092.6",,"15,245.1",,
,,,,Total,,60,85.0,,"2,316.7",,"2,565.3",,"2,347.0",,194.9,,182.7,,"4,136.9",,"15,460.0",,
NC,Chapel Hill Transit (CHT),4051,A,DR,DO,16,22.0,,0.0,,439.2,,393.4,,38.2,Q,29.3,,75.4,,307.9,,
NC,Chapel Hill Transit (CHT),4051,A,MB,DO,77,88.0,,"1,812.0",,"1,970.3",,"1,822.9",,157.5,,146.2,,"5,900.5",,"15,164.2",,
,,,,Total,,93,110.0,,"1,812.0",,"2,409.5",,"2,216.4",,195.7,,175.5,,"5,975.9",,"15,472.1",,
NC,Charlotte Area Transit System (CATS),4008,B,DR,DO,75,113.0,,0.0,,"2,771.9",,"2,396.6",,182.5,,160.6,,296.0,,"2,727.3",,
NC,Charlotte Area Transit System (CATS),4008,B,MB,DO,261,327.0,,"10,915.6",,"12,200.3",,"10,910.7",,834.8,,767.9,,"19,783.8",,"88,992.0",,
NC,Charlotte Area Transit System (CATS),4008,B,MB,PT,7,8.0,,129.8,,144.5,,129.8,,7.8,,7.5,,67.3,,272.8,,
NC,Charlotte Area Transit System (CATS),4008,B,VP,DO,91,97.0,,0.0,,"1,951.3",,"1,951.3",,37.2,,37.2,,251.2,,"13,928.0",,
,,,,Total,,434,545.0,,"11,045.4",,"17,067.9",,"15,388.3",,"1,062.3",,973.2,,"20,398.3",,"105,920.1",,
NC,Durham Area Transit Authority (DATA),4087,B,DR,PT,33,43.0,,0.0,,757.8,,684.2,,45.4,,41.2,,81.9,,580.3,,
NC,Durham Area Transit Authority (DATA),4087,B,MB,PT,37,49.0,,"2,281.5",,"2,463.4",,"2,282.3",,178.3,,169.6,,"4,684.5",,"18,994.4",,
,,,,Total,,70,92.0,,"2,281.5",,"3,221.2",,"2,966.5",,223.7,,210.7,,"4,766.4",,"19,574.8",,
NC,Fayetteville Area System of Transit (FAST),4009,A,DR,DO,10,13.0,,0.0,,309.6,,175.9,,20.4,,13.2,,48.3,,391.9,,
NC,Fayetteville Area System of Transit (FAST),4009,A,MB,DO,16,21.0,,796.2,,853.3,,794.4,,57.5,,55.3,,"1,132.4",,"3,374.7",,
,,,,Total,,26,34.0,,796.2,,"1,162.9",,970.3,,77.9,,68.4,,"1,180.7",,"3,766.6",,
NC,Greensboro Transit Authority (GTA),4093,B,DR,PT,31,33.0,,0.0,,"1,363.1",,"1,305.1",,79.5,,75.7,,177.6,,"1,692.7",,
NC,Greensboro Transit Authority (GTA),4093,B,MB,PT,39,50.0,,"1,768.3",,"1,802.8",,"1,768.3",,139.1,,135.9,,"3,827.0",,"13,547.4",,
,,,,Total,,70,83.0,,"1,768.3",,"3,165.9",,"3,073.4",,218.6,,211.6,,"4,004.6",,"15,240.2",,
NC,Guildford County Transportation (GCT),4133,B,DR,PT,48,53.0,,0.0,,927.6,Q,878.3,Q,107.2,Q,101.5,Q,105.9,Q,973.4,Q,
NC,High Point Transit (Hi tran),4011,B,DR,PT,2,4.0,,0.0,,67.2,,56.8,,8.3,,7.3,,16.1,,54.8,,
NC,High Point Transit (Hi tran),4011,B,DR,DO,3,3.0,,0.0,,70.5,,60.8,,5.9,,5.2,,21.0,,65.0,,
NC,High Point Transit (Hi tran),4011,B,MB,DO,11,15.0,,398.9,,410.3,,403.7,,30.4,,30.0,,715.4,,"1,609.6",,
,,,,Total,,16,22.0,,398.9,,548.0,,521.3,,44.6,,42.5,,752.5,,"1,729.5",,
NC,NC State University Transportation Department (NCSU),4147,B,MB,PT,23,28.0,,549.0,,608.4,,548.6,,57.8,,55.7,,"2,330.7",,"4,601.2",,
NC,Research Triangle Regional Public Transportation Authority (TTA),4108,A,DR,DO,6,8.0,,0.0,,267.9,,191.6,,8.8,,6.5,,12.8,,313.8,,
NC,Research Triangle Regional Public Transportation Authority (TTA),4108,A,MB,DO,47,62.0,,"1,998.9",,"2,487.0",,"1,966.5",,115.5,,94.7,,842.3,,"9,685.1",,
NC,Research Triangle Regional Public Transportation Authority (TTA),4108,A,VP,DO,62,67.0,,0.0,,995.0,,951.3,,24.8,,23.5,,380.5,,"12,612.8",,
,,,,Total,,115,137.0,,"1,998.9",,"3,749.9",,"3,109.3",,149.0,,124.7,,"1,235.6",,"22,611.7",,
NC,Town of Cary (CTRAN),4143,B,DR,PT,16,18.0,,0.0,,482.5,,403.9,,27.0,,21.9,,38.7,,358.8,,
NC,Town of Cary (CTRAN),4143,B,MB,PT,6,7.0,,383.3,,416.6,,383.3,,23.5,,22.6,,61.8,,389.5,,
,,,,Total,,22,25.0,,383.3,,899.1,,787.2,,50.4,,44.4,,100.5,,748.2,,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County (WSTA),4012,A,DR,DO,18,23.0,,0.0,,673.9,,596.8,,45.4,,41.7,,132.0,,551.3,,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County (WSTA),4012,A,MB,DO,34,49.0,,"1,349.5",,"1,378.0",,"1,350.5",,117.3,,115.5,,"2,767.6",,"5,696.7",,
,,,,Total,,52,72.0,,"1,349.5",,"2,052.0",,"1,947.3",,162.8,,157.2,,"2,899.7",,"6,248.0",,
ND,Bis-Man Transit Board (CAT),8019,B,DR,PT,26,30.0,,0.0,,702.2,Q,684.6,Q,51.4,Q,48.5,Q,185.0,,702.2,Q,
ND,Bis-Man Transit Board (CAT),8019,B,MB,PT,7,10.0,,242.9,,254.1,,241.9,,20.2,,19.8,,112.0,,293.4,,
,,,,Total,,33,40.0,,242.9,,956.2,,926.4,,71.6,,68.3,,297.0,,995.5,,
ND,Cities Area Transit (CAT),8008,B,DR,PT,10,10.0,,0.0,,263.4,,245.6,,20.5,,19.1,,56.1,Q,183.9,,
ND,Cities Area Transit (CAT),8008,B,MB,DO,8,9.0,,338.3,,375.1,,353.7,,25.0,,23.1,,231.3,Q,353.5,Q,
,,,,Total,,18,19.0,,338.3,,638.5,,599.3,,45.5,,42.3,,287.4,,537.4,,
ND,Fargo Metropolitan Area Transit (MAT),8003,B,DR,PT,10,10.0,,0.0,,311.2,,294.5,,25.1,,23.7,,55.1,,294.1,,
ND,Fargo Metropolitan Area Transit (MAT),8003,B,MB,PT,13,18.0,,555.8,,590.8,,553.1,,44.3,,42.0,,962.1,,"3,077.6",,
,,,,Total,,23,28.0,,555.8,,902.0,,847.6,,69.4,,65.8,,"1,017.2",,"3,371.7",,
NE,StarTran,7001,B,DR,PT,6,11.0,,0.0,,148.4,,118.7,,8.7,,5.9,,20.5,,120.1,,
NE,StarTran,7001,B,DR,DO,7,9.0,,0.0,,235.6,,232.0,,16.0,,15.4,,35.5,,205.3,,
NE,StarTran,7001,B,MB,DO,51,60.0,,"1,452.2",,"1,525.4",,"1,452.4",,117.7,,112.5,,"1,815.1",,"5,142.1",,
,,,,Total,,64,80.0,,"1,452.2",,"1,909.3",,"1,803.1",,142.4,,133.8,,"1,871.1",,"5,467.5",,
NE,Transit Authority of Omaha (MAT),7002,A,DR,DO,15,20.0,,0.0,,478.6,,432.7,,32.2,,29.4,,57.6,,323.8,,
NE,Transit Authority of Omaha (MAT),7002,A,MB,DO,128,151.0,,"3,913.2",,"3,922.7",,"3,905.2",,283.4,,282.5,,"3,863.5",,"14,357.6",,
,,,,Total,,143,171.0,,"3,913.2",,"4,401.3",,"4,338.0",,315.6,,311.9,,"3,921.1",,"14,681.4",,
NH,Cooperative Alliance for Seacoast Transportation (COAST),1086,B,DR,DO,1,5.0,,0.0,,23.8,,10.4,,1.0,,0.5,,1.1,,7.8,,
NH,Cooperative Alliance for Seacoast Transportation (COAST),1086,B,MB,PT,4,6.0,,44.5,,76.9,,44.5,,5.8,,4.1,,27.5,,302.1,,
NH,Cooperative Alliance for Seacoast Transportation (COAST),1086,B,MB,DO,11,17.0,,425.6,,483.7,,424.7,,29.4,,26.6,,346.9,,"2,799.1",,
,,,,Total,,16,28.0,,470.1,,584.3,,479.6,,36.2,,31.1,,375.5,,"3,109.0",,
NH,Manchester Transit Authority (MTA),1002,A,DR,DO,5,5.0,,0.0,,86.7,,75.0,,7.5,,6.8,,11.7,,36.3,,
NH,Manchester Transit Authority (MTA),1002,A,MB,DO,14,15.0,,480.9,,499.0,,481.5,,39.9,,38.7,,456.2,,"1,420.6",,
,,,,Total,,19,20.0,,480.9,,585.7,,556.6,,47.4,,45.4,,467.9,,"1,456.9",,
NH,Nashua Transit System (NTS),1087,A,DR,DO,9,12.0,,0.0,,201.7,,183.4,,16.3,,14.7,,39.5,,284.2,,
NH,Nashua Transit System (NTS),1087,A,MB,DO,5,8.0,,277.7,,279.8,,270.7,,21.7,,21.2,,350.7,,"1,718.3",,
,,,,Total,,14,20.0,,277.7,,481.5,,454.0,,38.0,,35.9,,390.1,,"2,002.5",,
NJ,"Academy Lines, Inc.",2122,E,MB,DO,239,267.0,,"8,001.0",,"8,991.1",,"7,921.7",,337.2,,308.2,,"3,723.1",,"236,413.3",,
NJ,"Community Transit, Inc.  (Community Transit)",2160,D,MB,DO,21,23.0,,975.0,,"1,164.8",,920.1,,75.9,,67.8,,601.4,,"14,992.5",,
NJ,Cumberland County Office on Aging (CCOOA),2155,A,DR,DO,25,30.0,,0.0,,752.6,,631.9,Q,53.7,,40.6,,123.2,,631.9,Q,
NJ,DeCamp Bus Lines,2161,D,MB,DO,59,78.0,,"1,824.0",,"2,312.0",,"1,743.3",,125.1,,101.4,,"2,202.9",,"44,906.7",,
NJ,"Hudson Transit Lines, Inc. (Short Line)",2126,E,MB,DO,162,189.0,,"8,528.6",,"8,868.5",,"8,528.7",,197.1,,189.5,,"3,476.6",,"188,226.9",,
NJ,"Lakeland Bus Lines, Inc.",2163,E,MB,DO,59,68.0,,"3,106.8",,"3,554.4",,"3,090.2",,101.2,,90.9,,"1,969.6",,"51,819.1",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,CR,DO,881,"1,078.0",,"59,625.9",,"64,607.3",,"59,124.0",,"2,157.7",,"2,000.7",,"80,297.4",,"2,280,894.8",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,DR,PT,343,369.0,,0.0,,"11,730.5",,"9,512.1",,666.0,,542.4,,"1,086.3",,"6,655.7",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,LR,DO,17,21.0,,687.5,,687.0,,682.0,,57.2,,54.5,,"6,000.2",,"13,564.8",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,LR,PT,58,72.0,,"3,545.6",,"3,468.5",,"3,468.5",,227.0,,227.0,,"13,147.2",,"72,249.4",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,MB,DO,"1,785","2,102.0",,"68,435.8",,"87,701.6",,"68,431.3",,"5,566.0",,"4,719.0",,"152,197.2",,"920,864.1",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,MB,PT,327,375.0,,"10,657.3",,"11,730.3",,"10,605.5",,814.8,,768.8,,"14,878.7",,"61,882.6",,
NJ,New Jersey Transit Corporation (NJ TRANSIT),2080,B,VP,PT,163,163.0,,0.0,,"3,555.1",,"3,555.1",,88.5,,88.5,,682.3,,"23,869.6",,
,,,,Total,,"3,574","4,180.0",,"142,952.1",,"183,480.3",,"155,378.5",,"9,577.1",,"6,666.2",,"268,289.3",,"3,379,980.8",,
NJ,New Jersey Transit Corporation-45 (NJTC-45),2132,E,MB,DO,42,47.0,,997.6,,"1,053.8",,989.1,,58.9,,56.1,,"3,797.5",,"6,994.1",,
NJ,"Olympia Trails Bus Company, Inc. (Coach USA)",2165,D,MB,DO,16,29.0,,"1,091.7",,"1,073.4",,"1,055.2",,75.8,,74.7,,643.3,,"11,470.0",,
NJ,"Orange-Newark-Elizabeth, Inc. (Coach USA)",2166,D,MB,DO,58,67.0,,"2,454.8",,"2,579.2",,"2,435.6",,253.2,,242.5,,"12,238.9",,"39,484.4",,
NJ,Port Authority Trans-Hudson Corporation (PATH),2098,B,FB,PT,8,8.0,,175.5,,175.5,,175.5,,21.3,,21.3,,"1,810.8",,"4,792.1",,
NJ,Port Authority Trans-Hudson Corporation (PATH),2098,B,HR,DO,266,326.0,,"12,879.0",,"12,811.5",,"12,162.6",,847.9,,658.5,,"80,595.9",,"351,150.3",,
,,,,Total,,274,334.0,,"13,054.5",,"12,987.0",,"12,338.1",,869.2,,115.3,,"82,406.6",,"355,942.3",,
NJ,Port Authority Transit Corporation (PATCO),2075,A,HR,DO,78,104.0,,"4,177.9",,"4,412.1",,"4,159.8",,152.1,,143.4,,"9,406.5",,"81,896.2",,
NJ,Port Imperial Ferry Corporation dba NY Waterway,2190,E,FB,DO,13,16.0,,444.7,,444.7,,444.7,,36.3,,36.3,,"4,780.3",,"18,039.5",,
NJ,"Rockland Coaches, Inc.",2149,E,MB,DO,88,115.0,,"4,338.9",,"5,328.1",,"4,292.4",,238.7,,183.9,,"4,061.9",,"72,357.2",,
NJ,Suburban Transit Corporation (Coach USA),2128,E,MB,DO,107,140.0,,"6,266.2",,"6,579.4",,"6,240.1",,325.5,,313.1,,"3,659.4",,"126,427.2",,
NJ,Trans-Hudson Express,2168,D,MB,DO,44,61.0,,"1,348.0",,"1,384.0",,"1,335.1",,144.9,,141.7,,"5,408.6",,"30,226.4",,
NM,ABQ Ride,6019,A,DR,DO,50,53.0,,0.0,,"2,032.0",,"1,808.0",,115.8,,100.7,,192.3,,"2,043.0",,
NM,ABQ Ride,6019,A,MB,DO,119,150.0,,"4,665.8",,"5,727.7",,"4,707.8",,350.4,,287.2,,"9,387.6",,"31,242.2",,
,,,,Total,,169,203.0,,"4,665.8",,"7,759.7",,"6,515.7",,466.1,,387.9,,"9,579.9",,"33,285.2",,
NM,Las Cruces Area Transit (RoadRunner),6049,A,DR,DO,12,16.0,,0.0,,222.9,,204.6,,24.1,,21.3,,55.3,,218.1,,
NM,Las Cruces Area Transit (RoadRunner),6049,A,MB,DO,11,17.0,,406.5,,419.2,,405.3,,33.0,,32.4,,733.1,,"2,258.0",,
,,,,Total,,23,33.0,,406.5,,642.0,,609.9,,57.2,,53.7,,788.4,,"2,476.1",,
NM,Santa Fe Trails - City of Santa Fe (SFT),6077,B,DR,PT,9,38.0,,0.0,,81.6,Q,8.4,Q,22.7,Q,20.1,Q,28.3,Q,95.2,Q,
NM,Santa Fe Trails - City of Santa Fe (SFT),6077,B,DR,DO,9,11.0,,0.0,,120.8,Q,12.0,Q,15.1,Q,13.6,Q,20.1,Q,32.4,Q,
NM,Santa Fe Trails - City of Santa Fe (SFT),6077,B,MB,DO,20,25.0,,801.5,,875.0,Q,800.2,Q,73.5,Q,59.5,Q,625.2,Q,"2,130.8",Q,
,,,,Total,,38,74.0,,801.5,,"1,077.4",,820.6,,111.3,,93.2,,673.6,,"2,258.3",,
NV,Las Vegas Monorail Company (LVMC),9204,E,AG,PT,32,36.0,,488.3,,488.3,,488.3,,26.8,,26.8,,"9,330.0",,"2,217.9",,
NV,Regional Transportation Commission of Southern Nevada (RTC),9045,B,DR,PT,203,264.0,,0.0,,"7,986.5",,"6,663.3",,526.7,,451.5,,894.2,,"9,670.9",,
NV,Regional Transportation Commission of Southern Nevada (RTC),9045,B,MB,PT,253,356.0,,"16,666.6",,"18,486.3",,"16,707.8",,"1,585.9",,"1,505.2",,"62,839.5",,"220,204.1",,
,,,,Total,,456,620.0,,"16,666.6",,"26,472.8",,"23,371.1",,"2,112.7",,"1,956.7",,"63,733.7",,"229,875.0",,
NV,Regional Transportation Commission of Washoe County (RTC),9001,B,DR,PT,51,53.0,,0.0,,"1,642.1",,"1,475.3",Q,103.3,,94.9,,248.6,,"1,721.8",,
NV,Regional Transportation Commission of Washoe County (RTC),9001,B,MB,DO,61,74.0,,"3,600.8",,"3,772.4",,"3,596.5",Q,294.9,,288.1,,"8,841.4",,"29,958.0",,
,,,,Total,,112,127.0,,"3,600.8",,"5,414.5",,"5,071.8",,398.2,,383.0,,"9,090.0",,"31,679.8",,
NY,"Adirondack Transit Lines, Inc, (Adirondack Trailways)",2177,E,MB,DO,26,34.0,,"2,011.5",,"2,213.4",,"2,089.0",,44.3,,41.8,,521.2,,"41,227.5",,
NY,"Atlantic Paratrans of NYC, Inc. (API)",2159,D,DR,DO,222,245.0,,0.0,,"7,765.0",,"6,561.6",,759.6,,739.2,,851.3,,"7,423.4",,
NY,"BillyBey Ferry Company, LLC",2189,E,FB,DO,5,9.0,,258.5,,258.5,,258.5,,17.6,,17.6,,"1,591.6",,"4,028.0",,
NY,Broome County Department of Public Transportation (Broome County),2003,B,DR,DO,6,8.0,,0.0,,298.9,,261.6,,16.0,,14.1,,30.8,,513.9,,
NY,Broome County Department of Public Transportation (Broome County),2003,B,DR,PT,10,12.0,,0.0,,394.0,,349.4,,28.4,,26.9,,76.9,,466.4,,
NY,Broome County Department of Public Transportation (Broome County),2003,B,MB,DO,38,43.0,,"1,400.8",,"1,456.4",,"1,401.5",,119.0,,114.6,,"2,970.6",,"8,644.5",,
,,,,Total,,54,63.0,,"1,400.8",,"2,149.3",,"2,012.5",,163.4,,155.6,,"3,078.3",,"9,624.8",,
NY,"CNY Centro, Inc.  (CNY Centro )",2018,B,DR,DO,14,22.0,,0.0,,440.7,,395.8,,34.4,,32.1,,69.0,,397.7,,
NY,"CNY Centro, Inc.  (CNY Centro )",2018,B,DR,PT,20,23.0,,0.0,,519.6,,444.7,,44.0,,40.7,,56.2,,402.3,,
NY,"CNY Centro, Inc.  (CNY Centro )",2018,B,MB,DO,130,165.0,,"3,848.1",,"4,265.8",,"3,927.0",,362.9,,332.1,,"12,025.8",Q,"34,720.5",Q,
,,,,Total,,164,210.0,,"3,848.1",,"5,226.1",,"4,767.4",,441.4,,404.9,,"12,150.9",,"35,520.4",,
NY,Capital District Transportation Authority (CDTA),2002,B,DR,PT,21,22.0,,0.0,,579.4,,496.1,,50.4,,46.6,,58.0,,494.3,,
NY,Capital District Transportation Authority (CDTA),2002,B,DR,DO,29,37.0,,0.0,,924.0,,783.8,,72.3,,63.9,,111.6,,732.3,,
NY,Capital District Transportation Authority (CDTA),2002,B,MB,DO,189,217.0,,"6,236.4",Q,"7,095.0",,"6,254.5",Q,589.3,,548.2,,"12,485.0",,"41,268.7",,
NY,Capital District Transportation Authority (CDTA),2002,B,MB,PT,20,21.0,,739.6,,763.4,,559.4,,35.0,,28.7,,287.4,,"5,357.1",,
,,,,Total,,259,297.0,,"6,976.1",,"9,361.8",,"8,093.7",,747.0,,687.4,,"12,942.0",,"47,852.4",,
NY,"Centro of Cayuga, Inc. (Centro of Cayuga)",2116,A,MB,DO,13,16.0,,593.8,,664.7,,632.9,,35.4,,32.6,,408.5,,"3,780.6",,
NY,"Centro of Oneida, Inc. (Centro of Oneida)",2185,A,DR,DO,7,10.0,,0.0,,187.7,,167.8,,14.9,,13.3,,35.8,,99.9,,
NY,"Centro of Oneida, Inc. (Centro of Oneida)",2185,A,MB,DO,26,35.0,,"1,016.8",,"1,046.2",,"1,016.8",,81.5,,79.2,,"1,133.7",,"3,075.2",,
,,,,Total,,33,45.0,,"1,016.8",,"1,233.9",,"1,184.6",,96.4,,92.6,,"1,169.5",,"3,175.1",,
NY,"Centro of Oswego, Inc. (Centro of Oswego)",2172,A,MB,DO,14,16.0,,492.9,,558.9,,509.2,,39.4,,36.1,,435.0,,"2,851.2",,
NY,Chemung County Transit System (CCTS),2005,B,DR,PT,9,11.0,,0.0,,271.8,,271.8,,15.2,,15.2,,53.1,,252.4,Q,
NY,Chemung County Transit System (CCTS),2005,B,MB,PT,18,23.0,,793.9,,821.6,,793.9,,41.4,,39.3,,643.0,,"3,054.2",Q,
,,,,Total,,27,34.0,,793.9,,"1,093.5",,"1,065.7",,56.6,,54.5,,696.1,,"3,306.5",,
