State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,6,,10,,247.0 ,,249.6 ,,247.0 ,,19.7 ,,18.3 ,,957.4 ,,"3,980.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,9,,13,,247.0 ,,310.3 ,Q,304.4 ,,23.8 ,,22.1 ,,964.0 ,,"4,018.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Gardena TD,9042-B,DRp,8,,10,,0.0 ,,121.1 ,,111.0 ,,15.1 ,,13.8 ,,36.9 ,,129.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,39,,48,,"1,549.3 ",,"1,567.1 ",,"1,549.3 ",,114.1 ,,110.0 ,,"6,136.9 ",,"22,770.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,47,,58,,"1,549.3 ",,"1,688.2 ",,"1,660.3 ",,129.2 ,,123.8 ,,"6,173.8 ",,"22,900.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Lodi,9175-B,DRp,9,,12,,0.0 ,,266.1 ,,224.2 ,,23.6 ,,22.2 ,,73.3 ,,183.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,5,,5,,284.1 ,,300.5 ,,284.1 ,,24.0 ,,22.7 ,,395.2 ,,"1,283.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,14,,17,,284.1 ,,566.5 ,,508.2 ,,47.6 ,,44.8 ,,468.5 ,,"1,467.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Los Angeles DOT,9147-B,DRp,144,,157,,0.0 ,,"3,982.7 ",,"3,628.8 ",,273.8 ,,252.6 ,,989.1 ,,"4,013.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,131,,168,,"3,681.4 ",,"5,499.9 ",,"3,681.4 ",,347.8 ,,301.4 ,,"12,564.0 ",,"40,475.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,275,,325,,"3,681.4 ",,"9,482.7 ",,"7,310.2 ",,621.6 ,,554.0 ,,"13,553.1 ",,"44,489.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Napa-The VINE,9088-B,DRp,24,,26,,0.0 ,,315.3 ,,263.6 ,,20.7 ,,15.9 ,,47.1 ,,264.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,15,,19,,647.0 ,,637.5 ,,624.9 ,,43.4 ,,40.8 ,,874.9 ,,"2,962.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,39,,45,,647.0 ,,952.9 ,,888.4 ,,64.1 ,,56.7 ,,922.0 ,,"3,226.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of San Luis Obispo,9156-B,MBp,11,,16,,485.7 ,,502.1 ,,485.7 ,,44.1 ,,41.9 ,,"1,047.1 ",,"2,799.5 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,City of Santa Rosa,9017-B,DRp,9,,10,,0.0 ,,142.7 ,,68.7 ,,16.7 ,,11.3 ,,23.9 ,,112.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,20,,24,,815.0 ,,883.0 ,,814.3 ,,71.0 ,,66.9 ,,"2,150.9 ",,"6,089.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,29,,34,,815.0 ,,"1,025.7 ",,883.0 ,,87.7 ,,78.2 ,,"2,174.8 ",,"6,201.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Corona Dial-A-Ride,9052-B,DRp,11,,14,,0.0 ,,353.6 ,,324.5 ,,22.4 ,,20.7 ,,86.1 ,,373.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
