State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Victor Valley TA,9148-B,DRp,26,,36,,0.0 ,,960.8 ,,784.2 ,,55.4 ,,41.3 ,,95.0 ,,879.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,15,,26,,"1,016.2 ",,"1,095.4 ",,"1,016.2 ",,56.5 ,,52.0 ,,930.2 ,,"5,182.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,41,,62,,"1,016.2 ",,"2,056.2 ",,"1,800.4 ",,111.9 ,,93.3 ,,"1,025.2 ",,"6,062.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Visalia City Coach,9091-B,DRp,5,,6,,0.0 ,,157.3 ,,145.9 ,,11.2 ,,9.6 ,,35.5 ,,208.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,17,,25,,755.8 ,,779.5 ,,755.8 ,,57.4 ,,53.7 ,,"1,319.5 ",,"5,615.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,22,,31,,755.8 ,,936.8 ,,901.7 ,,68.6 ,,63.3 ,,"1,355.0 ",,"5,823.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Western Contra Costa TA,9159-B,DRp,10,,12,,0.0 ,,324.5 ,,289.7 ,,21.7 ,,19.0 ,,76.7 ,,370.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,28,,32,,"1,205.5 ",,"1,273.8 ",,"1,202.0 ",,76.8 ,,73.8 ,,"1,297.9 ",,"3,620.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,38,,44,,"1,205.5 ",,"1,598.3 ",,"1,491.7 ",,98.5 ,,92.8 ,,"1,374.6 ",,"3,990.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Yolo County TD,9090-B,DRp,4,,12,,0.0 ,,164.6 ,,133.9 ,,11.8 ,,9.6 ,,15.0 ,,212.9 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,18,,32,,"1,250.2 ",,"1,537.6 ",,"1,250.2 ",,72.5 ,,59.0 ,,"1,177.6 ",,"16,663.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,22,,44,,"1,250.2 ",,"1,702.2 ",,"1,384.1 ",,84.3 ,,68.6 ,,"1,192.6 ",,"16,876.2 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Yuba-Sutter Transit Auth,9061-B,DRp,6,,15,,0.0 ,,251.7 ,,226.8 ,,17.5 ,,15.6 ,,63.9 ,,630.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,13,,13,,567.5 ,,638.0 ,,567.5 ,,35.8 ,,31.7 ,,456.6 ,,"3,021.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,19,,28,,567.5 ,,889.7 ,,794.2 ,,53.2 ,,47.3 ,,520.5 ,,"3,652.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,City of Fort Collins,8011-A,DR,15,,17,,0.0 ,,378.4 ,,363.6 ,,34.9 ,,32.1 ,,73.9 ,,423.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,19,,24,,801.1 ,,854.7 ,,801.1 ,,62.2 ,,60.0 ,,"1,898.2 ",,"5,783.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,34,,41,,801.1 ,,"1,233.2 ",,"1,164.7 ",,97.1 ,,92.1 ,,"1,972.0 ",,"6,206.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,City of Greeley-The Bus,8010-A,DR,5,,6,,0.0 ,,130.2 ,,112.7 ,,14.2 ,,12.9 ,,23.5 ,,88.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,12,,14,,393.5 ,,406.8 ,,393.5 ,,31.3 ,,28.5 ,,397.2 ,,"1,434.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,17,,20,,393.5 ,,536.9 ,,506.1 ,,45.5 ,,41.4 ,,420.8 ,,"1,523.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado Springs Transit,8005-B,DRp,49,,61,,0.0 ,,"1,590.2 ",,"1,496.4 ",,108.9 ,,102.2 ,,255.8 ,,"1,461.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,43,,53,,"2,187.0 ",,"2,385.5 ",,"2,186.7 ",,147.1 ,,139.5 ,,"3,668.9 ",,"14,643.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,92,,114,,"2,187.0 ",,"3,975.6 ",,"3,683.1 ",,256.0 ,,241.7 ,,"3,924.7 ",,"16,105.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Grand Junction-MesAbility,8016-B,DRp,4,,6,,0.0 ,,165.1 ,,157.9 ,,18.8 ,,13.3 ,,37.2 ,,192.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,18,,25,,532.1 ,,591.4 ,,532.1 ,,76.8 ,,54.2 ,,144.1 ,,668.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,22,,31,,532.1 ,,756.5 ,,690.0 ,,95.6 ,,67.5 ,,181.2 ,,861.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Pueblo Transit,8007-B,DRp,5,,5,,0.0 ,,188.0 ,,188.0 ,,14.3 ,,14.3 ,,29.2 ,,188.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,12,,16,,527.1 ,,531.8 ,,527.1 ,,37.0 ,,36.5 ,,882.3 ,,"2,532.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,17,,21,,527.1 ,,719.8 ,,715.2 ,,51.3 ,,50.8 ,,911.5 ,,"2,720.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Regional Transp District,8006-B,DR,15,,15,,0.0 ,,108.2 ,,87.9 ,,11.9 ,,10.1 ,,96.3 ,,723.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,3,,3,,0.0 ,,51.7 ,,47.0 ,,3.1 ,,2.6 ,,10.4 ,,73.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LR,29,,31,,"1,458.8 ",,"1,565.1 ",,"1,458.8 ",,123.4 ,,108.2 ,,"6,675.2 ",,"28,222.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,639,,962,,"27,177.1 ",,"33,875.4 ",,"27,514.8 ",,"2,110.6 ",,"1,806.4 ",,"61,036.4 ",,"288,036.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,170,,198,,"7,058.3 ",,"8,615.5 ",,"7,028.8 ",,546.7 ,,465.7 ,,"9,005.0 ",,"50,895.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,856,,"1,209",,"35,694.1 ",,"44,215.8 ",,"36,137.2 ",,"2,795.6 ",,"2,393.1 ",,"76,823.3 ",,"367,950.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Special Transit,8024-D,DR,136,,178,,0.0 ,,"3,325.8 ",,"2,746.2 ",,228.8 ,,179.3 ,,254.2 ,,"2,625.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,36,,41,,0.0 ,,"1,282.4 ",,"1,072.3 ",,49.5 ,,36.8 ,,54.6 ,,"1,008.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,172,,219,,0.0 ,,"4,608.1 ",,"3,818.5 ",,278.3 ,,216.2 ,,308.8 ,,"3,634.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Conn DOT,1102-C,CRp,16,,29,,397.2 ,,497.8 ,,366.9 ,,11.5 ,,9.0 ,,285.5 ,,"5,933.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,12,,12,,193.3 ,,336.9 ,,193.3 ,,14.8 ,,7.0 ,,166.7 ,,"2,520.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,28,,41,,590.5 ,,834.7 ,,560.2 ,,26.4 ,,16.1 ,,452.1 ,,"8,454.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Greater Bridgeport TD,1050-B,DRp,19,,23,,0.0 ,,503.6 ,,381.5 ,,32.1 ,,24.3 ,,84.3 ,,520.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,41,,52,,"2,114.1 ",,"2,205.1 ",,"2,112.8 ",,170.2 ,,163.0 ,,"5,157.7 ",,"10,851.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,60,,75,,"2,114.1 ",,"2,708.7 ",,"2,494.3 ",,202.2 ,,187.3 ,,"5,242.0 ",,"11,371.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Greater Hartford Transit,1017-B,DRp,83,,133,,0.0 ,,"2,131.7 ",,"2,025.1 ",,180.7 ,,171.8 ,,451.1 ,,"2,752.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,2,,2,,72.5 ,,76.3 ,,72.5 ,,5.6 ,,5.3 ,,116.6 ,,447.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,85,,135,,72.5 ,,"2,208.0 ",,"2,097.6 ",,186.3 ,,177.1 ,,567.6 ,,"3,199.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Greater New Haven Transit,1049-B,DRp,53,,62,,0.0 ,,"1,229.2 ",Q,"1,211.4 ",Q,80.2 ,Q,71.0 ,Q,198.8 ,,"1,211.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Hartford Ridesharing Corp,1108-A,VP,228,,285,,0.0 ,,"5,117.8 ",Q,"5,004.9 ",Q,0.0 ,N,0.0 ,N,0.0 ,N,"40,039.4 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Hartford-CT Transit,1048-G,MB,187,,230,,"6,452.9 ",,"7,272.8 ",,"6,444.9 ",,530.1 ,,478.3 ,,"17,702.0 ",,"64,930.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Housatonic Area Reg Trans,1051-A,DR,15,,21,,0.0 ,,455.9 ,,415.3 ,,32.0 ,,29.6 ,,62.8 ,,442.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,16,,27,,753.9 ,,808.6 ,,753.4 ,,47.0 ,,43.7 ,,728.3 ,,"2,669.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,31,,48,,753.9 ,,"1,264.5 ",,"1,168.7 ",,79.0 ,,73.3 ,,791.1 ,,"3,112.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Middletown Trans Dist,1063-B,DRp,8,,16,,0.0 ,,175.4 ,,153.3 ,,19.7 ,,17.0 ,,47.1 ,,193.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,7,,10,,353.8 ,,363.4 ,,353.5 ,,24.7 ,,21.7 ,,330.2 ,,"1,530.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,15,,26,,353.8 ,,538.8 ,,506.8 ,,44.4 ,,38.7 ,,377.2 ,,"1,723.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Milford Transit District,1107-A,DR,11,,14,,0.0 ,,376.8 ,,332.2 ,,21.9 ,,20.2 ,,63.4 ,,361.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,6,,7,,241.1 ,,246.5 ,,241.1 ,,20.5 ,,19.8 ,,259.3 ,,"1,135.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,17,,21,,241.1 ,,623.3 ,,573.3 ,,42.4 ,,40.1 ,,322.7 ,,"1,496.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,New Britain Transp Co-A,1047-D,MB,11,,11,,466.5 ,,494.6 ,,466.5 ,,32.4 ,,31.0 ,,442.3 ,,"1,985.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,New Britain Transp Co-B,1052-D,MB,3,,3,,104.4 ,,112.3 ,,104.4 ,,7.0 ,,6.5 ,,64.6 ,,289.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,New Haven-CT Transit,1055-G,MB,89,,113,,"3,341.9 ",,"3,577.2 ",,"3,339.2 ",,308.2 ,,290.3 ,,"11,893.4 ",,"40,947.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Northeast Transp Comp,1095-D,DR,5,,6,,0.0 ,,182.5 ,,132.6 ,,9.9 ,,8.6 ,,12.8 ,,70.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,31,,41,,890.9 ,,"1,001.9 ",,890.9 ,,77.2 ,,71.8 ,,"1,881.6 ",,"3,831.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,36,,47,,890.9 ,,"1,184.4 ",,"1,023.5 ",,87.1 ,,80.4 ,,"1,894.5 ",,"3,902.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Norwalk Transit District,1057-B,DR,17,,17,,0.0 ,,244.4 ,,144.9 ,,22.4 ,,14.0 ,,29.5 ,,131.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,19,,19,,0.0 ,,312.9 ,,122.0 ,,27.2 ,,14.8 ,,36.0 ,,158.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,31,,36,,"1,098.0 ",,"1,136.6 ",,"1,097.7 ",,86.2 ,,81.7 ,,"1,929.5 ",,"5,791.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,3,,3,,26.5 ,,46.8 ,,26.5 ,,2.1 ,,1.5 ,,43.7 ,,122.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,70,,75,,"1,124.4 ",,"1,740.8 ",,"1,391.0 ",,137.8 ,,112.0 ,,"2,038.8 ",,"6,203.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Stamford-CT Transit,1056-G,MB,32,,45,,"1,183.0 ",,"1,205.4 ",,"1,183.0 ",,104.9 ,,102.0 ,,"3,916.0 ",,"13,898.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Valley Transit District,1042-A,DR,18,,21,,0.0 ,,507.7 ,,398.6 ,,38.9 ,,29.6 ,,131.2 ,,740.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Waterbury Transit Dist,1104-B,DRp,14,,22,,0.0 ,,523.3 ,,521.4 ,,30.4 ,,30.1 ,,77.4 ,,459.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Washington-Metro,3030-B,DRp,92,,92,,0.0 ,,"4,541.2 ",,"3,643.1 ",,296.1 ,,238.6 ,,246.1 ,,"2,498.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HR,632,,764,,"45,021.8 ",,"50,109.3 ",,"48,243.6 ",,"2,416.4 ",,"2,260.6 ",,"218,273.3 ",,"1,190,448.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,"1,179",,"1,373",,"34,401.2 ",,"42,168.0 ",,"34,192.7 ",,"3,443.7 ",,"3,065.9 ",,"129,524.2 ",,"452,855.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,"1,903",,"2,229",,"79,423.0 ",,"96,818.5 ",,"86,079.4 ",,"6,156.2 ",,"5,565.2 ",,"348,043.6 ",,"1,645,802.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Delaware Transit Corp,3075-B,DR,140,,141,,0.0 ,,"5,033.3 ",,"5,033.3 ",,274.0 ,,274.0 ,,462.2 ,,"4,853.0 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,93,,95,,0.0 ,,260.3 ,,260.3 ,,13.7 ,,13.7 ,,28.2 ,,296.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,138,,165,,"4,630.7 ",,"4,642.6 ",,"4,406.6 ",,385.3 ,,366.4 ,,"7,597.2 ",,"30,776.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,22,,28,,924.5 ,,995.6 ,,874.5 ,,36.9 ,,34.4 ,,224.8 ,,"3,892.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,393,,429,,"5,555.2 ",,"10,931.7 ",,"10,574.6 ",,709.9 ,,688.4 ,,"8,312.5 ",,"39,818.3 ",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Bay Cnty Council on Aging,4085-A,DR,36,,40,,0.0 ,,819.2 ,,666.5 ,,47.4 ,,43.0 ,,164.0 ,,826.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,3,,6,,158.9 ,,165.8 ,,158.2 ,,9.4 ,,9.0 ,,66.5 ,,166.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,39,,46,,158.9 ,,985.0 ,,824.6 ,,56.8 ,,52.1 ,,230.5 ,,992.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Broward Cnty Mass Transit,4029-B,DRp,206,,241,,0.0 ,,"8,422.6 ",,"7,303.2 ",,621.2 ,,540.1 ,,896.8 ,,"9,684.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,191,,232,,"11,012.4 ",,"11,875.0 ",,"10,979.9 ",,829.7 ,,796.6 ,,"27,003.3 ",,"117,476.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,39,,49,,"1,049.9 ",,"1,126.6 ",,"1,033.3 ",,81.7 ,,77.4 ,,569.8 ,,"2,509.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,436,,522,,"12,062.3 ",,"21,424.1 ",,"19,316.4 ",,"1,532.6 ",,"1,414.1 ",,"28,469.9 ",,"129,671.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Central Florida Regnl TA,4035-B,DRp,166,,186,,0.0 ,,"8,822.8 ",,"7,582.7 ",,501.6 ,,447.9 ,,752.3 ,,"9,354.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,175,,218,,"10,951.3 ",,"11,932.9 ",,"10,967.4 ",,834.9 ,,780.9 ,,"20,735.6 ",,"119,559.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VPp,68,,107,,0.0 ,,"1,713.5 ",,"1,713.5 ",,36.5 ,,36.5 ,,270.8 ,,"10,739.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,409,,511,,"10,951.3 ",,"22,469.2 ",,"20,263.6 ",,"1,373.0 ",,"1,265.2 ",,"21,758.8 ",,"139,654.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,City of Tallahassee,4036-B,DR,10,,17,,0.0 ,,326.8 ,,288.7 ,,24.1 ,,22.3 ,,41.4 ,,281.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,2,,3,,0.0 ,,26.8 ,,23.8 ,,2.4 ,,2.3 ,,7.8 ,,37.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,44,,49,,"1,696.0 ",,"1,783.8 ",,"1,678.5 ",,149.6 ,,142.9 ,,"3,922.2 ",,"9,805.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,56,,69,,"1,696.0 ",,"2,137.4 ",,"1,991.0 ",,176.1 ,,167.5 ,,"3,971.3 ",,"10,124.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,County of Volusia-VOTRAN,4032-B,DR,33,,37,,0.0 ,,951.1 ,,801.7 ,,59.3 ,,51.2 ,,160.6 ,,"1,621.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,33,,43,,0.0 ,,"1,288.9 ",,"1,288.9 ",,63.3 ,,63.3 ,,147.7 ,,"1,576.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,46,,56,,"2,427.9 ",,"2,617.7 ",,"2,453.9 ",,168.9 ,,162.4 ,,"4,024.0 ",,"14,285.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,5,,7,,78.0 ,,136.2 ,,78.0 ,,4.9 ,,3.1 ,,22.1 ,,"1,326.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VP,3,,3,,0.0 ,,87.9 ,,87.9 ,,1.3 ,,1.3 ,,10.4 ,,518.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,120,,146,,"2,505.9 ",,"5,081.8 ",,"4,710.3 ",,297.7 ,,281.4 ,,"4,364.7 ",,"19,327.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Escambia Cnty Area Trans,4038-B,DRp,15,,15,,0.0 ,,415.5 ,,409.9 ,,24.6 ,,24.3 ,,57.6 ,,409.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,33,,41,,"1,381.4 ",,"1,415.6 ",,"1,387.4 ",,100.9 ,,99.0 ,,"1,629.2 ",,"7,411.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,48,,56,,"1,381.4 ",,"1,831.1 ",,"1,797.4 ",,125.5 ,,123.4 ,,"1,686.8 ",,"7,821.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Gainesville Regional TS,4030-B,DRp,4,,7,,0.0 ,,118.5 ,,97.5 ,,8.2 ,,6.8 ,,22.3 ,,257.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,58,,72,,"1,951.9 ",,"1,942.5 ",,"1,855.6 ",,157.3 ,,152.5 ,,"5,180.9 ",,"12,123.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,62,,79,,"1,951.9 ",,"2,061.0 ",,"1,953.1 ",,165.5 ,,159.2 ,,"5,203.2 ",,"12,380.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Hillsborough Area RTA,4041-B,DR,9,,9,,0.0 ,,50.0 ,,21.7 ,,4.7 ,,3.7 ,,2.8 ,,25.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,65,,95,,0.0 ,,"2,936.9 ",,"2,618.8 ",,202.2 ,Q,184.8 ,,300.9 ,,"1,856.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,162,,194,,"5,828.5 ",,"6,635.0 ",,"5,824.4 ",,489.3 ,,453.8 ,,"9,219.7 ",,"38,556.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VPp,7,,11,,0.0 ,,181.6 ,,181.6 ,,4.8 ,,4.8 ,,17.4 ,,670.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,243,,309,,"5,828.5 ",,"9,803.5 ",,"8,646.5 ",,701.0 ,,647.0 ,,"9,540.9 ",,"41,109.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Indian River County COA,4104-F,DR,18,,22,,0.0 ,,380.0 ,,356.3 ,,28.8 ,,27.5 ,,51.3 ,,337.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,38,,100,,0.0 ,,456.9 ,,400.8 ,,34.4 ,,30.1 ,,199.1 ,,225.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,8,,12,,226.5 ,,231.9 ,,226.5 ,,20.1 ,,19.6 ,,153.8 ,,218.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,64,,134,,226.5 ,,"1,068.9 ",,983.6 ,,83.2 ,,77.2 ,,404.1 ,,780.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Jacksonville Transp Auth,4040-B,AG,6,,8,,204.4 ,,213.0 ,,203.2 ,,19.1 ,,18.5 ,,563.1 ,,233.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,46,,46,,0.0 ,,"2,579.3 ",,"2,298.0 ",,141.9 ,,130.1 ,,217.8 ,,"2,504.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,151,,179,,"7,290.8 ",,"8,300.2 ",,"7,252.6 ",,564.7 ,,541.7 ,,"8,173.3 ",,"45,732.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,203,,233,,"7,495.2 ",,"11,092.6 ",,"9,753.9 ",,725.7 ,,690.3 ,,"8,954.2 ",,"48,470.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Lakeland Area Transit Dst,4031-B,DR,13,,13,,0.0 ,,499.8 ,,460.8 ,,36.9 ,,34.8 ,,112.9 ,,969.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,24,,34,,"1,099.5 ",,"1,116.9 ",,"1,099.5 ",,72.3 ,,71.7 ,,"1,359.0 ",,"4,756.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,37,,47,,"1,099.5 ",,"1,616.7 ",,"1,560.2 ",,109.2 ,,106.5 ,,"1,471.9 ",,"5,726.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Lee County Transit,4028-B,DRp,15,,22,,0.0 ,,734.8 ,,684.2 ,,46.8 ,,42.2 ,,82.5 ,,712.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,43,,53,,"2,836.9 ",,"3,005.4 ",,"2,821.5 ",,192.5 ,,182.1 ,,"2,271.6 ",,"12,516.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VP,1,,2,,0.0 ,,28.8 ,,23.9 ,,1.2 ,,1.1 ,,2.4 ,,50.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,59,,77,,"2,836.9 ",,"3,769.1 ",,"3,529.6 ",,240.6 ,,225.3 ,,"2,356.5 ",,"13,279.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Manatee Cnty Area Transit,4026-B,DR,18,,19,,0.0 ,,508.0 ,,470.4 ,,32.5 ,,30.7 ,,91.0 ,,"1,100.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,16,,19,,0.0 ,,411.9 ,,411.9 ,,32.4 ,,32.4 ,,26.8 ,,256.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,12,,16,,708.9 ,,746.4 ,,708.9 ,,47.8 ,,45.2 ,,656.0 ,,"2,282.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VP,2,,2,,0.0 ,,42.4 ,,42.4 ,,1.1 ,,1.1 ,,2.1 ,,123.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,48,,56,,708.9 ,,"1,708.7 ",,"1,633.6 ",,113.8 ,,109.4 ,,775.9 ,,"3,763.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Martin Cnty Council Aging,4113-G,DR,19,,28,,0.0 ,,403.0 ,,324.0 ,,32.0 ,,26.0 ,,100.0 ,,601.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
