State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,B,MB,PT,118,157.0,,"5,628.4",,"6,274.1",,"5,608.8",,511.3,,474.9,,"7,330.2",,"26,698.0",,
AZ,City of Tucson(COT),9033,A,DR,DO,99,119.0,,0.0,,"3,717.5",,"3,111.5",,283.6,,242.9,,450.5,,"3,111.5",,
AZ,City of Tucson(COT),9033,A,MB,DO,203,218.0,,"7,576.5",,"8,610.0",,"7,560.2",,635.9,,593.3,,"18,407.3",,"66,741.3",,
,,,,Total,,302,337.0,,"7,576.5",,"12,327.5",,"10,671.7",,919.5,,836.3,,"18,857.8",,"69,852.9",,
AZ,Maricopa County Special Transportation Services(MCHSD),9132,A,DR,DO,35,63.0,,0.0,,820.4,,733.5,,57.3,,49.3,,87.1,,641.8,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,DR,DO,8,10.0,,0.0,,120.4,,99.2,,12.2,,9.2,,22.6,,113.5,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,MB,DO,12,17.0,,597.8,,665.9,,650.1,,46.8,,44.6,,992.9,,"2,318.2",Q,
,,,,Total,,20,27.0,,597.8,,786.4,,749.3,,59.0,,53.8,,"1,015.5",,"2,431.7",,
AZ,Peoria Transit,9140,A,DR,DO,10,11.0,,0.0,,221.2,,203.4,,13.4,,12.1,,40.1,,193.3,,
AZ,"Phoenix - VPSI, Inc.",9169,D,VP,DO,398,422.0,,0.0,,"6,311.0",,"6,311.0",,160.0,,160.0,,"1,371.6",,"34,371.7",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,B,DR,PT,56,73.0,,0.0,,"2,330.7",,"1,872.3",,165.5,,131.8,,241.6,,"2,126.8",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,B,MB,PT,148,192.0,,"6,054.0",,"8,374.9",,"6,050.3",,496.6,,449.1,,"9,858.0",,"58,704.1",,
,,,,Total,,204,265.0,,"6,054.0",,"10,705.7",,"7,922.7",,662.1,,580.9,,"10,099.5",,"60,831.0",,
AZ,Surprise Dial-A-Ride Transit System,9137,A,DR,DO,7,7.0,,0.0,,152.0,,77.3,,12.6,,8.7,,20.1,,100.3,,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,B,DR,PT,11,12.0,,0.0,,270.5,Q,237.4,Q,30.6,Q,25.7,Q,18.9,Q,237.4,Q,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,B,MB,PT,9,12.0,,544.8,,568.4,Q,544.8,Q,29.4,Q,28.2,Q,253.1,Q,"1,517.8",Q,
,,,,Total,,20,24.0,,544.8,,838.9,,782.2,,60.0,,54.0,,272.0,,"1,755.2",,
CA,Access Services Incorporated(ASI),9157,E,DR,PT,559,710.0,,0.0,,"33,589.5",,"26,129.9",,"1,766.6",,"1,447.6",,"2,561.3",,"32,536.4",,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,B,DR,PT,180,234.0,,0.0,,"7,034.6",,"5,830.3",,459.9,,375.5,,662.1,,"6,216.2",,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,B,MB,DO,535,643.0,,"22,030.1",,"25,843.9",,"21,995.9",,"2,029.9",,"1,870.2",,"65,194.3",,"197,556.1",,
,,,,Total,,715,877.0,,"22,030.1",,"32,878.5",,"27,826.1",,"2,489.8",,"2,245.7",,"65,856.4",,"203,772.3",,
CA,Altamont Commuter Express(ACE),9182,B,CR,PT,18,20.0,,780.2,,781.3,,780.2,,19.8,,19.7,,805.2,,"37,755.6",,
CA,Anaheim Transportation Network(ATN),9211,B,MB,PT,35,45.0,,685.3,,683.1,,608.1,,112.7,,94.0,,"3,428.6",,"4,457.0",,
CA,Antelope Valley Transit Authority(AVTA),9121,B,DR,PT,11,14.0,,0.0,,342.8,,279.0,,21.5,,18.1,,34.3,,388.0,,
CA,Antelope Valley Transit Authority(AVTA),9121,B,MB,PT,57,71.0,,"2,489.9",,"2,842.2",,"2,502.7",,162.7,,148.4,,"3,017.0",,"39,461.8",,
,,,,Total,,68,85.0,,"2,489.9",,"3,185.0",,"2,781.7",,184.2,,166.4,,"3,051.2",,"39,849.8",,
CA,Butte County Association of Governments(BCAG),9208,B,DR,PT,20,22.0,,0.0,,524.6,,455.5,,54.5,,41.1,,109.0,,563.3,,
CA,Butte County Association of Governments(BCAG),9208,B,MB,PT,25,33.0,,"1,009.8",,"1,068.3",,"1,009.1",,73.5,,66.8,,"1,173.3",,"6,238.8",,
,,,,Total,,45,55.0,,"1,009.8",,"1,592.9",,"1,464.7",,128.1,,107.9,,"1,282.2",,"6,802.1",,
CA,Central Contra Costa Transit Authority(County Connection),9078,B,DR,PT,51,56.0,,0.0,,"1,648.7",,"1,361.9",,102.9,,83.4,,166.9,,"1,652.3",,
CA,Central Contra Costa Transit Authority(County Connection),9078,B,MB,DO,106,131.0,,"3,327.9",,"4,384.9",,"3,324.0",,322.2,,280.8,,"4,398.0",,"21,202.7",,
,,,,Total,,157,187.0,,"3,327.9",,"6,033.6",,"4,685.8",,425.1,,364.3,,"4,564.9",,"22,855.0",,
CA,Chula Vista Transit(CVT),9193,B,MB,PT,31,37.0,,"1,256.5",,"1,366.3",,"1,254.5",,120.6,,115.5,,"3,411.3",,"12,518.5",,
CA,City of Alameda Ferry Services,9150,B,FB,PT,3,4.0,,78.1,,86.4,,77.7,,7.1,,6.5,,603.7,,"4,069.7",,
CA,City of Arcadia Transit(Arcadia Transit),9044,B,DR,PT,16,18.0,,0.0,,261.8,,227.6,,26.0,,23.6,,107.3,,374.9,,
CA,City of Benicia(Benicia Breeze),9174,B,DR,PT,7,7.0,,0.0,,50.7,,41.5,,3.8,,3.2,,6.1,,75.9,,
CA,City of Benicia(Benicia Breeze),9174,B,MB,PT,7,7.0,,347.9,,362.3,,321.9,,22.2,,19.4,,157.2,,550.3,,
,,,,Total,,14,14.0,,347.9,,413.0,,363.4,,26.0,,22.6,,163.3,,626.2,,
CA,City of Commerce Municipal Buslines(CBL),9043,A,DR,DO,5,6.0,,0.0,,65.6,,61.1,,4.8,,4.1,,7.8,,39.8,,
