State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
,,,,Total,,48,63,,"1,296.8",,"2,064.0",,"1,932.2",,157.4,,150.2,,"1,188.6",,"6,828.3",,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,Agency,DR,DO,5,7,,0.0 ,,114.6,,106.1,,10.0,,9.5,,13.6,,76.6,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,Agency,MB,DO,7,9,,221.4,,250.9,,218.6,,19.8,,17.8,,224.1,,"1,226.8",,
,,,,Total,,12,16,,221.4,,365.5,,324.6,,29.8,,27.3,,237.7,,"1,303.3",,
AL,Wiregrass Transit Authority,4103,MPO,DR,DO,15,21,,0.0 ,,536.7,,527.0,,47.8,,46.6,,134.5,,521.5,,
AL,Wiregrass Transit Authority,4103,MPO,DR,PT,15,17,,0.0 ,,436.3,,436.3,,22.1,,22.1,,29.4,,436.3,,
AL,Wiregrass Transit Authority,4103,MPO,DT,PT,22,22,,0.0 ,,446.5,,446.5,,22.7,,22.7,,28.3,,446.5,,
,,,,Total,,52,60,,0.0 ,,"1,419.5",,"1,409.8",,92.7,,91.5,,192.1,,"1,404.3",,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,DR,DO,20,22,,0.0 ,,687.1,,592.8,,40.1,,33.7,,65.5,,518.3,,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,LR,DO,3,5,,52.7,,53.0,,52.7,,11.8,,11.8,,107.1,,165.7,,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,MB,DO,47,59,,"2,290.1",,"2,421.7",,"2,288.5",,165.1,,158.7,,"2,369.5",,"12,890.9",,
,,,,Total,,70,86,,"2,342.8",,"3,161.8",,"2,934.0",,217.0,,204.3,,"2,542.1",,"13,575.0",,
AR,Fort Smith Transit(FST),6086,City,DR,DO,4,11,,0.0 ,,205.3,,186.8,,15.0,,13.6,,28.7,,217.2,,
AR,Fort Smith Transit(FST),6086,City,MB,DO,6,10,,290.7,,300.7,,275.3,,22.4,,21.3,,214.0,,941.7,,
,,,,Total,,10,21,,290.7,,506.1,,462.1,,37.3,,34.9,,242.7,,"1,158.9",,
AR,Ozark Regional Transit(ORT),6072,Agency,DR,DO,8,29,,0.0 ,,234.5,,187.2,,16.3,,14.1,,24.7,,118.5,,
AR,Ozark Regional Transit(ORT),6072,Agency,MB,DO,13,18,,463.1,,528.4,,459.5,,29.4,,26.8,,212.5,,828.7,,
,,,,Total,,21,47,,463.1,,762.9,,646.7,,45.8,,40.9,,237.2,,947.2,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,DR,DO,4,6,,0.0 ,,38.9,,25.8,,6.7,,5.4,,7.3,,18.0,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,MB,DO,14,21,,317.8,,315.1,,302.3,,30.5,,29.9,,"1,567.8",,"2,555.5",,
,,,,Total,,18,27,,317.8,,354.0,,328.0,,37.2,,35.4,,"1,575.1",,"2,573.5",,
AZ,City of Glendale Transit,9034,City,DR,DO,14,21,,0.0 ,,444.8,,411.1,,32.3,,29.9,,89.8,,431.1,,
AZ,City of Glendale Transit,9034,City,DT,PT,2,2,,0.0 ,,18.6,,18.6,,3.6,,3.6,,4.1,,18.6,,
AZ,City of Glendale Transit,9034,City,MB,DO,3,8,,100.9,,104.1,,101.2,,8.9,,8.7,,117.0,,306.4,,
,,,,Total,,19,31,,100.9,,567.4,,530.9,,44.9,,42.3,,210.9,,756.1,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,DR,PT,105,157,,0.0 ,,"4,502.7",,"3,727.1",,338.6,,284.8,,358.4,,"3,103.6",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,DR,DO,45,52,,0.0 ,,689.2,,494.6,,61.2,,44.9,,160.8,,"1,113.9",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,MB,PT,450,554,,"18,784.1",,"22,718.5",,"18,771.9",,"1,668.8",,"1,481.1",,"37,181.5",,"138,158.1",,
,,,,Total,,600,763,,"18,784.1",,"27,910.4",,"22,993.5",,"2,068.6",,"1,810.9",,"37,700.6",,"142,375.6",,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,City,MB,PT,11,15,,412.1,,433.4,,413.3,,84.1,,82.4,,651.5,,"1,203.1",,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,City,MB,PT,141,188,,"6,708.6",,"7,656.5",,"6,701.4",,613.2,,564.8,,"8,878.0",,"32,315.8",,
AZ,City of Tucson(COT),9033,City,DR,DO,117,125,,0.0 ,,"3,910.2",,"3,257.6",,298.2,,255.7,,463.9,,"4,452.6",,
AZ,City of Tucson(COT),9033,City,MB,DO,201,241,,"7,988.7",,"9,130.8",,"7,951.0",,636.4,,593.8,,"20,383.6",,"76,200.6",,
,,,,Total,,318,366,,"7,988.7",,"13,041.0",,"11,208.6",,934.6,,849.5,,"20,847.6",,"80,653.2",,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,DR,DO,8,9,,0.0 ,,166.9,,110.3,,12.3,,9.2,,27.3,,146.4,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Agency,MB,DO,11,16,,628.6,,669.4,,628.7,,49.4,,46.4,,"1,115.3",,"2,788.1",,
,,,,Total,,19,25,,628.6,,836.3,,738.9,,61.7,,55.6,,"1,142.5",,"2,934.5",,
AZ,Peoria Transit,9140,City,DR,DO,7,9,,0.0 ,,174.5,,159.3,,13.8,,13.2,,31.6,,208.2,,
AZ,"Phoenix - VPSI, Inc.",9169,Contractor,VP,DO,342,394,,0.0 ,,"5,254.6",,"5,254.6",,127.3,,127.3,,"1,049.6",,"26,836.8",,
AZ,Pima Association of Governments(PAG),9222,MPO,VP,PT,12,14,,0.0 ,,153.1,,153.1,,3.7,,3.7,,26.0,,814.7,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,DR,PT,51,73,,0.0 ,,"2,366.5",,"1,909.8",,162.7,,128.9,,248.4,,"2,230.2",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,DT,PT,5,10,,0.0 ,,110.8,,110.8,,5.3,,5.3,,11.3,,118.0,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Agency,MB,PT,163,203,,"6,312.2",,"8,435.6",,"6,311.7",,537.0,,454.6,,"7,487.9",,"44,553.0",,
,,,,Total,,219,286,,"6,312.2",,"10,912.9",,"8,332.2",,705.0,,588.8,,"7,747.5",,"46,901.2",,
AZ,Surprise Dial-A-Ride Transit System,9137,City,DR,DO,7,8,,0.0 ,,160.0,,83.9,,13.1,,8.6,,22.3,,116.8,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,Agency,LR,PT,32,50,,"2,516.8",,"2,694.3",,"2,652.8",,186.4,,182.8,,"12,112.7",,"87,661.8",,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,MPO,DR,PT,11,13,,0.0 ,,378.4,,333.4,,33.5,,23.7,,30.4,,433.5,,
AZ,Yuma Metropolitan Planning Organization(YMPO),9192,MPO,MB,PT,8,17,,848.2,,872.0,,835.1,,38.6,,36.2,,334.5,,"2,127.5",,
,,,,Total,,19,30,,848.2,,"1,250.4",,"1,168.5",,72.1,,59.9,,364.9,,"2,560.9",,
CA,                                                    City of Los Angeles Department of Transportation(LADOT),9147,City,DR,PT,122,150,,0.0 ,,"2,159.3",,"1,785.5",,231.8,,190.9,,334.5,,"1,675.0",,
CA,                                                    City of Los Angeles Department of Transportation(LADOT),9147,City,DT,PT,38,38,,0.0 ,,"1,220.7",,"1,220.7",,75.6,,75.6,,675.4,,"1,629.0",,
CA,                                                    City of Los Angeles Department of Transportation(LADOT),9147,City,MB,PT,256,338,,"7,995.4",,"10,274.9",,"7,852.2",,843.1,,723.3,,"30,341.0",,"69,281.4",,
,,,,Total,,416,526,,"7,995.4",,"13,654.9",,"10,858.4",,"1,150.5",,989.8,,"31,351.0",,"72,585.4",,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,DR,PT,186,223,,0.0 ,,"7,529.6",,"6,282.3",,458.5,,399.9,,711.0,,"6,783.3",,
CA, Alameda-Contra Costa Transit District(AC Transit),9014,Agency,MB,DO,532,626,,"21,589.5",,"25,282.6",,"21,554.9",,"2,025.2",,"1,856.0",,"61,390.7",,"173,601.6",,
,,,,Total,,718,849,,"21,589.5",,"32,812.3",,"27,837.3",,"2,483.7",,"2,255.9",,"62,101.7",,"180,384.9",,
CA,Access Services  (AS),9157,Agency,DR,PT,592,663,,0.0 ,,"33,360.5",,"26,892.1",,"1,843.8",,"1,517.0",,"2,777.0",,"36,081.1",,
CA,Altamont Commuter Express(ACE),9182,Agency,CR,PT,21,24,,780.2,,722.0,,719.0,,18.9,,18.6,,655.5,,"29,364.3",,
CA,Anaheim Transportation Network(ATN),9211,Non-Profit,MB,PT,50,70,,"1,000.2",,883.9,,844.7,,136.1,,111.9,,"4,131.0",,"8,568.1",,
CA,Antelope Valley Transit Authority(AVTA),9121,Agency,DR,PT,11,16,,0.0 ,,339.4,,281.6,,17.5,,15.2,,31.1,,355.7,,
CA,Antelope Valley Transit Authority(AVTA),9121,Agency,MB,PT,54,72,,"2,688.7",,"3,081.0",,"2,688.7",,179.5,,166.1,,"2,796.1",,"36,763.0",,
,,,,Total,,65,88,,"2,688.7",,"3,420.4",,"2,970.2",,197.0,,181.3,,"2,827.2",,"37,118.7",,
CA,Butte County Association of Governments(BCAG),9208,MPO,DR,PT,20,28,,0.0 ,,483.9,,422.7,,50.9,,40.3,,110.4,,570.8,,
CA,Butte County Association of Governments(BCAG),9208,MPO,MB,PT,25,29,,"1,061.6",,"1,148.6",,"1,058.1",,73.9,,67.2,,"1,239.8",,"6,732.2",,
,,,,Total,,45,57,,"1,061.6",,"1,632.5",,"1,480.8",,124.8,,107.4,,"1,350.2",,"7,303.0",,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,DR,PT,60,63,,0.0 ,,"1,646.4",,"1,359.7",,101.5,,84.1,,172.3,,"1,654.2",,
CA,Central Contra Costa Transit Authority(County Connection),9078,Agency,MB,DO,92,171,,"2,303.5",,"3,120.4",,"2,305.6",,246.2,,215.7,,"3,235.7",,"16,068.4",,
,,,,Total,,152,234,,"2,303.5",,"4,766.9",,"3,665.3",,347.7,,299.8,,"3,408.0",,"17,722.6",,
CA,Chula Vista Transit(CVT),9193,City,MB,PT,32,38,,"1,132.4",,"1,249.9",,"1,134.4",,115.2,,109.6,,"3,400.6",,"12,240.6",,
CA,City of Alameda Ferry Services,9150,City,FB,PT,3,8,,78.7,,87.6,,78.7,,6.9,,6.3,,568.5,,"3,878.2",,
CA,City of Arcadia Transit(Arcadia Transit),9044,City,DR,PT,16,18,,0.0 ,,272.7,,234.9,,28.0,,25.2,,117.3,,429.3,,
CA,City of Commerce Municipal Buslines(CBL),9043,City,DR,DO,3,4,,0.0 ,,70.8,,66.8,,5.1,,4.3,,8.8,,61.5,,
CA,City of Commerce Municipal Buslines(CBL),9043,City,MB,DO,6,9,,244.3,,246.5,,244.1,,21.3,,20.1,,654.2,,"2,285.4",,
,,,,Total,,9,13,,244.3,,317.3,,310.9,,26.4,,24.3,,663.0,,"2,346.9",,
CA,City of Corona(CCTS),9052,City,DR,PT,9,9,,0.0 ,,248.6,,227.1,,17.7,,16.1,,64.7,,325.1,,
CA,City of Corona(CCTS),9052,City,MB,PT,5,6,,215.6,,226.5,,215.6,,19.4,,18.3,,165.1,,708.7,,
,,,,Total,,14,15,,215.6,,475.1,,442.7,,37.1,,34.4,,229.8,,"1,033.8",,
CA,City of Elk Grove(etran),9205,City,DR,PT,9,9,,0.0 ,,180.9,,169.0,,14.3,,11.4,,16.6,,129.2,,
CA,City of Elk Grove(etran),9205,City,MB,PT,43,48,,"1,257.6",,"1,257.6",,898.1,,73.8,,53.3,,953.2,,"5,897.2",Q,
,,,,Total,,52,57,,"1,257.6",,"1,438.5",,"1,067.1",,88.1,,64.7,,969.8,,"6,026.4",,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,DR,PT,6,7,,0.0 ,,219.3,,199.1,,15.9,,13.1,,22.4,,182.9,,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,City,MB,PT,36,49,,"1,617.6",,"1,720.6",Q,"1,617.6",Q,89.8,Q,84.6,Q,899.2,,"7,931.1",,
,,,,Total,,42,56,,"1,617.6",,"1,939.9",,"1,816.8",,105.7,,97.7,,921.6,,"8,114.1",,
CA,City of Gardena Transportation Department(GMBL),9042,City,DR,DO,7,9,,0.0 ,,88.8,,78.8,,12.3,,11.2,,28.5,,98.4,,
CA,City of Gardena Transportation Department(GMBL),9042,City,MB,DO,43,52,,"1,588.8",,"1,673.9",,"1,572.9",,123.4,,115.1,,"3,595.8",,"14,758.7",,
,,,,Total,,50,61,,"1,588.8",,"1,762.7",,"1,651.7",,135.7,,126.4,,"3,624.2",,"14,857.1",,
CA,City of La Mirada Transit(LMT),9024,City,DR,PT,6,12,,0.0 ,,100.4,,91.4,,10.5,,9.3,,46.3,,133.8,,
CA,City of Lodi - Transit Division(Grapeline),9175,City,DR,PT,10,16,,0.0 ,,166.2,,162.9,,17.5,,17.2,,38.8,,94.2,,
CA,City of Lodi - Transit Division(Grapeline),9175,City,MB,PT,8,13,,221.3,,233.8,,228.4,,19.0,,18.7,,189.1,,563.4,,
,,,,Total,,18,29,,221.3,,399.9,,391.3,,36.5,,35.8,,227.9,,657.6,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,DR,PT,2,3,,0.0 ,,80.8,,74.3,,9.4,,9.1,,19.5,,79.9,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,City,MB,PT,13,13,,716.4,,716.4,Q,653.6,Q,34.7,Q,31.1,Q,381.4,,"6,539.7",,
,,,,Total,,15,16,,716.4,,797.3,,728.0,,44.1,,40.2,,400.9,,"6,619.7",,
CA,City of Petaluma(Petaluma Transit),9213,City,DR,PT,6,8,,0.0 ,,84.1,,77.0,,9.4,,8.5,,20.5,,77.1,,
CA,City of Petaluma(Petaluma Transit),9213,City,MB,PT,6,8,,198.7,,203.0,,198.3,,16.6,,15.8,,161.3,,570.1,,
,,,,Total,,12,16,,198.7,,287.2,,275.4,,26.0,,24.3,,181.9,,647.2,,
CA,City of Porterville(C.O.L.T.),9198,City,DR,PT,3,8,,0.0 ,,71.1,,67.4,,4.5,,4.3,,15.2,,44.1,,
CA,City of Porterville(C.O.L.T.),9198,City,MB,PT,7,14,,365.5,,349.1,,339.4,,24.8,,24.3,,498.5,,"2,208.4",,
,,,,Total,,10,22,,365.5,,420.2,,406.8,,29.2,,28.6,,513.7,,"2,252.5",,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,DR,PT,5,6,,0.0 ,,88.7,,76.7,,9.0,,7.5,,17.3,,51.4,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,City,MB,PT,10,13,,395.3,,428.3,,395.3,,34.9,,33.2,,387.7,,"1,550.8",,
,,,,Total,,15,19,,395.3,,517.0,,472.1,,43.9,,40.6,,405.0,,"1,602.1",,
CA,City of Riverside Special Transportation(City of Riverside),9086,City,DR,DO,24,31,,0.0 ,,698.9,Q,587.9,Q,52.3,Q,42.0,Q,152.4,,574.3,,
CA,City of San Luis Obispo(SLO Transit),9156,City,MB,PT,10,16,,415.2,,418.6,,396.4,,36.6,,34.7,,"1,019.9",,"2,957.6",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,DR,PT,13,14,,0.0 ,,238.7,,229.6,,17.6,,17.2,,43.8,,201.6,,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,MB,DO,25,36,,"1,156.6",,"1,164.1",,"1,125.6",,95.6,,93.1,,"2,886.5",,"9,381.1",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,MB,PT,1,2,,1.8,,25.8,,21.4,,2.1,,1.9,,4.9,,25.9,,
,,,,Total,,39,52,,"1,158.4",,"1,428.5",,"1,376.7",,115.3,,112.1,,"2,935.2",,"9,608.5",,
CA,City of Turlock(BLAST and DART),9201,City,DR,PT,4,8,,0.0 ,,37.7,,34.9,,2.8,,2.6,,10.0,,58.5,,
CA,City of Turlock(BLAST and DART),9201,City,MB,PT,4,8,,174.8,,182.7,,175.6,,13.3,,12.8,,99.9,,368.0,,
,,,,Total,,8,16,,174.8,,220.4,,210.5,,16.1,,15.5,,109.9,,426.5,,
CA,City of Union City Transit Division(UCT),9161,City,DR,PT,4,7,,0.0 ,,90.8,,81.4,,9.7,,8.7,,16.6,,56.0,,
CA,City of Union City Transit Division(UCT),9161,City,MB,PT,12,16,,461.3,,485.3,,470.9,,40.4,,39.5,,448.1,,"1,450.3",,
,,,,Total,,16,23,,461.3,,576.0,,552.3,,50.0,,48.2,,464.7,,"1,506.3",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,DR,PT,10,12,,0.0 ,,146.7,,133.9,,13.3,,12.6,,25.9,,114.2,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,FB,PT,3,4,,217.0,,215.1,,212.9,,8.6,,8.0,,577.3,,"15,007.2",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,City,MB,PT,38,60,,"1,996.1",,"2,088.2",,"1,995.9",,110.1,,105.3,,"1,494.9",,"14,557.6",,
,,,,Total,,51,76,,"2,213.1",,"2,450.0",,"2,342.7",,132.0,,125.9,,"2,098.1",,"29,679.0",,
CA,City of Visalia - Visalia City Coach(Visalia Transit),9091,City,DR,PT,8,11,,0.0 ,,165.5,Q,147.2,Q,12.0,Q,10.5,Q,33.2,,246.0,,
CA,City of Visalia - Visalia City Coach(Visalia Transit),9091,City,MB,PT,28,36,,"1,542.0",,"1,532.0",Q,"1,489.9",Q,112.4,Q,108.8,Q,"1,563.4",Q,"6,340.8",,
,,,,Total,,36,47,,"1,542.0",,"1,697.4",,"1,637.1",,124.4,,119.4,,"1,596.6",,"6,586.8",,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,DR,DO,3,6,,0.0 ,,41.7,,36.3,,4.5,,3.5,,17.7,,49.2,,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,MB,DO,38,52,,"1,505.4",,"1,632.7",,"1,504.8",,148.8,,140.5,,"5,014.8",,"16,271.0",,
,,,,Total,,41,58,,"1,505.4",,"1,674.4",,"1,541.1",,153.3,,144.0,,"5,032.6",,"16,320.2",,
CA,Foothill Transit,9146,Agency,MB,PT,262,316,,"12,000.0",,"14,333.9",,"11,265.8",,878.6,,745.5,,"14,280.6",,"109,648.4",,
CA,Fresno Area Express(FAX),9027,City,DR,PT,54,55,,0.0 ,,"1,849.3",,"1,609.2",,112.2,,101.8,,238.7,,"1,260.6",,
CA,Fresno Area Express(FAX),9027,City,MB,DO,95,122,,"4,586.7",,"4,922.2",,"4,563.0",,404.4,,391.9,,"17,589.4",,"41,251.9",,
,,,,Total,,149,177,,"4,586.7",,"6,771.5",,"6,172.2",,516.6,,493.7,,"17,828.1",,"42,512.5",,
CA,Gold Coast Transit(GCT),9035,Agency,DR,PT,19,24,,0.0 ,,585.2,,497.1,,40.9,,33.4,,78.0,,576.6,,
CA,Gold Coast Transit(GCT),9035,Agency,MB,DO,39,54,,"1,692.9",,"1,803.4",,"1,676.7",,160.5,,155.0,,"3,442.0",,"10,559.4",,
,,,,Total,,58,78,,"1,692.9",,"2,388.5",,"2,173.8",,201.4,,188.3,,"3,520.0",,"11,136.0",,
CA,Golden Empire Transit District(GET),9004,Agency,DR,DO,16,19,,0.0 ,,508.3,,429.6,,35.5,,31.9,,64.9,,489.8,,
CA,Golden Empire Transit District(GET),9004,Agency,MB,DO,70,86,,"3,728.5",,"3,967.3",,"3,718.2",,308.2,,298.6,,"7,294.5",,"25,971.6",,
,,,,Total,,86,105,,"3,728.5",,"4,475.6",,"4,147.8",,343.7,,330.5,,"7,359.4",,"26,461.3",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,DR,PT,43,52,,0.0 ,,"1,202.9",,"1,038.4",,70.0,,59.2,,118.3,,"1,169.5",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,FB,DO,5,5,,187.0,,196.0,,186.8,,14.4,,13.8,,"1,922.1",,"21,208.9",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,MB,PT,4,49,,64.1,,128.6,,64.1,,4.2,,2.9,,49.3,,"1,024.5",,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,MB,DO,172,201,,"5,453.6",,"6,429.6",,"5,446.7",,383.9,,343.4,,"6,514.0",,"61,772.7",,
,,,,Total,,224,307,,"5,704.7",,"7,957.3",,"6,735.9",,472.6,,419.4,,"8,603.8",,"85,175.6",,
CA,Imperial Valley Transit(IVT),9212,City,DR,PT,6,8,,0.0 ,,260.3,,213.1,,18.7,,12.2,,36.8,,456.8,,
CA,Imperial Valley Transit(IVT),9212,City,MB,PT,15,20,,668.5,,805.8,,666.3,,39.4,,33.1,,592.6,,"10,962.3",,
,,,,Total,,21,28,,668.5,,"1,066.1",,879.4,,58.1,,45.3,,629.4,,"11,419.1",,
CA,Kings County Area Public Transit Agency(KART),9200,Agency,DR,PT,8,14,,0.0 ,,125.6,,102.6,Q,15.2,,13.5,,33.8,,120.8,Q,
CA,Kings County Area Public Transit Agency(KART),9200,Agency,MB,PT,16,21,,629.2,,663.3,,624.8,,49.4,,47.4,,711.7,,"2,989.2",,
CA,Kings County Area Public Transit Agency(KART),9200,Agency,VP,DO,221,231,,0.0 ,,"5,047.7",,"5,047.7",,87.9,,87.9,,403.6,,"20,612.6",,
,,,,Total,,245,266,,629.2,,"5,836.5",,"5,775.1",,152.5,,148.8,,"1,149.0",,"23,722.5",,
CA,LACMTA - Small Operators(LACMTA),9166,Consolidated,DR,PT,193,248,,0.0 ,,"3,451.4",,"2,983.8",,338.5,,299.2,,"1,021.4",,"3,543.8",,
CA,LACMTA - Small Operators(LACMTA),9166,Consolidated,DT,PT,60,60,,0.0 ,,"1,090.4",,"1,090.4",,66.9,,66.9,,439.9,,"1,407.4",,
CA,LACMTA - Small Operators(LACMTA),9166,Consolidated,MB,PT,190,259,,"5,544.3",,"6,025.8",,"5,485.3",,538.9,,503.4,,"11,283.7",,"28,718.4",,
,,,,Total,,443,567,,"5,544.3",,"10,567.6",,"9,559.5",,944.3,,869.4,,"12,745.1",,"33,669.6",,
CA,Laguna Beach Municipal Transit(CLB),9119,City,MB,DO,21,23,,196.9,,212.4,,196.9,,24.5,,21.4,,596.3,,948.1,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,Agency,DR,PT,14,18,,0.0 ,,394.7,,347.4,,27.1,,24.6,,61.6,,466.2,,
CA,Livermore / Amador Valley Transit Authority(LAVTA),9144,Agency,MB,PT,46,60,,"1,499.7",,"1,726.9",,"1,500.2",,113.2,,102.0,,"1,740.3",,"8,252.2",,
,,,,Total,,60,78,,"1,499.7",,"2,121.6",,"1,847.5",,140.3,,126.6,,"1,801.9",,"8,718.5",,
CA,Long Beach Transit(LBT),9023,Other Public,DR,PT,17,17,,0.0 ,,213.0,,213.0,,10.3,,10.3,,49.0,,238.3,,
CA,Long Beach Transit(LBT),9023,Other Public,MB,DO,184,247,,"7,000.8",,"7,685.2",,"6,997.8",,711.9,,677.4,,"28,556.5",,"89,667.5",,
,,,,Total,,201,264,,"7,000.8",,"7,898.1",,"7,210.8",,722.2,,687.6,,"28,605.6",,"89,905.8",,
